# hiTrans_cc.txt
# Genes with high translation efficiency
# In both H99 and JEC21:
#   - in top 5% by ribosome occupancy in TPM
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_06125	CNM01300	10278.814	20178.884	1.963	4001.352	18298.878	4.573
CNAG_06101	CNM01080	8671.71	8470.904	0.977	8388.273	8973.053	1.07
CNAG_00779	CNA07570	3861.215	7368.079	1.908	5785.382	7162.586	1.238
CNAG_03127	CNG04360	6257.305	7183.982	1.148	3188.019	7062.162	2.215
CNAG_05762	CNF02150	7396.011	7527.921	1.018	15472.154	6158.536	0.398
CNAG_03739	CNB02360	6382.77	6393.953	1.002	3707.583	6971.513	1.88
CNAG_06222	CNM02240	6400.929	6783.675	1.06	4441.541	6021.795	1.356
CNAG_00655	CNA06350	12492.584	6051.833	0.484	15094.859	6603.656	0.437
CNAG_04011	CNB04930	13312.993	6785.754	0.51	19956.083	5659.974	0.284
CNAG_06633	CNF03840	8926.488	6145.959	0.689	11379.269	6187.81	0.544
CNAG_01332	CND04480	5928.068	6095.917	1.028	4660.581	5986.658	1.285
CNAG_03015	CNC00700	4859.741	5703.889	1.174	2356.867	6232.443	2.644
CNAG_04448	CNI01090	6659.73	5962.321	0.895	5374.02	5900.374	1.098
CNAG_00771	CNA07490	6829.993	5878.857	0.861	6811.621	5968.496	0.876
CNAG_00640	CNA06200	7705.952	5784.362	0.751	4907.946	6048.428	1.232
CNAG_04883	CNJ03110	4275.086	5881.942	1.376	5777.178	5916.953	1.024
CNAG_04726	CNJ01560	7969.576	6376.693	0.8	6365.122	5406.121	0.849
CNAG_00672	CNA06500	9201.95	6071.579	0.66	14346.953	5654.25	0.394
CNAG_05525	CNH01770	6978.062	6456.254	0.925	4071.148	5212.223	1.28
CNAG_03780	CNB02750	6630.509	5710.409	0.861	5014.402	5892.21	1.175
CNAG_01428	CND05400	2446.637	5491.768	2.245	2218.696	6063.587	2.733
CNAG_02331	CNE02160	6952.647	5622.253	0.809	3726.268	5867.955	1.575
CNAG_00370	CNA03330	6531.784	5996.206	0.918	7879.529	5440.871	0.691
CNAG_00819	CNA07960	13956.877	5783.052	0.414	10052.883	5548.757	0.552
CNAG_06699	CNF03160	4269.997	5197.527	1.217	5120.812	6125.095	1.196
CNAG_01170	CND02960	4350.92	6008.439	1.381	3605.567	5285.661	1.466
CNAG_00703	CNA06820	7263.992	5611.713	0.773	4640.273	5571.741	1.201
CNAG_02811	CNC04290	7787.785	5342.006	0.686	6331.298	5830.459	0.921
CNAG_02330	CNE02170	4736.027	6084.394	1.285	2721.462	5040.152	1.852
CNAG_04004	CNB04880	8855.311	5866.255	0.662	4038.208	5178.216	1.282
CNAG_00656	CNA06360	4518.739	5243.558	1.16	3045.553	5796.709	1.903
CNAG_00034	CNA00250	5371.028	5263.285	0.98	5191.439	5646.733	1.088
CNAG_00821	CNA07980	5015.477	5548.333	1.106	3809.761	5299.446	1.391
CNAG_01951	CNK02900	7825.499	5968.497	0.763	7428.039	4876.024	0.656
CNAG_01300	CND04200	5399.996	5685.824	1.053	5154.88	4976.455	0.965
CNAG_05556	CNH02050	5092.24	6054.523	1.189	4356.24	4531.265	1.04
CNAG_00232	CNA02220	9015.072	5617.295	0.623	11817.112	4863.816	0.412
CNAG_01181	CND03060	5730.692	4995.707	0.872	4519.489	5459.583	1.208
CNAG_02359	CNE01910	8816.066	5431.21	0.616	5176.692	5015.483	0.969
CNAG_04884	CNJ03120	8845.685	5344.692	0.604	11520.395	4982.724	0.433
CNAG_01976	CNK03100	6350.795	4993.236	0.786	6822.009	5257.153	0.771
CNAG_01486	CNC06940	6755.275	4700.546	0.696	2333.218	5543.549	2.376
CNAG_06447	CNN01720	3882.833	5294.344	1.364	2261.376	4948.22	2.188
CNAG_02144	CNE03920	4537.253	5340.687	1.177	2967.22	4852.503	1.635
CNAG_03198	CNG03720	6673.867	5264.129	0.789	7424.372	4866.733	0.656
CNAG_03283	CNG02920	5607.845	5384.115	0.96	5576.968	4732.523	0.849
CNAG_05800	CNF01790	5467.031	5335.986	0.976	4504.001	4735.049	1.051
CNAG_01455	CND05700	12682.512	6580.306	0.519	7120.008	3316.73	0.466
CNAG_01152	CND02780	3576.309	4830.952	1.351	3248.288	5049.633	1.555
CNAG_02234	CNE03060	2818.255	5107.11	1.812	3129.193	4704.146	1.503
CNAG_05232	CNL03960	6342.973	4592.683	0.724	6687.867	5194.082	0.777
CNAG_04799	CNJ02260	6746.511	4960.297	0.735	9362.59	4805.027	0.513
CNAG_02928	CNC05360	4309.381	4566.579	1.06	2194.229	5037.483	2.296
CNAG_03510	CNG00830	4923.459	4869.177	0.989	2773.531	4560.68	1.644
CNAG_03303	CNG02740	4509.82	4985.593	1.105	5100.037	4338.6	0.851
CNAG_01884	CNK02240	2982.694	4358.798	1.461	2346.124	4928.837	2.101
CNAG_07839	CNJ03370	5934.549	4736.311	0.798	14272.862	4534.544	0.318
