# loTE_cc.txt
# Genes with low translation efficiency
# In both H99 and JEC21:
#   - in top 50% by RNA abundance
#   - TE < 0.5 (2X) in both H99 and JEC21
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_07888	CNH02505	2648.645	2.583	0.001	582.259	0.47	0.001
CNAG_07695	CNF00330	164.274	5.725	0.035	182.756	3.213	0.018
CNAG_03140	CNG04240	187.607	2.029	0.011	124.452	5.506	0.044
CNAG_05574	CNH02210	30.066	2.584	0.086	42.577	1.666	0.039
CNAG_04855	CNJ02770	30.418	2.661	0.087	88.227	6.704	0.076
CNAG_06614	CNF04050	41.788	4.477	0.107	58.119	4.584	0.079
CNAG_01603	CNC01160	52.536	3.41	0.065	24.956	3.037	0.122
CNAG_02323	CNE02240	39.146	3.335	0.085	50.166	5.123	0.102
CNAG_03578	CNG00290	43.505	6.099	0.14	58.61	4.369	0.075
CNAG_07813	CNL04930	148.332	20.026	0.135	204.358	17.363	0.085
CNAG_06246	CNM02470	196.18	24.582	0.125	172.219	17.047	0.099
CNAG_05319	CNH03140	35.423	0.588	0.017	35.564	7.713	0.217
CNAG_00784	CNA07610	52.799	6.67	0.126	50.052	5.863	0.117
CNAG_08027	CNH02090	25.594	2.643	0.103	90.315	13.639	0.151
CNAG_02433	CNE01240	39.125	6.714	0.172	115.08	11.105	0.096
CNAG_00529	CNA05110	40.175	7.937	0.198	97.291	7.846	0.081
CNAG_05237	CNL03915	32.989	9.097	0.276	72.342	0.278	0.004
CNAG_05288	CNH03430	56.331	8.889	0.158	70.443	8.85	0.126
CNAG_01624	CNC01375	34.445	5.027	0.146	30.526	4.37	0.143
CNAG_02867	CNC04820	54.645	7.296	0.134	47.809	7.51	0.157
CNAG_05567	CNH02150	36.131	6.913	0.191	76.364	7.993	0.105
CNAG_06782	CNB00170	53.796	8.457	0.157	60.408	9.267	0.153
CNAG_03732	CNB02300	34.264	6.989	0.204	64.716	7.204	0.111
CNAG_07335	CNA02050	38.428	6.554	0.171	34.946	5.455	0.156
CNAG_02481	CNE00800	63.366	14.443	0.228	142.266	14.126	0.099
CNAG_00750	CNA07290	110.295	29.617	0.269	252.664	16.631	0.066
CNAG_00333	CNA03150	46.223	6.79	0.147	25.754	4.889	0.19
CNAG_05227	CNL04020	39.935	6.162	0.154	51.937	9.539	0.184
CNAG_02258	CNE02880	36.905	5.614	0.152	45.519	8.55	0.188
CNAG_00733	CNA07110	45.541	9.86	0.217	107.286	13.73	0.128
CNAG_07325	CNA01940	55.117	14.112	0.256	137.912	12.896	0.094
CNAG_05058	CNL05610	36.962	7.437	0.201	113.445	17.95	0.158
CNAG_02821	CNC04380	46.207	10.483	0.227	46.532	6.322	0.136
CNAG_05744	CNF02330	26.255	5.827	0.222	27.052	3.992	0.148
CNAG_03640	CNB01410	79.445	17.385	0.219	87.226	13.498	0.155
CNAG_02693	CNK01810	58.354	14.069	0.241	153.763	20.864	0.136
CNAG_06994	CNG00070	38.666	8.488	0.22	43.078	6.964	0.162
CNAG_03811	CNB03020	30.678	7.027	0.229	65.541	10.037	0.153
CNAG_02127	CNE04100	51.963	11.878	0.229	100.079	15.868	0.159
CNAG_04700	CNJ01300	49.173	11.967	0.243	64.927	9.415	0.145
CNAG_00580	CNA05630	92.152	21.565	0.234	199.643	30.885	0.155
CNAG_01675	CNC01860	32.449	8.783	0.271	30.695	3.821	0.124
