# ribosum_JEC21.txt
# Summary of ribosome profiling data, C. neoformans serotype D JEC21
# Mean of 2 quasi-replicates (WT JEC21 and AGO1 deletion mutant)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: JEC21 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNA00010	20.899	6.1	0.292
CNA00020	133.8	25.906	0.194
CNA00030	14.193	1.827	0.129
CNA00040	17.485	41.836	2.393
CNA00050	8.116	10.649	1.312
CNA00060	147.873	28.974	0.196
CNA00070	327.262	252.464	0.771
CNA00075	4.446	0.679	0.153
CNA00080	3.496	0.976	0.279
CNA00090	311.345	219.779	0.706
CNA00100	1.557	0.962	0.618
CNA00110	45.264	17.587	0.389
CNA00120	1198.041	791.596	0.661
CNA00130	NA	NA	NA
CNA00140	90.84	91.848	1.011
CNA00150	102.671	93.537	0.911
CNA00160	4.456	0.846	0.19
CNA00170	103.758	32.175	0.31
CNA00180	9.231	5.62	0.609
CNA00190	70.825	235.414	3.324
CNA00200	8.993	3.897	0.433
CNA00210	1.932	0.203	0.105
CNA00220	0.519	0.22	0.423
CNA00225	0.253	0.715	2.822
CNA00230	6.733	2.597	0.386
CNA00240	3.184	0.633	0.199
CNA00250	5191.439	5646.733	1.088
CNA00260	7.527	14.744	1.959
CNA00270	4.779	4.424	0.926
CNA00280	35.368	16.385	0.463
CNA00290	6.414	7.87	1.227
CNA00300	48.445	137.161	2.831
CNA00310	2.823	1.547	0.548
CNA00320	6.567	5.339	0.813
CNA00330	15.839	21.257	1.342
CNA00340	9.91	12.716	1.283
CNA00350	356.74	198.98	0.558
CNA00360	8.371	4.28	0.511
CNA00370	2.2	0.211	0.096
CNA00380	13.677	2.013	0.147
CNA00390	59.498	45.832	0.77
CNA00400	11.498	7.905	0.688
CNA00410	1.564	0.714	0.457
CNA00420	19.914	5.185	0.26
CNA00430	3.174	1.149	0.362
CNA00450	37.13	74.68	2.011
CNA00460	9.709	13.449	1.385
CNA00470	16.052	52.342	3.261
CNA00480	371.303	268.659	0.724
CNA00485	120.75	16.745	0.139
CNA00490	44.77	29.106	0.65
CNA00510	343.983	1664.252	4.838
CNA00520	45.914	33.786	0.736
CNA00530	65.392	135.74	2.076
CNA00540	27.851	29.792	1.07
CNA00550	263.165	100.961	0.384
CNA00560	265.593	781.823	2.944
CNA00570	10.817	6.779	0.627
CNA00580	277.435	503.439	1.815
CNA00590	12.508	24.778	1.981
CNA00600	3.666	2.192	0.598
CNA00610	9.796	4.605	0.47
CNA00620	74.531	207.15	2.779
CNA00630	34.233	40.558	1.185
CNA00640	14.669	16.421	1.119
CNA00650	3.855	4.916	1.275
CNA00660	14.346	5.037	0.351
CNA00670	14.295	9.878	0.691
CNA00680	8.683	11.792	1.358
CNA00690	13.743	9.845	0.716
CNA00700	3.276	3.455	1.055
CNA00710	54.611	52.242	0.957
CNA00720	67.931	26.801	0.395
CNA00730	14.155	17.056	1.205
CNA00740	33.412	144.882	4.336
CNA00750	62.859	79.961	1.272
CNA00760	89.551	56.599	0.632
CNA00770	19.327	18.779	0.972
CNA00780	331.854	360.984	1.088
CNA00790	44.236	57.868	1.308
CNA00800	24.745	6.735	0.272
CNA00820	0.951	0.933	0.981
CNA00830	1210.895	534.978	0.442
CNA00840	0.409	1.358	3.317
CNA00850	6.96	5.473	0.786
CNA00860	15.898	8.26	0.52
CNA00870	11.558	8.989	0.778
CNA00880	7.055	11.035	1.564
CNA00890	7.178	11.911	1.659
CNA00900	21.418	48.267	2.254
CNA00910	102.19	396.241	3.878
CNA00920	131.576	50.574	0.384
CNA00930	29.112	42.088	1.446
CNA00940	307.717	101.966	0.331
CNA00950	39.292	146.882	3.738
CNA00960	1.747	0.894	0.512
CNA00970	24.35	11.484	0.472
CNA00980	5.3	1.935	0.365
CNA00990	194.871	137.04	0.703
CNA01000	281.882	127.783	0.453
CNA01010	16.243	18.971	1.168
CNA01020	93.463	92.812	0.993
CNA01030	24.786	7.395	0.298
CNA01040	25.517	6.826	0.268
CNA01050	12.221	34.319	2.808
CNA01060	1696.181	4104.666	2.42
CNA01070	64.731	78.45	1.212
CNA01080	96.682	37.468	0.388
CNA01090	55.401	27.036	0.488
CNA01095	108.411	23.643	0.218
CNA01100	69.17	78.807	1.139
CNA01120	17.145	26.171	1.527
CNA01130	0.972	1.096	1.127
CNA01140	6.63	5.985	0.903
CNA01150	2.592	0.451	0.174
CNA01160	148.433	115.662	0.779
CNA01170	41.824	6.981	0.167
CNA01180	11.703	20.724	1.771
CNA01190	6.108	1.178	0.193
CNA01200	2.052	0.156	0.076
