# Mitochondrial Ribosome components from SGD, September 2018
# List assembled by Rob Nash
#
SUBUNIT	COMPONENT	NAME	GENE_ID	SGDID	UNIPROT_ID
L	uL1m	MRPL1	YDR116C	SGD:S000002523	Q04599
L	uL2m	RML2	YEL050C	SGD:S000000776	P32611
L	uL3m	MRPL9	YGR220C	SGD:S000003452	P31334
L	uL4m	YML6	YML025C	SGD:S000004487	P51998
L	uL5m	MRPL7	YDR237W	SGD:S000002645	P36519
L	uL6m	MRPL6	YHR147C	SGD:S000001190	P32904
L	bL12m	MNP1	YGL068W	SGD:S000003036	P53163
L	bL9m	MRPL50	YNR022C	SGD:S000005305	P53724
L	uL10m	MRPL11	YDL202W	SGD:S000002361	P36521
L	uL11m	MRPL19	YNL185C	SGD:S000005129	P53875
L	uL13m	MRPL23	YOR150W	SGD:S000005676	Q12487
L	uL14m	MRPL38	YKL170W	SGD:S000001653	P35996
L	uL15m	MRPL10	YNL284C	SGD:S000005228	P36520
L	uL16m	MRPL16	YBL038W	SGD:S000000134	P38064
L	bL17m	MRPL8	YJL063C	SGD:S000003599	P22353
L	bL19m	IMG1	YCR046C	SGD:S000000642	P25626
L	bL21m	MRPL49	YJL096W	SGD:S000003632	P40858
L	uL22m	MRPL22	YNL177C	SGD:S000005121	P53881
L	uL23m	MRP20	YDR405W	SGD:S000002813	P32387
L	uL24m	MRPL40	YPL173W	SGD:S000006094	P36534
L	bL27m	MRP7	YNL005C	SGD:S000004950	P12687
L	bL28m	MRPL24	YMR193W	SGD:S000004806	P36525
L	uL29m	MRPL4	YLR439W	SGD:S000004431	P36517
L	uL30m	MRPL33	YMR286W	SGD:S000004899	P20084
L	bL31m	MRPL36	YBR122C	SGD:S000000326	P36531
L	bL32m	MRPL32	YCR003W	SGD:S000000596	P25348
L	bL33m	MRPL39	YML009C	SGD:S000004468	P36533
L	bL34m	MRX14	YDR115W	SGD:S000002522	Q04598
L	bL35m		YNL122c	SGD:S000005066	P53921
L	bL36m	RTC6	YPL183W-A	SGD:S000007224	O14464
L	mL38	MRPL35	YDR322W	SGD:S000002730	Q06678
L	mL40	MRPL28	YDR462W	SGD:S000002870	P36527
L	mL41	MRPL27	YBR282W	SGD:S000000486	P36526
L	mL43	MRPL51	YPR100W	SGD:S000006304	Q06090
L	mL44	MRPL3	YMR024W	SGD:S000004626	P36516
L	mL46	MRPL17	YNL252C	SGD:S000005196	P36528
L	mL49	IMG2	YCR071C	SGD:S000000667	P25642
L	mL50	MRPL13	YKR006C	SGD:S000001714	Q02204
L	mL53	MRPL44	YMR225C	SGD:S000004838	P19956
L	mL54	MRPL37	YBR268W	SGD:S000000472	P36532
L	mL57	MRPL15	YLR312W-A	SGD:S000004304	P36523
L	mL58	MRPL20	YKR085C	SGD:S000001793	P22354
L	mL59	MRPL25	YGR076C	SGD:S000003308	P23369
L	mL60	MRPL31	YKL138C	SGD:S000001621	P14063
L	mL61	MRP49	YKL167C	SGD:S000001650	P32388
L	mL67	MHR1	YDR296W	SGD:S000002704	Q06630
S	bS1m	MRP51	YPL118W	SGD:S000006039	Q02950
S	uS2m	MRP4	YHL004W	SGD:S000000996	P32902
S	uS3m	VAR1	Q0140	SGD:S000007275	P02381
S	uS4m	NAM9	YNL137C	SGD:S000005081	P27929
S	uS5m	MRPS5	YBR251W	SGD:S000000455	P33759
S	bS6m	MRP17	YKL003C	SGD:S000001486	P28778
S	uS7m	RSM7	YJR113C	SGD:S000003874	P47150
S	uS8m	MRPS8	YMR158W	SGD:S000004767	Q03799
S	uS9m	MRPS9	YBR146W	SGD:S000000350	P38120
S	uS10m	RSM10	YDR041W	SGD:S000002448	Q03201
S	uS11m	MRPS18	YNL306W	SGD:S000005250	P42847
S	uS12m	MRPS12	YNR036C	SGD:S000005319	P53732
S	uS13m	SWS2	YNL081C	SGD:S000005025	P53937
S	uS14m	MRP2	YPR166C	SGD:S000006370	P10663
S	uS15m	MRPS28	YDR337W	SGD:S000002745	P21771
S	bS16m	MRPS16	YPL013C	SGD:S000005934	Q02608
S	uS17m	MRPS17	YMR188C	SGD:S000004800	Q03246
S	bS18m	RSM18	YER050C	SGD:S000000852	P40033
S	uS19m	RSM19	YNR037C	SGD:S000005320	P53733
S	bS21m	MRP21	YBL090W	SGD:S000000186	P38175
S	mS23	RSM25	YIL093C	SGD:S000001355	P40496
S	mS26	PET123	YOR158W	SGD:S000005684	P17558
S	mS29	RSM23	YGL129C	SGD:S000003097	Q01163
S	mS33	RSM27	YGR215W	SGD:S000003447	P53305
S	mS35	RSM24	YDR175C	SGD:S000002582	Q03976
S	mS36	YMR31	YFR049W	SGD:S000001945	P19955
S	mS37	MRP10	YDL045W-A	SGD:S000006430	O75012
S	mS38	QRI5	YLR204W	SGD:S000004194	P32344
S	mS41	FYV4	YHR059W	SGD:S000001101	P38783
S	mS42	RSM26	YJR101W	SGD:S000003862	P47141
S	mS43	MRP1	YDR347W	SGD:S000002755	P10662
S	mS44	MRP13	YGR084C	SGD:S000003316	P12686
S	mS45	MRPS35	YGR165W	SGD:S000003397	P53292
S	mS46	RSM28	YDR494W	SGD:S000002902	Q03430
S	mS47	EHD3	YDR036C	SGD:S000002443	P28817
