ORF	WTA1	WTA2	WTB	WTARNA	WTBRNA
C1_00010W_A	0.4	0	0.1	0.1	0
C1_00020C_A	11.4	3.3	0.2	153.4	91.4
C1_00030C_A	0.9	0.5	0	12	5.3
C1_00040W_A	19.2	18.2	10.6	42.7	25.1
C1_00050C_A	0.4	0.5	0.2	10	30.3
C1_00060W_A	301	319.6	190.3	145.2	68.5
C1_00070W_A	185.2	195.8	171.1	142.8	103.3
C1_00080C_A	54.4	48.9	33.4	45.3	28.2
C1_00090W_A	3.3	5	1.4	2.6	1.5
C1_00100C_A	14.5	13.5	14.9	21.5	18.8
C1_00110W_A	94.6	93.9	99.8	90.2	98.5
C1_00120C_A	43.9	36.6	38.2	102.2	83.3
C1_00130C_A	16.1	16.8	10.2	27.4	18.4
C1_00140W_A	24	24.4	20.4	21.9	20.1
C1_00150C_A	10	12.2	5.9	12.4	5.8
C1_00160C_A	208.8	217.3	809.4	192.2	580.1
C1_00170W_A	80	78.5	20.7	74.9	16.3
C1_00180W_A	3485.4	3493.3	5029.7	3806.6	4455.5
C1_00190C_A	0.2	0.5	0.1	0.2	0.1
C1_00200C_A	10.8	12.8	4.2	98.8	65.2
C1_00210C_A	136.2	138.8	81.4	244	159.1
C1_00220W_A	134.6	135.2	100.8	162.7	107.2
C1_00230C_A	12.6	13.9	8.1	16.9	12.1
C1_00270W_A	8.6	7	0.7	24	2.9
C1_00290W_A	2.5	2.3	0.4	9.9	2
C1_00310W_A	24.3	22	8.6	38.8	15.3
C1_00320W_A	31.4	27.4	16.4	37	22
C1_00330C_A	84.1	85.9	59.3	118.6	93.2
C1_00340W_A	65.5	74.2	94.3	94.5	158.5
C1_00350C_A	120.6	125.9	46.3	194.2	72.7
C1_00360W_A	5.1	4.7	4.1	10.2	8.5
C1_00370W_A	20.5	21.4	28.4	28	46.9
C1_00380C_A	17.9	14.8	10.2	35.9	38.8
C1_00390W_A	17.2	17.9	7.5	17.3	9.2
C1_00400W_A	63.7	59.8	90.8	63.7	104
C1_00410C_A	13.2	14.8	22.8	17.7	26.2
C1_00420W_A	198	195.7	34.6	227.5	45.5
C1_00430W_A	10.5	9.5	6.7	15.6	11
C1_00440W_A	79.6	83.8	77.6	97.9	117.1
C1_00450C_A	172.7	162.4	248.1	245.3	320.7
C1_00460W_A	190.3	215.7	288.8	282.2	433.7
C1_00470C_A	15.3	17	9.9	29.4	27.3
C1_00480C_A	30.7	30.5	40.1	39.8	71.4
C1_00490C_A	477.7	504.1	249.1	557.8	370.8
C1_00500C_A	195.4	200.4	98.3	332.9	216
C1_00510W_A	24.7	21.6	14.7	66.5	71
C1_00520W_A	51	58.3	27.5	67.1	41.1
C1_00530C_A	11.1	10.8	5.3	14.3	8.2
C1_00540C_A	11.2	10.7	10.4	15.4	20
C1_00550W_A	8.9	8.9	2.1	12.2	5
C1_00560W_A	13.7	18.5	48.3	14.2	48.1
C1_00570C_A	4.4	3.4	2.2	9.2	7
C1_00580W_A	8	5.7	2.1	18.2	15.3
C1_00590W_A	181.5	168.2	539.9	245.6	498.2
C1_00600W_A	3.2	2.4	1.4	8.6	7.5
C1_00610W_A	53.3	50.9	27.9	81.7	54.4
C1_00620W_A	18.7	18.3	20.7	30.3	25.8
C1_00630W_A	3.5	3.5	2.2	3.6	2.6
C1_00640C_A	17.5	17.8	37.3	20.5	55.5
C1_00650C_A	104.4	99.7	65.8	100	70.8
C1_00660C_A	40.5	49.4	32.2	49.9	45.9
C1_00670C_A	2.4	2.5	1.3	9.1	5.9
C1_00680W_A	2.7	2.2	0.4	7.8	4.8
C1_00690W_A	5.7	4.8	2.8	10.9	13.9
C1_00700W_A	344.8	350.1	243	234.5	283
C1_00710C_A	172.5	181.3	260	124.4	176.1
C1_00730C_A	34.7	29.1	21.9	34	29
C1_00740C_A	40.8	30.2	27.7	214.2	385.6
C1_00750C_A	30.2	29.8	13.3	17.1	11.5
C1_00760W_A	39.4	43.4	29.7	67.4	58.5
C1_00770C_A	105.2	113.1	64	65.4	73.3
C1_00780C_A	1.3	1.1	0.9	2.3	1.6
C1_00790W_A	7.1	9.3	4.3	10	10.2
C1_00800C_A	56.2	44	77.2	115.4	297.4
C1_00810W_A	11.2	16.7	6.3	27.3	25.7
C1_00820W_A	9.3	9.3	4.2	18.7	18.8
C1_00830W_A	5.3	6.8	2.5	8.2	4.4
C1_00840C_A	15.2	18.9	29.9	15.9	28
C1_00850W_A	4.3	3.1	6.2	5.1	8.4
C1_00860W_A	7.8	10.8	6.5	13.2	13
C1_00870W_A	28.2	28.5	12.2	38.6	24.4
C1_00880W_A	1.8	2.7	1.4	3.5	4.2
C1_00890W_A	10.1	8.7	5.4	15.2	14.4
C1_00900W_A	47.8	48.3	215.4	42.2	248.2
C1_00910W_A	13.5	13.6	13.4	17	31.8
C1_00920W_A	6	5.7	3.1	10.9	9.7
C1_00930C_A	45.6	47.6	27.6	33.3	25.6
C1_00940W_A	141	126.8	136.8	157.1	234.5
