ORF	WT	Opt
NCU00003	4.5	3.7
NCU00004	35.8	39.2
NCU00005	9	9.7
NCU00006	27.3	25.1
NCU00007	13.9	17
NCU00008	27	28.6
NCU00009	0	0
NCU00010	35.8	39.1
NCU00011	0	0.5
NCU00013	0	0
NCU00014	20.7	37.4
NCU00015	17.7	66.1
NCU00017	1.6	0.6
NCU00018	751.7	719
NCU00019	14.2	15.7
NCU00021	192.8	136.5
NCU00022	5.4	3.5
NCU00023	18	36.2
NCU00024	46	31.5
NCU00025	56.1	63.7
NCU00026	18.1	18.2
NCU00027	18.2	18
NCU00028	161.7	242.8
NCU00029	31.8	15.7
NCU00030	47.4	42.5
NCU00031	1.7	5.5
NCU00032	40.2	31.9
NCU00033	6.4	4.5
NCU00034	10.9	13
NCU00035	31.4	27.6
NCU00037	25.4	19.1
NCU00038	5.9	5
NCU00039	0	0
NCU00040	393.7	334.2
NCU00041	98.9	119.1
NCU00042	25.2	59.5
NCU00043	308	218.4
NCU00045	18.6	15.7
NCU00046	37.8	50.8
NCU00047	0	0
NCU00048	0	0
NCU00050	223.8	153
NCU00051	50.6	41
NCU00052	0	0.1
NCU00054	0.5	0.1
NCU00055	0	0.2
NCU00056	6.8	4.3
NCU00057	40.7	66.1
NCU00059	17.4	19.2
NCU00060	12.4	16
NCU00061	0.6	0.3
NCU00064	92.3	72.4
NCU00065	20.2	18.3
NCU00066	42.1	30.7
NCU00067	41.8	52.1
NCU00068	63.4	57
NCU00069	0	2.5
NCU00070	11.8	12
NCU00071	0.2	0
NCU00072	87.9	66.5
NCU00073	91.5	66.9
NCU00074	44.4	77
NCU00075	85.4	92.4
NCU00076	7.7	7.1
NCU00077	19.2	10.4
NCU00078	50	40.5
NCU00079	3.7	36
NCU00080	143.7	36.3
NCU00081	4	1.8
NCU00082	0	0
NCU00083	39.4	51.4
NCU00084	2	3.3
NCU00085	6.1	4.8
NCU00086	0.1	0.2
NCU00087	169.3	139
NCU00088	164.4	91.8
NCU00089	30.2	29.5
NCU00090	52.4	129.8
NCU00091	16.8	10.9
NCU00092	14.2	15.3
NCU00093	0	0.3
NCU00095	57.7	54.8
NCU00096	0	0
NCU00097	4.5	6.8
NCU00099	0	0
NCU00100	10.5	7.5
NCU00101	49	31.5
NCU00102	626.1	271.6
