ORF	WT1A	WT1B	WT2A	WT2B	HS1A	HS1B
NCU00003	12.1	12.8	24.9	27.7	32.6	29.2
NCU00004	33.8	29.9	45.2	50.1	63.9	80.5
NCU00005	5.4	5.8	5.1	5	4.2	4.9
NCU00006	18.5	20.3	18.5	21.8	23.5	27
NCU00007	9.7	11.7	11.5	10.4	10.2	10.1
NCU00008	47.4	40.6	35.7	33.5	30.8	43.7
NCU00009	0.9	5.3	0	0	0	0.9
NCU00010	31.6	33.9	38	38.6	30.8	44
NCU00011	0.8	1.6	0	0	0.8	0
NCU00013	0	0	0	0	0	0
NCU00014	17.2	20.3	30.1	26.5	27.3	19.9
NCU00015	12	14.8	23.2	24.2	15	19.1
NCU00017	2	1.7	1	0.5	1.9	0.4
NCU00018	404.4	401.4	488.1	458.4	520.1	390.1
NCU00019	11.2	10.2	13.2	10.8	16	12.3
NCU00021	99.1	99.7	84.1	64.3	140.5	125.7
NCU00022	4.4	3.5	5.3	4.1	7.5	3.3
NCU00023	33	35.2	58.9	65.2	67.8	58.7
NCU00024	66	61.5	60.8	56	81	49.4
NCU00025	61.5	62.7	68.2	69	38.1	61.9
NCU00026	39.9	37.9	36.8	36	32.4	30.8
NCU00027	17.7	18.7	20.1	11	16.9	15.7
NCU00028	94.5	81.1	67.6	54.8	45.2	22.2
NCU00029	28.1	33.1	16.8	16.4	13.8	16.4
NCU00030	32.8	31.1	43	40.8	35.1	39.3
NCU00031	2.2	1.6	1.9	4.6	4.2	1.1
NCU00032	31	29	23.4	30.7	30.1	30.9
NCU00033	4.2	4	8.1	8.2	4.1	5.7
NCU00034	11.8	15.2	9.8	9.6	6.8	10
NCU00035	28.1	26.7	26.7	26	15.7	26.5
NCU00037	16.9	17.6	15.2	14.7	17.4	10.1
NCU00038	4.2	6.3	3.1	4.2	7.1	5.8
NCU00039	0.6	0.1	0	0.3	0	0
NCU00040	287.5	280.6	296.9	277.2	390.1	343.8
NCU00041	238.5	267.3	289.7	297.7	254.7	303.5
NCU00042	28.4	26.4	38.3	40.4	38.9	23.1
NCU00043	261.1	264.2	332.6	300.3	366.7	282.1
NCU00045	10.1	11	11	12.3	17.3	12.3
NCU00046	28.6	27.7	66.7	69.5	83.9	78.8
NCU00047	1	0.2	0	0	0	0
NCU00048	0	0.6	0	0	1.5	0
NCU00050	180.3	193.8	179	169.4	142.8	170
NCU00051	40.5	38.1	39.6	43.7	28.2	36.4
NCU00052	0	0.4	0.3	0	0.1	0
NCU00054	0.3	0.5	0.1	0.3	0.4	0.3
NCU00055	0.6	0.3	0	0	0.6	0
NCU00056	5.7	4.5	4	5.8	5.5	4.4
NCU00057	31.8	34.4	39.2	37.4	30.3	46.8
NCU00059	5.5	7.5	4.9	7	10	12
NCU00060	8.8	12.5	25.9	17.7	20.7	10.7
NCU00061	0.5	0.4	0.6	0.8	0.5	0.3
NCU00064	90.3	91.2	69.8	64.9	103.1	65.2
NCU00065	12.8	13.7	15.9	16.5	26.9	19
NCU00066	23.5	21	24.9	26	25	20.3
NCU00067	145.2	130.7	148.1	143.8	108.4	107.9
NCU00068	39.7	39.5	38.6	33.4	73.6	34.1
NCU00069	4	1.5	3.1	3.5	15.6	0.6
NCU00070	8	9.8	8.6	10.4	7.6	13
NCU00071	0.5	0.2	0	0	0	0
NCU00072	70.1	67.8	70.7	64	46.6	66.5
NCU00073	74.1	73.2	84.2	67.3	103.5	95.9
NCU00074	44	37.2	118.4	79	84.9	58.2
NCU00075	123.3	116.1	145.2	131	120.4	143.7
NCU00076	9.9	8.2	6.1	8.3	10.6	7
NCU00077	10.3	11.3	10.4	9.9	10.6	11.4
NCU00078	67.9	66.7	91.2	98.1	80.2	184.1
NCU00079	4.8	5.4	16	17.3	34.5	45.6
NCU00080	129.5	127.3	37.2	40.1	69.7	39.8
NCU00081	3.3	3.2	1.6	1.6	3	1.5
NCU00082	0	0	0	0	0	0.5
NCU00083	53.7	53.5	50.2	41.9	98.2	63.9
NCU00084	1.1	2.2	1.6	2.5	1.6	0.6
NCU00085	5.8	6.2	5.6	6.3	5.6	5.1
NCU00086	0	0.3	0.3	0.2	0	0.6
NCU00087	120.1	105.6	153.3	117.3	134.3	130.4
NCU00088	107.7	115.7	69.7	67.6	119.1	59.7
NCU00089	28.3	26.2	34.3	41	40.3	52.5
NCU00090	76.9	79	150.7	167.3	178.7	177.6
NCU00091	9.4	9.9	7.9	7.2	7.4	5.9
NCU00092	11.7	12.8	11.9	4.2	13.8	8.1
NCU00093	0	0	0	0	0	0
