ORF	WT	Opt	WTRNA
NCU00003	4.5	3.7	1.6
NCU00004	35.8	39.2	8.8
NCU00005	9	9.7	6.2
NCU00006	27.3	25.1	5.8
NCU00007	13.9	17	5.5
NCU00008	27	28.6	11.1
NCU00009	0	0	0
NCU00010	35.8	39.1	4.8
NCU00011	0	0.5	72.5
NCU00013	0	0	0
NCU00014	20.7	37.4	4.1
NCU00015	17.7	66.1	44.2
NCU00017	1.6	0.6	0.3
NCU00018	751.7	719	176.3
NCU00019	14.2	15.7	4.1
NCU00021	192.8	136.5	26
NCU00022	5.4	3.5	0.9
NCU00023	18	36.2	12.9
NCU00024	46	31.5	17.4
NCU00025	56.1	63.7	13.4
NCU00026	18.1	18.2	7.8
NCU00027	18.2	18	6.2
NCU00028	161.7	242.8	28.8
NCU00029	31.8	15.7	8.4
NCU00030	47.4	42.5	15.7
NCU00031	1.7	5.5	2.7
NCU00032	40.2	31.9	20.6
NCU00033	6.4	4.5	0
NCU00034	10.9	13	65.3
NCU00035	31.4	27.6	6.7
NCU00037	25.4	19.1	16.4
NCU00038	5.9	5	3.1
NCU00039	0	0	0
NCU00040	393.7	334.2	134.1
NCU00041	98.9	119.1	40.8
NCU00042	25.2	59.5	29.3
NCU00043	308	218.4	33.3
NCU00045	18.6	15.7	4.5
NCU00046	37.8	50.8	7.4
NCU00047	0	0	0
NCU00048	0	0	0
NCU00050	223.8	153	223.4
NCU00051	50.6	41	15
NCU00052	0	0.1	0
NCU00054	0.5	0.1	0.8
NCU00055	0	0.2	0
NCU00056	6.8	4.3	3.9
NCU00057	40.7	66.1	25.9
NCU00059	17.4	19.2	10.4
NCU00060	12.4	16	12.7
NCU00061	0.6	0.3	4.8
NCU00064	92.3	72.4	15.4
NCU00065	20.2	18.3	13.5
NCU00066	42.1	30.7	7.5
NCU00067	41.8	52.1	197
NCU00068	63.4	57	8.1
NCU00069	0	2.5	6.5
NCU00070	11.8	12	2.5
NCU00071	0.2	0	0
NCU00072	87.9	66.5	93.1
NCU00073	91.5	66.9	14
NCU00074	44.4	77	14.3
NCU00075	85.4	92.4	34.8
NCU00076	7.7	7.1	3.8
NCU00077	19.2	10.4	2.2
NCU00078	50	40.5	26
NCU00079	3.7	36	1.2
NCU00080	143.7	36.3	16.4
