ORF	NCHX1	NCHX3	NnoC1	NnoC3	SCHX1	SCHX3	SnoC1	SnoC3
SPAC1002.01	9.7	8	12.7	5.8	17	19.2	17.1	29.8
SPAC1002.02	45.2	45.9	38.4	38.9	61.8	79.3	55.8	54.3
SPAC1002.03c	76.5	65.8	81	63.3	51.8	56.9	73.2	86
SPAC1002.04c	47.8	37.4	42.8	38.3	83	80	66.3	75.7
SPAC1002.05c	4.3	3.4	2.5	2	5.5	3.7	6.2	7.8
SPAC1002.06c	1	2.1	1.3	0.6	12.1	22.8	8.3	12.5
SPAC1002.07c	148.3	93.3	149.8	118.6	98.5	128.7	87.7	105.2
SPAC1002.08c	10.7	8.2	4.6	5.3	3.5	3.1	1.3	4.4
SPAC1002.09c	274.4	218.5	291.4	240	501.5	476.8	629.8	625
SPAC1002.10c	13.5	10.7	10.9	9.7	10.9	10.4	9	11.1
SPAC1002.11	11.9	8.8	9.5	7.5	13.8	16.7	13.6	20.2
SPAC1002.12c	57.4	45.6	48.8	45.5	178.9	95.7	110.7	90.1
SPAC1002.13c	1695.8	1428.2	1384	1097.3	758.2	675.7	549.2	503.2
SPAC1002.14	3.5	1.9	2	1.1	4.9	2.6	2.3	1.1
SPAC1002.15c	20.6	23.7	16.5	13	19.7	24.2	11	16.2
SPAC1002.16c	12.7	7.7	9.1	8.1	8	8.1	6.6	8
SPAC1002.17c	21.9	29.8	30.5	32.2	17993.9	20506.7	22245.4	21688.6
SPAC1002.18	60	48.3	57.4	49.4	3632.3	4189.4	4369.4	4782.5
SPAC1002.19	14.8	11.3	18.3	7.7	18024.6	17380.1	25123.3	22272.9
SPAC1002.20	0.8	0	0	0.7	1.3	0	0	0
SPAC1006.01	111.8	93	107.6	105.4	710.8	754	1066.6	1142.1
SPAC1006.02	13.7	13.4	9.6	13.2	8.2	11.1	5.1	9.1
SPAC1006.03c	11.5	10.4	10.5	10.2	15	14.2	19.3	17.2
SPAC1006.04c	0.4	0.4	0.5	0.7	0.7	0.7	0.7	1.6
SPAC1006.05c	41.2	31.9	37.1	32.9	54.1	68.1	32.4	54.9
SPAC1006.06	8.6	9.3	6.8	6.3	13.5	13.4	9.9	15.1
SPAC1006.07	2315.7	2694.7	2193.3	2701.6	458.4	478.7	306.9	382.7
SPAC1006.08	26.3	27.4	19	25.7	10.6	16.8	5.5	18.4
SPAC1006.09	14.5	11.4	10.6	9.8	14.4	18.2	15	29.4
SPAC1039.01	27.6	16.2	25.1	19.2	1015.5	1106.4	970.6	1133.3
SPAC1039.02	279.4	234.9	259	222.3	7411.4	7682.9	9410.4	9510.8
