## mrna and ribosome profiling read counts for S. pombe 972h- genes
## Duncan C and Mata J (2017) Effects of cycloheximide on the interpretation of ribosome profiling experiments in Schizosaccharomyces pombe. Scientific reports 7:10331
## personal communication by Juan Mata <jm593@cam.ac.uk>, 2019
## 
Gene	wt.noN.CHX.ribo.cds.1	wt.N.CHX.ribo.cds.1	wt.noN.noCHX.ribo.cds.1	wt.N.noCHX.ribo.cds.1	wt.noN.CHX.ribo.cds.3	wt.N.CHX.ribo.cds.3	wt.noN.noCHX.ribo.cds.3	wt.N.noCHX.ribo.cds.3	wt.noN.CHX.mrna.cds.1	wt.N.CHX.mrna.cds.1	wt.noN.noCHX.mrna.cds.1	wt.N.noCHX.mrna.cds.1	wt.noN.CHX.mrna.cds.3	wt.N.CHX.mrna.cds.3	wt.noN.noCHX.mrna.cds.3	wt.N.noCHX.mrna.cds.3
SPAC1002.01	221	95	44	67	40	31	35	20	62	110	45	51	135	145	68	101
SPAC1002.02	995	610	181	301	208	245	104	110	879	1237	527	658	959	1028	532	513
SPAC1002.03c	3213	4030	890	2454	555	1437	585	747	2090	3813	1747	1986	4974	6465	3920	4741
SPAC1002.04c	1182	615	181	285	185	196	125	98	397	500	260	220	624	664	377	360
SPAC1002.05c	267	180	56	53	28	61	42	19	539	520	352	176	705	402	348	194
SPAC1002.06c	97	5	16	3	33	4	7	1	0.5	2	1	0.5	4	1	3	3
SPAC1002.07c	1225	1506	199	877	269	403	154	267	286	604	192	278	576	853	403	583
SPAC1002.08c	73	221	6	62	9	86	9	26	316	681	263	256	654	920	594	443
SPAC1002.09c	17249	8038	4288	4857	2570	2691	2448	1511	4509	5165	4292	3027	9692	8571	8646	6292
SPAC1002.10c	437	466	58	212	69	135	45	73	1348	1832	752	836	1489	1539	1058	777
SPAC1002.11	452	369	99	181	73	101	77	53	728	956	534	456	1451	1548	1029	859
SPAC1002.12c	6532	1886	793	872	579	597	372	313	1983	1063	1611	450	4419	2165	3479	1318
SPAC1002.13c	20674	39641	2973	18543	2952	13996	1583	5621	2833	8317	1977	3022	11039	16099	5159	10296
SPAC1002.14	136	84	8	27	9	19	2	7	745	916	599	348	1109	1180	869	555
SPAC1002.15c	286	269	34	109	57	110	33	42	143	272	87	118	297	376	241	223
SPAC1002.16c	257	383	45	155	47	96	27	50	220	701	114	177	344	631	185	257
SPAC1002.17c	224991	260	60154	285	41151	151	33045	76	10851	55	11218	19	33048	256	24309	150
SPAC1002.18	97784	1403	23901	795	17493	471	14572	271	8199	545	7857	263	30249	1097	23641	722
SPAC1002.19	482063	382	144916	404	75247	113	70744	37	21680	93	24802	39	70772	306	52523	195
SPAC1002.20	9	4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	8	5	2	4	5	7	5
SPAC1006.01	21656	2935	6476	1646	3635	1002	3863	590	2643	1159	2877	456	8454	2854	7697	1924
SPAC1006.02	182	286	25	123	28	126	16	61	250	567	180	287	590	937	391	603
SPAC1006.03c	777	509	178	250	115	169	112	94	1541	2359	1084	1214	2322	2633	1579	1357
SPAC1006.04c	34	18	3	13	5	9	4	7	189	260	145	149	246	285	185	146
SPAC1006.05c	1369	941	181	491	250	314	169	161	882	980	585	429	1655	1322	1221	732
SPAC1006.06	1075	571	162	243	153	237	132	102	2452	3684	1832	1723	4525	4639	2678	2798
SPAC1006.07	12420	51455	1637	28765	2077	24895	1169	13000	1610	10084	1593	4985	5888	21677	4299	17721
SPAC1006.08	263	572	25	251	72	248	48	123	344	978	134	387	658	1322	491	752
SPAC1006.09	1413	1201	284	506	284	386	279	177	2158	3170	1421	1179	5241	5040	3157	2524
SPAC1039.01	39160	919	7350	470	7091	235	4977	140	8308	587	7445	251	27335	1136	18169	777
SPAC1039.02	288195	9607	75985	5310	49524	3456	43994	1719	41368	6086	38738	3498	77904	8486	59758	6430
SPAC1039.03	1514	30	388	12	826	20	935	6	1002	962	780	397	3101	1217	2516	750
SPAC1039.04	645	61	85	21	222	29	146	15	497	582	434	209	2694	1056	1977	549
SPAC1039.05c	1337	247	201	128	287	120	223	47	2246	1143	1822	695	4545	1540	3161	949
SPAC1039.06	9217	1453	1696	787	3589	618	3619	314	1524	815	1401	464	8105	1835	6202	1292
SPAC1039.07c	2004	232	248	105	608	127	518	46	791	350	385	162	2547	758	1460	443
SPAC1039.08	527	163	55	51	82	56	52	28	754	168	331	92	1662	318	1040	200
SPAC1039.09	8967	540	1233	376	2369	189	2347	137	3830	369	1612	181	14390	845	8146	715
SPAC1039.10	29479	535	3927	392	8396	191	5869	186	861	60	692	29	3456	151	2620	131
SPAC1039.11c	273	100	49	64	47	60	24	26	326	596	223	221	560	980	362	574
