Gene_name	RNA	Ribo
YAL001C	37.8	18.12
YAL002W	22.17	5.73
YAL003W	4621.86	7065.07
YAL007C	212.42	209.47
YAL008W	49.96	95.55
YAL009W	34.96	18.89
YAL010C	16.67	11.05
YAL011W	17.4	10.5
YAL012W	568.34	1094.02
YAL013W	25.52	40.68
YAL014C	63.3	29.91
YAL015C	23.07	13.4
YAL016W	143.3	155
YAL017W	50.59	20.26
YAL018C	0.15	0.06
YAL019W	74.28	36.23
YAL020C	25.42	13.6
YAL021C	92.55	60.77
YAL022C	61.02	36.38
YAL023C	342.36	226.78
YAL024C	25.86	7.82
YAL025C	58.06	133.77
YAL026C	74.53	25.1
YAL027W	18.86	14.4
YAL028W	8.11	2.59
YAL029C	79.19	20.31
YAL030W	127.45	134.79
YAL031C	26.23	11.53
YAL032C	24.41	19.56
YAL033W	61.73	56.85
YAL034C	18.23	2.57
YAL034W-A	14.47	16.1
YAL035W	403.98	420.29
YAL036C	147.38	175.34
YAL037C-A	1.64	0
YAL037W	4.79	0.99
YAL038W	11070.12	15983.24
YAL039C	21.95	43.33
YAL040C	35.55	11.13
YAL041W	53.48	27.46
YAL042W	263.39	172.3
YAL043C	55.3	30.39
YAL044C	450.75	704.01
YAL044W-A	115.43	132.76
YAL046C	106.35	114.48
YAL047C	16.69	9.27
YAL048C	19.11	9.92
YAL049C	94.23	123.6
YAL051W	32.25	16.27
YAL053W	63.73	47.4
YAL054C	13.87	0.95
YAL055W	23.24	22.93
YAL056W	39.15	8.51
YAL058W	44.41	22.87
YAL059W	85.66	89.21
YAL060W	187.71	175.34
YAL061W	21.72	27.94
YAL067C	2.24	0.5
YAR002C-A	322.25	351.91
YAR002W	70.67	78.64
YAR003W	33.96	15.95
YAR007C	82.58	102.65
YAR008W	28.99	24.93
YAR014C	69.97	41.09
YAR015W	215.51	284.91
YAR018C	34.73	17.35
YAR019C	16.27	4.97
YAR023C	10.17	0.69
YAR027W	66.39	69.28
YAR028W	37.65	34.8
YAR029W	11.31	1.23
YAR035W	6.45	1.41
YAR042W	62.26	26.06
YBL001C	280.62	377.28
YBL002W	1005.7	1829.22
YBL004W	150.68	42.94
YBL005W	30.05	8.44
YBL006C	103.9	85.13
YBL007C	192.07	127.96
YBL008W	30.82	14.18
YBL008W-A	5.61	1.56
YBL009W	33.42	25.48
YBL010C	22.15	21.77
YBL011W	86.24	31.5
YBL013W	11.78	7.92
YBL014C	38.53	5.62
YBL015W	32.09	36.1
YBL016W	49.77	48.73
YBL017C	121.31	70.79
YBL018C	95.47	89.59
YBL019W	11.83	6.32
YBL020W	53.16	21.07
YBL021C	41.35	59.03
YBL022C	157.63	86.38
YBL023C	45.47	38.37
YBL024W	171.82	175.54
YBL025W	28.85	37.53
YBL026W	210.33	282.35
YBL028C	190.36	341.25
YBL029C-A	31.41	34.95
YBL029W	3.01	3.31
