Id	WT30_a	WT30_b	WT30_c	upf1E30_a	upf1E30_b	upf1E30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.upf1E30_a	norm.upf1E30_b	norm.upf1E30_c	baseMean	WT	upf1E30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNA00010	2660	1222	3285	3870	2361	2538	2305	1894	2568	2999	2424	3022	2535.4	2256	2815	1.246	0.318	0.0159263533697196	0.0306059350926359	0.018	0.0089	0.0121	0.0121	TRUE	0.232
CNA00020	4735	2013	4621	4688	3531	2726	4102	3121	3612	3633	3626	3246	3556.65	3612	3502	0.969	-0.046	0.694583105623691	0.757934939755322	0.011	0.0086	0.0094	0.0094	TRUE	0.1713
CNA00030	1820	1063	2125	6049	5089	3854	1577	1648	1661	4688	5226	4589	3231.37	1629	4834	2.969	1.57	6.67318311440071e-59	3.18200414980201e-57	0.0027	0.0087	0.0064	0.0064	TRUE	0.0611
CNA00040	1841	987	1956	2058	1749	1252	1595	1530	1529	1595	1796	1491	1589.29	1551	1627	1.049	0.069	0.519189399218298	0.602082481910551	0.0039	0.0096	0.0076	0.0076	TRUE	0.0984
CNA00050	3420	2683	3754	3439	3577	2698	2963	4159	2935	2665	3673	3212	3267.91	3352	3183	0.95	-0.073	0.625702872952047	0.698410010428792	0.0326	0.0087	0.016	0.016	TRUE	0.5302
CNA00060	9649	6182	9325	8762	8604	6371	8360	9583	7290	6790	8835	7586	8073.98	8411	7737	0.92	-0.12	0.343598270758689	0.431565157966381	0.0166	0.0082	0.0115	0.0115	TRUE	0.1884
CNA00070	18852	11040	19745	15718	11009	10846	16333	17114	15435	12181	11305	12914	14213.68	16294	12133	0.745	-0.425	5.31205955900087e-06	2.05176752663507e-05	0.0034	0.0081	0.0062	0.0062	TRUE	0.0435
CNA00075	210	88	228	587	383	391	182	136	178	455	393	466	301.72	165	438	2.616	1.388	1.21220089287896e-17	1.33907791966696e-16	0.0086	0.0169	0.0147	0.0147	TRUE	0.2005
CNA00080	618	327	600	557	498	444	535	507	469	432	511	529	497.18	504	491	0.972	-0.041	0.761863085868667	0.815113564671109	0.0065	0.0133	0.0111	0.0111	TRUE	0.1349
CNA00090	5171	2405	4667	5068	4898	2729	4480	3728	3648	3928	5030	3249	4010.51	3952	4069	1.029	0.042	0.774804311374297	0.826025892840412	0.0301	0.0085	0.0152	0.0152	TRUE	0.3576
CNA00100	1079	568	1194	1643	1356	1028	935	881	933	1273	1392	1224	1106.41	916	1296	1.414	0.499	2.93613504635667e-06	1.1844615390902e-05	0.0019	0.0103	0.0073	0.0073	TRUE	0.0498
CNA00110	2505	1536	3167	3078	2593	2599	2170	2381	2476	2385	2663	3095	2528.28	2342	2714	1.158	0.212	0.0708793480209953	0.114026290942514	0.0103	0.0089	0.0095	0.0095	TRUE	0.1814
CNA00120	10752	4750	9871	7659	5903	4299	9315	7363	7716	5935	6062	5119	6918.49	8131	5705	0.702	-0.511	1.03091104882955e-05	3.81086359823885e-05	0.012	0.0083	0.0095	0.0095	TRUE	0.1982
CNA00130	7467	5331	8884	7982	7098	5938	6469	8264	6945	6186	7289	7070	7037.16	7226	6848	0.948	-0.077	0.504375198325657	0.588038489798146	0.0105	0.0083	0.0094	0.0094	TRUE	0.1913
CNA00140	2718	1302	3073	4477	3017	2907	2355	2018	2402	3470	3098	3461	2800.72	2258	3343	1.478	0.564	1.16802718956444e-07	5.83397453838216e-07	0.0057	0.0088	0.0078	0.0078	TRUE	0.1013
CNA00150	1823	1187	2025	1746	1509	1242	1579	1840	1583	1353	1550	1479	1563.99	1667	1461	0.877	-0.19	0.0861875877813652	0.135431799861282	0.0054	0.0096	0.0081	0.0081	TRUE	0.0953
CNA00160	1612	723	1623	1667	1468	1093	1397	1121	1269	1292	1507	1301	1314.48	1262	1367	1.081	0.112	0.349553933035887	0.437801108874124	0.0088	0.0099	0.0096	0.0096	TRUE	0.1092
CNA00170	17879	10270	22035	18091	14524	11557	15490	15921	17225	14020	14914	13761	15221.78	16212	14232	0.878	-0.188	0.0356566018358557	0.062472100705274	0.0024	0.0081	0.0057	0.0057	TRUE	0.0367
CNA00180	3383	1667	3727	4091	2752	2413	2931	2584	2914	3170	2826	2873	2883.01	2810	2956	1.052	0.073	0.47159208384719	0.556969410502347	0.0039	0.0088	0.007	0.007	TRUE	0.058
CNA00190	5936	3233	6754	8573	6244	5789	5143	5012	5280	6644	6412	6893	5897.13	5145	6650	1.292	0.37	1.82328149773581e-05	6.46714693340596e-05	7e-04	0.0083	0.0052	0.0052	TRUE	0.0124
CNA00200	707	366	722	834	618	528	613	567	564	646	635	629	608.99	581	637	1.094	0.13	0.261219568379842	0.344549910292854	0	0.0123	0.008	0.008	TRUE	0.0267
CNA00210	371	170	425	574	375	407	321	264	332	445	385	485	371.95	306	438	1.424	0.51	0.000789880170233283	0.00209580695288479	0.0104	0.0152	0.0138	0.0138	TRUE	0.1432
CNA00220	155	72	159	84	49	56	134	112	124	65	50	67	92.05	123	61	0.49	-1.029	1.45184280330678e-05	5.24118415049963e-05	0	0.0373	0.0283	0.0283	TRUE	0.1882
CNA00225	95	36	83	89	51	48	82	56	65	69	52	57	63.58	68	59	0.875	-0.192	0.493955895016028	0.578741324406264	0.0146	0.0505	0.041	0.041	TRUE	0.3287
CNA00230	1942	1047	2046	3788	3091	2619	1682	1623	1599	2936	3174	3118	2355.5	1635	3076	1.881	0.911	1.36878746509315e-22	2.00272037939015e-21	9e-04	0.009	0.0058	0.0058	TRUE	0.0197
CNA00240	232	159	289	1066	868	800	201	246	226	826	891	953	557.23	224	890	3.985	1.995	1.70930057739039e-49	6.19084383985983e-48	0.0043	0.0127	0.0102	0.0102	TRUE	0.0932
CNA00250	121607	57052	129045	109564	62451	63202	105356	88442	100879	84909	64130	75253	86494.61	98226	74764	0.761	-0.394	0.000828105685881004	0.00218585602788502	0.0136	0.0079	0.01	0.01	TRUE	0.1896
CNA00260	9044	4993	10732	17385	14971	11187	7835	7740	8390	13473	15373	13320	11021.9	7988	14055	1.759	0.815	1.95239002030862e-17	2.13186837802397e-16	0.0041	0.0081	0.0065	0.0065	TRUE	0.0822
CNA00270	1488	712	1610	1237	777	740	1289	1104	1259	959	798	881	1048.18	1217	879	0.722	-0.471	7.11575750333016e-05	0.000228614836316395	0.006	0.0105	0.0091	0.0091	TRUE	0.0787
CNA00280	2045	996	2075	2175	1518	1408	1772	1544	1622	1686	1559	1676	1643.11	1646	1640	0.996	-0.006	0.950607812631096	0.961487651780696	0.0027	0.0095	0.007	0.007	TRUE	0.0541
CNA00290	2637	1687	2850	3073	2455	2037	2285	2615	2228	2381	2521	2425	2409.27	2376	2442	1.029	0.042	0.680055588668541	0.746939181699495	0.0032	0.009	0.007	0.007	TRUE	0.0913
CNA00300	18902	12815	20478	21036	18268	14858	16376	19866	16008	16302	18759	17691	17500.4	17417	17584	1.01	0.014	0.8978258503686	0.921888417698386	0.0079	0.008	0.0086	0.0086	TRUE	0.1845
CNA00310	1324	1002	1649	901	673	578	1147	1553	1289	698	691	688	1011.16	1330	692	0.522	-0.937	2.63903343516032e-13	2.20573942096376e-12	0.0104	0.0106	0.0107	0.0107	TRUE	0.2502
CNA00320	2287	1276	2628	2108	1411	1256	1981	1978	2054	1634	1449	1495	1765.31	2004	1526	0.762	-0.393	6.94689980018333e-05	0.000223840796672898	0.0017	0.0094	0.0064	0.0064	TRUE	0.047
CNA00330	7536	4821	8779	7965	4792	4931	6529	7474	6863	6173	4921	5871	6304.98	6955	5655	0.813	-0.298	0.00679912766611332	0.0144576894998393	0.0088	0.0083	0.0086	0.0086	TRUE	0.1573
CNA00340	1172	673	1375	918	566	599	1015	1043	1075	711	581	713	856.57	1044	668	0.64	-0.643	8.81918807513795e-08	4.48263639279251e-07	0.005	0.011	0.0092	0.0092	TRUE	0.1534
