Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNA00010 Ntermext	0.003	No mitochondrial presequence	38(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	16-21	-	-	-	-	
CNA00020 Ntermext	0.000	No mitochondrial presequence	50(MPP)	-0.060		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00030 Ntermext	0.006	No mitochondrial presequence	21(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00040 Ntermext	0.000	No mitochondrial presequence	59(MPP)	-0.017		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00050 Ntermext	0.021	No mitochondrial presequence	45(MPP)	0.044		9-18-high	-	-	-	-	-	-	13-18	-	-	-	-	-	-	12-17	
CNA00060 Ntermext	0.983	Possessing mitochondrial presequence	34(MPP)	0.176		8-17-high	-	-	-	-	-	-	-	-	9-14	-	-	-	-	-	
CNA00070 Ntermext	0.012	No mitochondrial presequence	42(MPP)	0.071	30-34	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00075 Ntermext	0.019	No mitochondrial presequence	49(MPP), 50(Icp55)	-0.102	72-76	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00080 Ntermext	0.006	No mitochondrial presequence	9(MPP)	0.222		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00090 Ntermext	0.003	No mitochondrial presequence	17(MPP)	0.000	49-53	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00100 Ntermext	0.003	No mitochondrial presequence	13(MPP)	0.231	59-63	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00110 Ntermext	0.000	No mitochondrial presequence	63(MPP)	-0.048		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00120 Ntermext	0.103	No mitochondrial presequence	59(MPP), 60(Icp55)	0.034	2-6,11-15,44-48,56-60,64-68	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00130 Ntermext	0.013	No mitochondrial presequence	53(MPP)	0.057	1-5,50-54,89-93	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00140 Ntermext	0.000	No mitochondrial presequence	56(MPP)	-0.143		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00150 Ntermext	0.000	No mitochondrial presequence	72(MPP)	-0.014		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
