# dvsaATG_highdiffw_outframe_Sp.txt
# Genes with in-frame high-score dATGs
# In S. pombe 972h-:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
SPAC222.04c	0.731	0.998
SPAC11E3.01c	0.708	0.959
SPBC1703.02	0.678	0.925
SPBC13G1.01c	0.759	0.967
SPCC31H12.08c	0.705	0.91
SPAC29E6.03c	0.717	0.913
SPAC1071.01c	0.723	0.918
SPAC10F6.17c	0.733	0.924
SPCC1739.14	0.728	0.919
SPBC25H2.16c	0.807	0.99
SPAC806.02c	0.758	0.941
SPBC651.03c	0.774	0.956
SPCC10H11.01	0.711	0.889
SPBC409.03	0.732	0.908
SPAC4A8.05c	0.772	0.944
SPCC188.08c	0.737	0.909
SPBC530.04	0.727	0.899
SPCC663.10	0.748	0.917
SPAC9G1.02	0.718	0.886
SPAC823.11	0.817	0.983
SPCC63.11	0.709	0.875
SPAC6F6.12	0.739	0.905
SPAC23H4.15	0.816	0.978
SPAC17C9.13c	0.758	0.92
SPBC28F2.10c	0.785	0.945
SPAC10F6.09c	0.769	0.928
SPCC126.11c	0.694	0.852
SPBC29A10.10c	0.724	0.88
SPAC16.04	0.743	0.898
SPBC1539.01c	0.723	0.878
SPBC3B9.03	0.738	0.892
SPBC1703.15c	0.74	0.893
SPAPB1A10.12c	0.767	0.918
SPAC6F12.11c	0.741	0.892
SPBC1773.01	0.76	0.909
SPCP31B10.03c	0.783	0.931
SPAC1A6.05c	0.793	0.94
SPAC22F3.06c	0.715	0.862
SPBC1604.12	0.781	0.927
SPCC645.05c	0.744	0.889
SPBC27B12.11c	0.706	0.85
SPBC1289.10c	0.719	0.861
SPBC3F6.04c	0.777	0.919
SPAC17A2.14	0.827	0.969
SPBC16A3.14	0.737	0.877
SPBC354.14c	0.785	0.924
SPBC6B1.02	0.784	0.923
SPBC3E7.12c	0.726	0.863
SPAC24C9.02c	0.738	0.874
SPBC1677.03c	0.726	0.86
SPCC965.05c	0.675	0.809
SPBC947.07	0.768	0.901
SPAPB2B4.03	0.799	0.932
SPAP19A11.05c	0.794	0.927
SPCC2H8.05c	0.798	0.929
SPBC24C6.13	0.772	0.903
SPAP14E8.02	0.826	0.957
SPAC1556.08c	0.738	0.868
SPCC16A11.12c	0.833	0.963
SPAC630.10	0.747	0.877
SPAC1B1.01	0.696	0.825
SPAC16E8.12c	0.788	0.916
SPCC1919.13c	0.798	0.927
SPAC1071.03c	0.769	0.897
SPBC12C2.04	0.76	0.887
SPBC1347.05c	0.762	0.889
SPCC191.08	0.749	0.876
SPBC8D2.11	0.738	0.864
SPAC30.04c	0.726	0.852
SPCP31B10.02	0.687	0.812
SPAC2G11.06	0.722	0.847
SPCC1682.15	0.776	0.901
SPAC16C9.05	0.733	0.857
SPBP4H10.12	0.775	0.899
SPBC29A10.12	0.794	0.918
SPBC2F12.05c	0.781	0.904
SPBP8B7.21	0.721	0.843
SPAC57A10.02	0.654	0.777
SPAC30D11.10	0.759	0.881
SPBC887.05c	0.753	0.873
SPAC20H4.01	0.783	0.902
SPAC31A2.07c	0.783	0.902
SPCC736.08	0.796	0.915
SPAC1142.08	0.803	0.921
SPBP23A10.15c	0.846	0.965
SPAC1952.03	0.696	0.814
SPAC20H4.02	0.847	0.964
SPBC29A10.11c	0.726	0.843
SPBC2G2.14	0.749	0.866
SPAC13G7.08c	0.694	0.809
SPAC750.01	0.726	0.839
SPAC17G8.08c	0.812	0.924
SPBC543.09	0.804	0.916
SPCC330.11	0.788	0.898
SPBC19G7.09	0.73	0.841
SPBC26H8.06	0.853	0.963
SPBC530.15c	0.778	0.888
SPCC1739.01	0.831	0.941
SPAC4G9.08c	0.705	0.814
SPCC1450.11c	0.745	0.853
SPAC1805.04	0.838	0.945
SPAC29A4.08c	0.727	0.834
SPBC106.07c	0.763	0.87
SPAC9.12c	0.884	0.989
SPBC3E7.10	0.779	0.884
SPCC1259.04	0.819	0.923
SPAC823.05c	0.77	0.874
SPBC6B1.10	0.729	0.833
SPBC16G5.11c	0.802	0.905
SPAC2E12.02	0.769	0.872
SPAC12G12.10	0.717	0.819
SPAC21E11.06	0.732	0.834
SPCC4G3.13c	0.805	0.906
SPBC4F6.14	0.825	0.926
SPAC6B12.09	0.812	0.912
SPBC12C2.08	0.837	0.937
SPBC365.11	0.718	0.817
SPAC12G12.02	0.783	0.882
SPBC119.11c	0.753	0.852
SPBC336.02	0.811	0.909
SPCC338.07c	0.811	0.909
SPAC17A5.03	0.715	0.813
SPAC6B12.13	0.752	0.85
SPAC9G1.06c	0.785	0.881
SPBC1703.01c	0.778	0.873
SPAC19A8.03	0.752	0.847
SPCC1235.09	0.797	0.892
SPAC1783.04c	0.761	0.855
