# dvsaATG_highdiffn_inframe_Nc.txt
# Genes with in-frame high-score dATGs
# In N. crassa:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 40% by RNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn
NCU02127	0.652	0.975
NCU02596	0.683	0.992
NCU05040	0.706	1
NCU01333	0.691	0.983
NCU06558	0.694	0.983
NCU01121	0.717	0.992
NCU07509	0.728	0.992
NCU10044	0.675	0.939
NCU03605	0.74	1
NCU03793	0.717	0.974
NCU03699	0.702	0.957
NCU05306	0.755	1
NCU03749	0.755	1
NCU08568	0.755	1
NCU02511	0.767	1
NCU04427	0.743	0.975
NCU10029	0.77	1
NCU04595	0.771	1
NCU01307	0.754	0.983
NCU04323	0.756	0.983
NCU00954	0.751	0.975
NCU03859	0.719	0.939
NCU05419	0.728	0.948
NCU04045	0.728	0.948
NCU01417	0.765	0.983
NCU07657	0.757	0.975
NCU04510	0.761	0.975
NCU08791	0.761	0.975
NCU05078	0.778	0.992
NCU06615	0.788	1
NCU00236	0.788	1
NCU02108	0.728	0.94
NCU04332	0.78	0.992
NCU02903	0.72	0.93
NCU08195	0.773	0.983
NCU07694	0.694	0.903
NCU03339	0.784	0.992
NCU06368	0.731	0.939
NCU00418	0.797	1
NCU02376	0.774	0.975
NCU08293	0.731	0.93
NCU02005	0.795	0.992
NCU06877	0.754	0.948
NCU06997	0.755	0.948
NCU04153	0.784	0.974
NCU09904	0.784	0.975
NCU11195	0.751	0.939
NCU04109	0.795	0.983
NCU04857	0.795	0.983
NCU00405	0.788	0.974
NCU03993	0.788	0.974
NCU01821	0.805	0.992
NCU08067	0.815	1
NCU09761	0.756	0.94
NCU00847	0.793	0.974
NCU00742	0.818	1
NCU01418	0.819	1
NCU00322	0.822	1
NCU16993	0.691	0.868
NCU05999	0.771	0.948
NCU00293	0.75	0.925
NCU10789	0.756	0.931
NCU03194	0.801	0.974
NCU09560	0.81	0.983
NCU01221	0.757	0.93
NCU06108	0.811	0.983
NCU07576	0.754	0.925
NCU04554	0.761	0.931
NCU03177	0.74	0.909
NCU04069	0.724	0.892
NCU01965	0.774	0.94
NCU07851	0.828	0.992
NCU10381	0.829	0.992
NCU03369	0.786	0.948
NCU04047	0.795	0.956
NCU08502	0.731	0.889
NCU05425	0.783	0.94
NCU01904	0.818	0.974
NCU08044	0.784	0.939
NCU02124	0.845	1
NCU04196	0.75	0.903
NCU05200	0.728	0.88
NCU04676	0.822	0.974
NCU02428	0.74	0.892
NCU00893	0.848	1
NCU16624	0.752	0.903
NCU03535	0.78	0.93
NCU01838	0.782	0.931
NCU08066	0.782	0.931
NCU00867	0.827	0.975
NCU03007	0.853	1
NCU03131	0.794	0.94
NCU09714	0.805	0.948
NCU08229	0.832	0.974
NCU05433	0.833	0.974
NCU07997	0.728	0.868
NCU04775	0.835	0.975
NCU01119	0.784	0.923
NCU01501	0.845	0.983
NCU08288	0.862	1
NCU09331	0.838	0.975
NCU04815	0.811	0.948
NCU00223	0.838	0.974
NCU06744	0.784	0.92
NCU05301	0.814	0.948
NCU12151	0.866	1
NCU06711	0.859	0.992
NCU01399	0.809	0.94
NCU00535	0.863	0.992
NCU01427	0.846	0.975
NCU04368	0.855	0.983
NCU00166	0.784	0.912
NCU00936	0.849	0.975
NCU02887	0.857	0.983
NCU00135	0.866	0.992
NCU04594	0.875	1
NCU08217	0.751	0.875
NCU03827	0.755	0.879
