GENE	cds.length
SPAC1002.01	540
SPAC1002.02	690
SPAC1002.03c	2772
SPAC1002.04c	600
SPAC1002.05c	2148
SPAC1002.06c	357
SPAC1002.07c	507
SPAC1002.08c	1101
SPAC1002.09c	1536
SPAC1002.10c	1773
SPAC1002.11	1746
SPAC1002.12c	1644
SPAC1002.13c	1254
SPAC1002.14	1308
SPAC1002.15c	651
SPAC1002.16c	1500
SPAC1002.17c	615
SPAC1002.18	1200
SPAC1002.19	1320
SPAC1002.20	306
SPAC1006.01	1356
SPAC1006.02	1107
SPAC1006.03c	2139
SPAC1006.04c	2859
SPAC1006.05c	1191
SPAC1006.06	3477
SPAC1006.07	1179
SPAC1006.08	1176
SPAC1006.09	4311
SPAC1039.01	1704
SPAC1039.02	1806
SPAC1039.03	1026
SPAC1039.04	1524
SPAC1039.05c	2346
SPAC1039.06	1248
SPAC1039.07c	1347
SPAC1039.08	813
SPAC1039.09	1743
SPAC1039.10	381
SPAC1039.11c	2988
SPAC105.01c	2670
SPAC105.02c	513
SPAC105.03c	2127
SPAC1071.01c	2013
SPAC1071.02	3057
SPAC1071.03c	1017
SPAC1071.04c	504
SPAC1071.05	1020
SPAC1071.06	1572
SPAC1071.07c	465
SPAC1071.08	333
SPAC1071.09c	849
SPAC1071.10c	2760
SPAC1071.11	735
SPAC1071.12c	471
SPAC1071.13	318
SPAC1093.01	3786
SPAC1093.02	696
SPAC1093.03	2499
SPAC1093.04c	1503
SPAC1093.05	2208
SPAC1093.06c	12591
SPAC1093.07	237
SPAC10F6.01c	4422
SPAC10F6.02c	3507
SPAC10F6.03c	1803
SPAC10F6.04	1056
SPAC10F6.05c	684
SPAC10F6.06	774
SPAC10F6.07c	567
SPAC10F6.08c	1026
SPAC10F6.09c	3585
SPAC10F6.10	1494
SPAC10F6.11c	1236
SPAC10F6.12c	711
SPAC10F6.13c	1230
SPAC10F6.14c	1608
SPAC10F6.15	1299
SPAC10F6.16	420
SPAC10F6.17c	1335
SPAC110.01	3072
SPAC110.02	3618
SPAC110.03	579
SPAC110.04c	2163
SPAC110.05	228
SPAC1142.01	1971
SPAC1142.02c	954
SPAC1142.03c	2169
SPAC1142.04	2124
SPAC1142.05	522
SPAC1142.06	990
SPAC1142.07c	669
SPAC1142.08	2232
SPAC1142.09	348
SPAC11D3.01c	240
SPAC11D3.02c	453
SPAC11D3.03c	909
SPAC11D3.04c	393
SPAC11D3.05	1641
SPAC11D3.06	1368
SPAC11D3.07c	1914
SPAC11D3.08c	1653
SPAC11D3.09	1185
SPAC11D3.10	1305
SPAC11D3.11c	1074
SPAC11D3.13	669
SPAC11D3.14c	3783
SPAC11D3.15	3954
SPAC11D3.16c	396
SPAC11D3.17	1758
SPAC11D3.18c	1497
SPAC11D3.19	234
SPAC11E3.01c	3867
SPAC11E3.02c	3714
SPAC11E3.03	786
SPAC11E3.04c	447
SPAC11E3.05	3972
SPAC11E3.06	1197
SPAC11E3.07	684
SPAC11E3.08c	1569
SPAC11E3.09	912
SPAC11E3.10	489
SPAC11E3.11c	2829
SPAC11E3.12	489
SPAC11E3.13c	1533
SPAC11E3.14	1767
SPAC11E3.15	354
SPAC11G7.01	1611
SPAC11G7.02	2304
SPAC11G7.03	1071
SPAC11G7.04	387
SPAC11G7.05c	957
SPAC11G7.06c	1293
SPAC11H11.01	1464
SPAC11H11.02c	795
SPAC11H11.03c	621
SPAC11H11.04	1047
SPAC11H11.05c	180
SPAC11H11.06	1173
SPAC1250.01	3600
SPAC1250.02	537
SPAC1250.03	468
SPAC1250.04c	327
SPAC1250.05	354
SPAC1250.07	363
SPAC1296.01c	1629
SPAC1296.02	495
SPAC1296.03c	1524
SPAC1296.04	747
SPAC1296.05c	777
SPAC1296.06	1755
SPAC12B10.01c	4944
SPAC12B10.02c	708
SPAC12B10.03	1632
SPAC12B10.04	1212
SPAC12B10.05	1461
SPAC12B10.06c	420
SPAC12B10.07	771
SPAC12B10.08c	1371
SPAC12B10.09	1038
SPAC12B10.10	1260
SPAC12B10.11	1713
SPAC12B10.12c	1917
SPAC12B10.13	723
SPAC12B10.14c	1998
SPAC12B10.15c	444
SPAC12B10.16c	1530
SPAC12G12.01c	2718
SPAC12G12.02	552
SPAC12G12.03	1731
SPAC12G12.04	1749
SPAC12G12.05c	492
SPAC12G12.06c	1092
SPAC12G12.07c	1239
SPAC12G12.08	642
SPAC12G12.09	2934
SPAC12G12.10	1263
SPAC12G12.11c	1098
SPAC12G12.12	975
SPAC12G12.13c	2055
SPAC12G12.14c	1530
SPAC12G12.15	1419
SPAC12G12.16c	1491
SPAC12G12.17	177
SPAC1327.01c	2934
SPAC139.01c	2409
SPAC139.02c	963
SPAC139.03	1878
SPAC139.04c	1302
SPAC139.05	1482
SPAC139.06	1137
SPAC1399.01c	1806
SPAC1399.02	1770
SPAC1399.03	1746
SPAC1399.04c	663
SPAC1399.05c	1590
SPAC1399.06	375
SPAC13A11.01c	2334
SPAC13A11.02c	1488
SPAC13A11.03	633
SPAC13A11.04c	1350
SPAC13A11.05	1542
SPAC13A11.06	1716
SPAC13C5.01c	747
SPAC13C5.02	1236
SPAC13C5.03	1632
SPAC13C5.04	747
SPAC13C5.05c	1557
SPAC13C5.06c	534
SPAC13C5.07	1950
SPAC13D1.01c	4002
SPAC13D6.01	1296
SPAC13D6.02c	540
SPAC13D6.03c	687
SPAC13D6.04c	1572
SPAC13D6.05	705
SPAC13F5.01c	2826
SPAC13F5.02c	1182
SPAC13F5.03c	1353
SPAC13F5.04c	1170
SPAC13F5.05	1092
SPAC13F5.06c	2436
SPAC13F5.07c	498
SPAC13G6.01c	3402
SPAC13G6.02c	759
SPAC13G6.03	2277
SPAC13G6.04	264
SPAC13G6.05c	762
SPAC13G6.06c	3096
SPAC13G6.07c	720
SPAC13G6.08	1608
SPAC13G6.09	825
SPAC13G6.10c	1593
SPAC13G6.11c	1215
SPAC13G6.12c	2580
SPAC13G6.13	348
SPAC13G6.14	633
SPAC13G6.15c	492
SPAC13G7.01c	2166
SPAC13G7.02c	1935
SPAC13G7.03	837
SPAC13G7.04c	2271
SPAC13G7.05	1614
SPAC13G7.06	801
SPAC13G7.07	966
SPAC13G7.08c	1341
SPAC13G7.09c	408
SPAC13G7.10	1173
SPAC13G7.11	810
SPAC13G7.12c	1371
SPAC13G7.13c	1602
SPAC140.01	828
SPAC140.02	1503
SPAC140.03	1200
SPAC140.04	888
SPAC1420.01c	1743
SPAC1420.02c	1641
SPAC1420.03	1332
SPAC1420.04c	2262
SPAC144.01	339
SPAC144.02	750
SPAC144.03	1305
SPAC144.04c	1299
SPAC144.05	4128
SPAC144.06	2478
SPAC144.07c	948
SPAC144.08	678
SPAC144.09c	1125
SPAC144.10c	1380
SPAC144.11	459
SPAC144.12	825
SPAC144.13c	1671
SPAC144.14	1536
SPAC144.15c	2106
SPAC144.16	540
SPAC144.17c	1350
SPAC144.18	1038
SPAC1486.01	657
SPAC1486.02c	1119
SPAC1486.03c	2394
SPAC1486.04c	5184
SPAC1486.05	5337
SPAC1486.06	1233
SPAC1486.07c	435
SPAC1486.08	342
SPAC1486.09	1167
SPAC1486.10	2328
SPAC1486.11	315
SPAC14C4.01c	735
SPAC14C4.02c	3231
SPAC14C4.03	1338
SPAC14C4.04	804
SPAC14C4.05c	2535
SPAC14C4.06c	924
SPAC14C4.07	1935
SPAC14C4.08	558
SPAC14C4.09	1275
SPAC14C4.10c	990
SPAC14C4.11	2205
SPAC14C4.12c	894
SPAC14C4.13	1821
SPAC14C4.14	1611
SPAC14C4.15c	2562
SPAC14C4.16	261
SPAC1527.01	7194
SPAC1527.02	606
SPAC1527.03	1428
SPAC1556.01c	3858
SPAC1556.02c	1926
SPAC1556.03	900
SPAC1556.04c	402
SPAC1556.05c	336
SPAC1556.06.1	2331
SPAC1556.06.2	300
SPAC1556.07	774
SPAC1556.08c	1005
SPAC1565.01	729
SPAC1565.02c	1125
SPAC1565.03	501
SPAC1565.04c	795
SPAC1565.05	2322
SPAC1565.06c	597
SPAC1565.07c	3663
SPAC1565.08	2448
SPAC15A10.01	2082
SPAC15A10.02	1353
SPAC15A10.03c	2559
SPAC15A10.04c	1380
SPAC15A10.05c	729
SPAC15A10.06	1704
SPAC15A10.07	489
SPAC15A10.08	1866
SPAC15A10.09c	867
SPAC15A10.10	2103
SPAC15A10.11	6159
SPAC15A10.12c	447
SPAC15A10.13	1914
SPAC15A10.15	1944
SPAC15A10.16	4158
SPAC15A10.17	261
SPAC15E1.02c	447
SPAC15E1.03	321
SPAC15E1.04	1878
SPAC15E1.05c	1098
SPAC15E1.06	564
SPAC15E1.07c	519
SPAC15E1.08	534
SPAC15E1.09	333
SPAC15E1.10	798
SPAC15F9.01c	684
SPAC15F9.02	1020
SPAC15F9.03c	372
SPAC16.01	603
SPAC16.02c	1098
SPAC16.03c	1014
SPAC16.04	1854
SPAC16.05c	1329
SPAC1610.01	654
SPAC1610.02c	762
SPAC1610.03c	2133
SPAC1610.04	1581
SPAC1635.01	849
SPAC1639.01c	1098
SPAC1639.02c	2658
SPAC167.01	3219
SPAC167.02	936
SPAC167.03c	1950
SPAC167.04	630
SPAC167.05	1806
SPAC167.06c	366
SPAC167.07c	3090
SPAC167.08	4002
SPAC167.09	537
SPAC1687.01	378
SPAC1687.02	816
SPAC1687.03c	1029
SPAC1687.04	1506
SPAC1687.05	2184
SPAC1687.06c	405
SPAC1687.07	375
SPAC1687.08	291
SPAC1687.09	4140
SPAC1687.10	1986
SPAC1687.11	2409
SPAC1687.12c	819
SPAC1687.13c	900
SPAC1687.14c	231
SPAC1687.15	1164
SPAC1687.16c	903
SPAC1687.17c	573
SPAC1687.18c	1680
SPAC1687.19c	1215
SPAC1687.20c	2019
SPAC1687.21	630
SPAC1687.22c	2199
SPAC1687.23c	315
SPAC16A10.01	2493
SPAC16A10.02	411
SPAC16A10.03c	2544
SPAC16A10.04	612
SPAC16A10.05c	273
SPAC16A10.06c	753
SPAC16A10.07c	1992
SPAC16A10.08c	858
SPAC16C9.01c	1086
SPAC16C9.02c	924
SPAC16C9.03	1497
SPAC16C9.04c	1470
SPAC16C9.05	1215
SPAC16C9.06c	2778
SPAC16C9.07	2511
SPAC16E8.01	4263
SPAC16E8.02	669
SPAC16E8.03	336
SPAC16E8.04c	756
SPAC16E8.05c	630
SPAC16E8.06c	1317
SPAC16E8.07c	2496
SPAC16E8.08	810
SPAC16E8.09	2619
SPAC16E8.10c	780
SPAC16E8.11c	1602
SPAC16E8.12c	636
SPAC16E8.13	1644
SPAC16E8.14c	660
SPAC16E8.15	657
SPAC16E8.16	1023
SPAC16E8.17c	996
SPAC16E8.18	324
SPAC16E8.18c	471
SPAC1705.02	192
SPAC1705.03c	1266
SPAC1751.01c	2163
SPAC1751.02c	282
SPAC1751.03	1209
SPAC1751.04	312
SPAC1782.01	5040
SPAC1782.02c	486
SPAC1782.03	1068
SPAC1782.04	528
SPAC1782.05	1059
SPAC1782.06c	849
SPAC1782.07	279
SPAC1782.08c	1623
SPAC1782.09c	1614
SPAC1782.10c	465
SPAC1782.11	609
SPAC1782.12c	357
SPAC1783.01	1752
SPAC1783.02c	903
SPAC1783.03	1056
SPAC1783.04c	1248
SPAC1783.05	4122
SPAC1783.06c	399
SPAC1783.07c	1659
SPAC1783.08c	606
SPAC1786.01c	1893
SPAC1786.02	1935
SPAC1786.03	1806
SPAC1786.04	336
SPAC17A2.01	1581
SPAC17A2.02c	873
SPAC17A2.03c	1032
SPAC17A2.04c	1077
SPAC17A2.05	1542
SPAC17A2.06c	3819
SPAC17A2.07c	534
SPAC17A2.08c	1086
SPAC17A2.09c	1899
SPAC17A2.10c	693
SPAC17A2.11	654
SPAC17A2.12	2694
SPAC17A2.13c	813
SPAC17A2.14	1854
SPAC17A5.01	2847
SPAC17A5.02c	1437
SPAC17A5.03	1167
SPAC17A5.04c	1539
SPAC17A5.05c	744
SPAC17A5.06	2415
SPAC17A5.07c	1917
SPAC17A5.08	633
SPAC17A5.09c	933
SPAC17A5.10	675
SPAC17A5.11	1038
SPAC17A5.12	2094
SPAC17A5.13	708
SPAC17A5.14	3987
SPAC17A5.15c	2151
SPAC17A5.16	2778
SPAC17A5.18c	453
SPAC17A5.19	279
SPAC17C9.01c	1998
SPAC17C9.02c	777
SPAC17C9.03	4212
SPAC17C9.05c	822
SPAC17C9.06	1428
SPAC17C9.07	1506
SPAC17C9.08	969
SPAC17C9.09c	288
SPAC17C9.10	816
SPAC17C9.11c	723
SPAC17C9.12	960
SPAC17C9.13c	789
SPAC17C9.14	699
SPAC17C9.15c	285
SPAC17C9.16c	1596
SPAC17D4.01	927
SPAC17D4.02	1917
SPAC17D4.03c	2199
SPAC17D4.04	2067
SPAC17G6.02c	975
SPAC17G6.03	1908
