# dvsaATG_highdiffn_outframe_JEC21.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans JEC21:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated AUG score against narrow -4 Kozak consensus sequence
# d1.scorekn: 1st downstream AUG score against narrow -4 Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn
CNI00340	0.706	0.966
CNC07140	0.761	1
CNN00160	0.759	0.989
CNB05380	0.758	0.977
CND06330	0.751	0.966
CND01650	0.707	0.922
CNG00490	0.792	1
CNK01150	0.761	0.952
CNC02170	0.811	1
CNE04530	0.811	1
CNC04270	0.793	0.977
CNC06190	0.819	1
CNG02120	0.786	0.966
CNL05150	0.803	0.977
CNJ00220	0.77	0.941
CNC04910	0.762	0.932
CND04685	0.811	0.975
CNG01940	0.759	0.92
CNE04610	0.736	0.897
CNC01780	0.828	0.989
CNK00690	0.785	0.941
CNN00870	0.785	0.94
CNG03790	0.809	0.964
CNJ03200	0.823	0.975
CNC00845	0.779	0.929
CND01860	0.828	0.977
CNA03250	0.741	0.888
CND03720	0.817	0.964
CND03590	0.749	0.895
CNB05270	0.835	0.977
CNN01750	0.836	0.977
CNC05065	0.837	0.977
CNI00090	0.861	1
CNF02990	0.862	1
CNB03070	0.839	0.977
CNA03360	0.842	0.975
CNG03000	0.782	0.915
CNE00680	0.785	0.915
CNK00290	0.845	0.975
CNC04920	0.759	0.888
CNK03330	0.837	0.966
CNL04647	0.838	0.966
CNF01580	0.802	0.929
CNB03280	0.813	0.94
CNA00020	0.805	0.932
CNJ02700	0.77	0.897
CNM01000	0.839	0.966
CNH01570	0.785	0.911
CNC01760	0.863	0.989
CNK02070	0.839	0.964
CNG00570	0.759	0.883
CNC03925	0.842	0.966
