i	Pos	All	HiTrans	CytoRibo
1	-12	0.085	0.274	0.318
2	-11	0.092	0.233	0.198
3	-10	0.089	0.257	0.258
4	-9	0.072	0.207	0.145
5	-8	0.082	0.193	0.226
6	-7	0.085	0.29	0.284
7	-6	0.065	0.088	0.069
8	-5	0.063	0.115	0.087
9	-4	0.115	0.393	0.478
10	-3	0.358	1.162	1.24
11	-2	0.096	0.439	0.789
12	-1	0.119	0.476	0.604
13	1	1.997	1.947	1.896
14	2	1.997	1.947	1.896
15	3	1.997	1.947	1.896
16	4	0.063	0.193	0.356
17	5	0.071	0.497	0.651
18	6	0.07	0.45	0.47
19	7	0.051	0.084	0.146
20	8	0.045	0.045	0.049
21	9	0.047	0.138	0.111
22	10	0.042	0.06	0.111
23	11	0.065	0.081	0.096
24	12	0.074	0.175	0.152
