# mitochondrial ATP synthase orthologs from core fungi of interest					
"# Core factors only, no inhibitory factors"					
# Edited from http://www.yeastgenome.org/Ê GO:0000276					
# orthologs from PANTHER.db					
# C. neo JEC21 mito. genome not in PANTHER.db					
"# E. Wallace, 23 July 2018."					
#					
FAMILY_ID	SUBUNIT	SPECIES	UNIPROT	ENTREZ	SYSTEMATIC
PTHR36101:SF1	ATP8	YEAST	P00856	854600	Q0080
PTHR36101:SF1	ATP8	SCHPO	P21536	1669531	SPMIT.09
PTHR36101:SF1	ATP8	EMENI	P0CY41	12799280	AN20009
PTHR36101:SF1	ATP8	ASHGO	Q75G40	2760772	AGOS_AMI005W
PTHR36101:SF1	ATP8	CANAL	Q9B8D3	802553	CM_00170C
PTHR36101:SF1	ATP8	NEUCR	Q08656	23681579	NCU16024
PTHR36101:SF1	ATP8	USTMA	Q0H8Y5	4308275	NA
PTHR36101:SF1	ATP8	YARLI	Q36257	802621	NA
PTHR11410:SF0	ATP6	YEAST	P00854	854601	Q0085
PTHR11410:SF0	ATP6	SCHPO	P21535	1669530	SPMIT.07
PTHR11410:SF0	ATP6	EMENI	H9D0P1	12799281	AN20010
PTHR11410:SF0	ATP6	ASHGO	Q75G39	2760773	AGOS_AMI006W
PTHR11410:SF0	ATP6	CANAL	Q9B8D4	802560	CM_00160C
PTHR11410:SF0	ATP6	NEUCR	P37212	23681580	NCU16025
PTHR11410:SF0	ATP6	PUCGT	H6QQX5	13541557	PGTG_21287
PTHR11410:SF0	ATP6	USTMA	Q0H8Y6	4308290	NA
PTHR11410:SF0	ATP6	YARLI	Q36258	802623	NA
PTHR10031:SF14	ATP9	YEAST	P61829	854584	Q0130
PTHR10031:SF14	ATP9	SCHPO	P21537	1669532	SPMIT.10
PTHR10031:SF14	ATP9	EMENI	H9D0P8	12799316	AN20017
PTHR10031:SF14	ATP9	ASHGO	Q75G38	2760770	AGOS_AMI007W
PTHR10031:SF14	ATP9	CANAL	Q9B8D5	802561	CM_00140C
PTHR10031:SF14	ATP9	NEUCR	Q12635	23681582	NCU16027
PTHR10031:SF14	ATP9	USTMA	Q0H8W9	4308283	NA
PTHR10031:SF14	ATP9	YARLI	Q37695	802622	NA
PTHR11910:SF1	ATP5	YEAST	P09457	851892	YDR298C
PTHR11910:SF1	ATP5	SCHPO	O74479	2539241	SPCC1840.06
PTHR11910:SF1	ATP5	EMENI	Q5AZJ3	2870961	AN6287
PTHR11910:SF1	ATP5	ASHGO	Q75EZ3	4618447	AGOS_AAL065C
PTHR11910:SF1	ATP5	BATDJ	F4PE98	18244672	BATDEDRAFT_92566
PTHR11910:SF1	ATP5	CANAL	Q5A7P7	3640521	C3_00460W
PTHR11910:SF1	ATP5	CRYNJ	Q5KIE2	3257229	CND03280
PTHR11910:SF1	ATP5	NEUCR	Q9P602	3872665	NCU01606
PTHR11910:SF1	ATP5	PUCGT	E3KPE2	10540176	PGTG_12123
PTHR11910:SF1	ATP5	SCLS1	A7EJ72	5489816	SS1G_05365
PTHR11910:SF1	ATP5	USTMA	D1CUX6	23565947	UMAG_06324
PTHR11910:SF1	ATP5	YARLI	Q6C9B1	2910146	YALI0_D12584g
PTHR28161:SF1	ATP17	YEAST	Q06405	851983	YDR377W
PTHR28161:SF1	ATP17	SCHPO	O94377	2539609	SPBC1604.11
PTHR28161:SF1	ATP17	EMENI	C8VBH6	NA	AN11565
PTHR28161:SF1	ATP17	ASHGO	Q75BR8	4619737	AGOS_ACR203W
PTHR28161:SF1	ATP17	BATDJ	F4P7L7	18243865	BATDEDRAFT_90380
PTHR28161:SF1	ATP17	CRYNJ	Q5KJV2	3256690	CNC05260
PTHR28161:SF1	ATP17	NEUCR	Q7S8I6	3878035	NCU05220
PTHR28161:SF1	ATP17	SCLS1	A7F8D8	5481235	SS1G_13869
PTHR28161:SF1	ATP17	USTMA	D1E6R7	23566244	UMAG_10180
PTHR28161:SF1	ATP17	YARLI	Q6C9E6	2910601	YALI0_D11814g
PTHR12700:SF12	ATP7	YEAST	P30902	853853	YKL016C
PTHR12700:SF12	ATP7	SCHPO	O94390	2540446	SPBC29A10.13
PTHR12700:SF12	ATP7	EMENI	Q5AYJ9	2870376	AN6631
PTHR12700:SF12	ATP7	ASHGO	Q75CL6	4619427	NA
PTHR12700:SF12	ATP7	BATDJ	F4PD35	18237555	BATDEDRAFT_20970
PTHR12700:SF12	ATP7	CANAL	Q59PV8	3646672	C1_07600W
PTHR12700:SF12	ATP7	CRYNJ	Q5KLP2	3256014	CNB04580
PTHR12700:SF12	ATP7	NEUCR	Q7SI16	3881973	NCU00636
PTHR12700:SF12	ATP7	PUCGT	E3NX61	10535931	PGTG_20020
PTHR12700:SF12	ATP7	SCLS1	A7EIZ2	5490021	SS1G_05285
PTHR12700:SF12	ATP7	USTMA	D1DNW0	23567836	UMAG_12050
PTHR12700:SF12	ATP7	YARLI	Q6CFH9	2907546	YALI0_B06831g
PTHR28207:SF1	ATP14	YEAST	Q12349	851002	YLR295C
PTHR28207:SF1	ATP14	SCHPO	O59673	2540599	SPBC29A3.10c
PTHR28207:SF1	ATP14	EMENI	Q5B3F3	2872727	AN4927
PTHR28207:SF1	ATP14	ASHGO	Q74ZA8	4623264	AGOS_AGR295C
PTHR28207:SF1	ATP14	BATDJ	F4P5I1	18243659	BATDEDRAFT_89871
PTHR28207:SF1	ATP14	CRYNJ	Q5KIZ7	3257392	CND01180
PTHR28207:SF1	ATP14	NEUCR	Q7SGX0	3881448	NCU03199
PTHR28207:SF1	ATP14	PUCGT	E3K970	10539875	PGTG_07097
PTHR28207:SF1	ATP14	SCLS1	A7E751	5493685	SS1G_01127
PTHR28207:SF1	ATP14	USTMA	D1CTL0	23563125	UMAG_02360
PTHR28207:SF1	ATP14	YARLI	Q6C2V6	2908594	YALI0_F04774g
PTHR28060:SF1	ATP18	YEAST	P81450	854893	YML081C-A
PTHR28060:SF1	ATP18	SCHPO	O13931	2541918	SPAC23C4.11
PTHR28060:SF1	ATP18	EMENI	C8V7S7	NA	AN11444
PTHR28060:SF1	ATP18	ASHGO	Q756T9	4621228	AGOS_AER163W
PTHR28060:SF1	ATP18	BATDJ	F4P349	18243276	BATDEDRAFT_88795
PTHR28060:SF1	ATP18	CRYNJ	Q5KJQ3	3256220	CNC05720
PTHR28060:SF1	ATP18	NEUCR	Q7SGJ1	3881357	NCU08093
PTHR28060:SF1	ATP18	PUCGT	E3KSW1	10537915	PGTG_13575
PTHR28060:SF1	ATP18	SCLS1	A7EVT5	5485802	S1G_09444
PTHR28060:SF1	ATP18	USTMA	D1DPW1	23567441	UMAG_11576
PTHR28060:SF1	ATP18	YARLI	Q6C8S0	2911301	NA
PTHR28074:SF1	ATP19	YEAST	P81451	854077	YOL077W-A
PTHR28074:SF1	ATP19	SCHPO	C6Y4A3	9407226	SPAC25H1.10c
PTHR28074:SF1	ATP19	EMENI	C8VB61	NA	AN11543
PTHR28074:SF1	ATP19	ASHGO	Q757J2	4621082	AGOS_AER021C
PTHR28074:SF1	ATP19	BATDJ	F4NSW0	18242114	BATDEDRAFT_85566
PTHR28074:SF1	ATP19	CRYNJ	Q5KNV6	3253329	CNA05160
PTHR28074:SF1	ATP19	NEUCR	Q7S8M6	3878096	NCU06588
PTHR28074:SF1	ATP19	PUCGT	E3KI89	10532709	PGTG_09727
PTHR28074:SF1	ATP19	SCLS1	A7ET05	5486652	SS1G_08460
PTHR28074:SF1	ATP19	USTMA	A0A0D1E022	23566507	UMAG_10479
PTHR28074:SF1	ATP19	YARLI	B5FVB3	7009411	YALI0_B11913g
PTHR12733:SF3	ATP4	YEAST	P05626	856027	YPL078C
PTHR12733:SF3	ATP4	SCHPO	O94373	2539732	SPBC1604.07
PTHR12733:SF3	ATP4	EMENI	Q5BD46	2874865	AN1534
PTHR12733:SF3	ATP4	ASHGO	Q758L2	4620792	AGOS_AEL251C
PTHR12733:SF3	ATP4	BATDJ	F4PE45	18236955	BATDEDRAFT_14764
PTHR12733:SF3	ATP4	CANAL	Q59ZE0	3643418	C2_05500W
PTHR12733:SF3	ATP4	CRYNJ	Q5KL26	3256631	CNC00990
PTHR12733:SF3	ATP4	NEUCR	Q7SE71	3880466	NCU00502
PTHR12733:SF3	ATP4	PUCGT	E3KY02	10546840	PGTG_15044
PTHR12733:SF3	ATP4	SCLS1	A7E7X9	5493865	SS1G_01407
PTHR12733:SF3	ATP4	USTMA	D1BW64	23566565	UMAG_10548
PTHR12733:SF3	ATP4	YARLI	Q6C105	2907796	YALI0_F20306g
PTHR12386:SF12	ATP20	YEAST	Q12233	856131	YPR020W
PTHR12386:SF12	ATP20	SCHPO	Q09774	2541878	SPAC22F3.07c
PTHR12386:SF12	ATP20	EMENI	Q5BET7	2876720	AN0943
PTHR12386:SF12	ATP20	ASHGO	Q75AE2	4620220	AGOS_ADL025W
PTHR12386:SF12	ATP20	BATDJ	F4P3A5	18243190	BATDEDRAFT_88529
PTHR12386:SF12	ATP20	CANAL	Q59M30	3647602	C1_12590
PTHR12386:SF12	ATP20	CRYNJ	Q5KK91	3256281	CNC03840
PTHR12386:SF12	ATP20	NEUCR	Q7SI08	3881981	NCU00644
PTHR12386:SF12	ATP20	PUCGT	E3KMP6	10544131	PGTG_11927
PTHR12386:SF12	ATP20	SCLS1	A7EKW3	5489513	SS1G_05960
PTHR12386:SF12	ATP20	USTMA	D1CDA2	23562120	UMAG_00975
PTHR12386:SF12	ATP20	YARLI	B5FVB8	7009423	YALI0_B21527g
