# scores_kozak_Sc.txt
# Scores of ATG context against Kozak sequence, Scerevisiae S288C
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: Sc systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG agains narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
YAL001C	1	0.754	NA	0.92	0.69	NA	-0.246	NA	-0.229	NA
YAL002W	0.88	0.982	NA	0.843	0.878	NA	0.102	NA	0.035	NA
YAL003W	0.946	0.833	NA	0.902	0.8	NA	-0.112	NA	-0.102	NA
YAL004W	0.875	0.807	NA	0.805	0.759	NA	-0.068	NA	-0.046	NA
YAL005C	0.897	0.779	NA	0.876	0.744	NA	-0.118	NA	-0.131	NA
YAL007C	0.911	0.839	NA	0.865	0.771	NA	-0.072	NA	-0.095	NA
YAL008W	0.959	0.897	NA	0.861	0.774	NA	-0.062	NA	-0.087	NA
YAL009W	0.771	0.782	NA	0.771	0.761	NA	0.011	NA	-0.009	NA
YAL010C	0.788	0.804	NA	0.748	0.731	NA	0.016	NA	-0.018	NA
YAL011W	0.921	0.845	NA	0.892	0.71	NA	-0.077	NA	-0.182	NA
YAL012W	0.938	0.795	NA	0.927	0.747	NA	-0.143	NA	-0.181	NA
YAL013W	0.774	0.881	NA	0.72	0.863	NA	0.107	NA	0.143	NA
YAL014C	0.779	0.764	NA	0.757	NA	NA	-0.015	NA	NA	NA
YAL015C	0.938	0.786	NA	0.951	0.77	NA	-0.152	NA	-0.181	NA
YAL016C-A	0.842	0.754	NA	0.761	0.731	NA	-0.087	NA	-0.03	NA
YAL016C-B	0.723	0.857	NA	0.684	0.834	NA	0.134	NA	0.149	NA
YAL016W	0.938	0.717	NA	0.782	0.614	NA	-0.221	NA	-0.168	NA
YAL017W	0.901	0.947	NA	0.881	0.894	NA	0.046	NA	0.013	NA
YAL018C	0.86	0.711	NA	0.848	0.62	NA	-0.149	NA	-0.227	NA
YAL019W-A	0.763	0.849	NA	0.748	0.733	NA	0.086	NA	-0.015	NA
YAL019W	0.947	0.852	NA	0.858	0.773	NA	-0.096	NA	-0.085	NA
YAL020C	0.806	0.666	NA	0.712	0.63	NA	-0.14	NA	-0.081	NA
YAL021C	0.779	0.838	NA	0.758	0.727	NA	0.059	NA	-0.031	NA
YAL022C	1	0.87	NA	0.885	0.779	NA	-0.13	NA	-0.105	NA
YAL023C	0.911	0.964	NA	0.847	0.906	NA	0.053	NA	0.059	NA
YAL024C	0.911	0.852	NA	0.81	0.785	NA	-0.059	NA	-0.025	NA
YAL025C	0.798	0.838	NA	0.76	0.789	NA	0.04	NA	0.028	NA
YAL026C-A	0.744	0.94	NA	0.695	0.879	NA	0.197	NA	0.184	NA
YAL026C	0.87	0.805	NA	0.816	NA	NA	-0.064	NA	NA	NA
YAL027W	1	0.807	NA	0.888	0.712	NA	-0.193	NA	-0.176	NA
YAL028W	0.923	0.982	NA	0.833	NA	NA	0.059	NA	NA	NA
YAL029C	0.743	0.921	NA	0.671	0.825	NA	0.178	NA	0.154	NA
YAL030W	0.718	0.777	NA	0.722	0.745	NA	0.059	NA	0.022	NA
YAL031C	0.929	0.765	NA	0.905	NA	NA	-0.164	NA	NA	NA
YAL031W-A	0.964	0.798	NA	0.867	NA	NA	-0.166	NA	NA	NA
YAL032C	0.938	0.788	NA	0.892	0.724	NA	-0.15	NA	-0.168	NA
YAL033W	0.884	0.695	NA	0.799	0.63	NA	-0.189	NA	-0.17	NA
YAL034C-B	0.754	0.848	NA	0.761	0.819	NA	0.094	NA	0.058	NA
YAL034C	0.947	0.938	0.764	0.836	0.912	0.69	-0.009	-0.183	0.076	-0.145
YAL034W-A	0.911	0.884	NA	0.898	0.781	NA	-0.027	NA	-0.117	NA
YAL035W	0.958	0.776	NA	0.894	0.765	NA	-0.182	NA	-0.129	NA
YAL036C	0.982	0.881	NA	0.893	0.809	NA	-0.101	NA	-0.084	NA
YAL037C-A	0.768	1	NA	0.734	0.87	NA	0.232	NA	0.136	NA
YAL037C-B	0.911	0.723	NA	0.864	0.707	NA	-0.188	NA	-0.157	NA
YAL037W	0.798	0.798	NA	0.784	NA	NA	0	NA	NA	NA
YAL038W	0.946	0.734	NA	0.87	0.7	NA	-0.211	NA	-0.17	NA
YAL039C	1	0.795	NA	0.94	0.771	NA	-0.205	NA	-0.169	NA
YAL040C	0.881	0.779	NA	0.794	0.753	NA	-0.102	NA	-0.041	NA
YAL041W	0.834	0.804	NA	0.772	0.739	NA	-0.03	NA	-0.033	NA
YAL042C-A	0.921	0.799	NA	0.823	0.745	NA	-0.122	NA	-0.078	NA
YAL042W	0.893	0.897	NA	0.88	0.775	NA	0.004	NA	-0.105	NA
YAL043C	0.883	0.896	NA	0.804	0.83	NA	0.013	NA	0.026	NA
YAL044C	0.886	0.824	0.822	0.852	0.784	0.762	-0.062	-0.064	-0.067	-0.089
YAL044W-A	0.964	0.901	NA	0.909	0.836	NA	-0.063	NA	-0.073	NA
YAL045C	0.869	0.881	NA	0.833	0.847	NA	0.012	NA	0.014	NA
YAL046C	0.937	0.834	NA	0.906	0.778	NA	-0.104	NA	-0.128	NA
YAL047C	0.849	0.729	NA	0.792	0.67	NA	-0.12	NA	-0.122	NA
YAL047W-A	0.839	0.861	NA	0.763	0.819	NA	0.021	NA	0.056	NA
YAL048C	0.946	0.782	NA	0.871	0.747	NA	-0.163	NA	-0.123	NA
YAL049C	0.852	0.904	NA	0.804	0.798	NA	0.052	NA	-0.005	NA
YAL051W	0.849	0.822	NA	0.773	0.768	NA	-0.026	NA	-0.005	NA
YAL053W	0.849	0.666	NA	0.828	0.667	NA	-0.182	NA	-0.161	NA
YAL054C	0.798	1	NA	0.723	0.928	NA	0.202	NA	0.205	NA
YAL055W	0.947	0.886	NA	0.892	0.846	NA	-0.061	NA	-0.046	NA
YAL056C-A	0.923	0.834	NA	0.857	0.798	NA	-0.089	NA	-0.058	NA
YAL056W	0.806	0.893	NA	0.784	0.831	NA	0.087	NA	0.047	NA
YAL058W	0.861	0.786	NA	0.8	0.699	NA	-0.075	NA	-0.101	NA
YAL059C-A	0.764	0.937	NA	0.739	0.787	NA	0.173	NA	0.048	NA
YAL059W	0.764	0.869	NA	0.734	0.877	NA	0.104	NA	0.142	NA
YAL060W	0.902	0.857	NA	0.893	0.803	NA	-0.045	NA	-0.09	NA
YAL061W	0.903	0.797	NA	0.879	0.665	NA	-0.106	NA	-0.214	NA
YAL062W	1	0.881	NA	0.967	0.793	NA	-0.119	NA	-0.175	NA
YAL063C-A	0.744	0.745	NA	0.7	0.683	NA	0.001	NA	-0.017	NA
YAL063C	1	0.857	NA	0.868	0.773	NA	-0.143	NA	-0.095	NA
YAL064C-A	0.937	0.729	NA	0.865	0.667	NA	-0.209	NA	-0.198	NA
YAL064W-B	0.964	0.893	NA	0.833	0.854	NA	-0.071	NA	0.021	NA
YAL064W	0.86	0.831	NA	0.827	0.794	NA	-0.029	NA	-0.032	NA
YAL065C	0.959	0.911	NA	0.862	0.856	NA	-0.048	NA	-0.006	NA
YAL066W	0.893	0.959	NA	0.835	0.883	NA	0.066	NA	0.048	NA
YAL067C	0.832	0.959	NA	0.841	0.929	NA	0.127	NA	0.087	NA
YAL067W-A	0.781	NA	NA	0.732	NA	NA	NA	NA	NA	NA
YAL068C	0.923	0.813	NA	0.913	0.805	NA	-0.109	NA	-0.108	NA
YAL068W-A	0.884	0.795	NA	0.831	0.793	NA	-0.089	NA	-0.039	NA
YAL069W	0.893	0.822	NA	0.819	0.755	NA	-0.071	NA	-0.064	NA
YAR002C-A	0.911	0.881	NA	0.855	0.875	NA	-0.03	NA	0.021	NA
YAR002W	0.815	0.901	NA	0.769	0.884	NA	0.086	NA	0.115	NA
YAR003W	0.821	0.787	NA	0.777	0.746	NA	-0.034	NA	-0.03	NA
YAR007C	0.896	0.774	NA	0.844	0.748	NA	-0.122	NA	-0.096	NA
YAR008W	0.745	0.86	0.745	0.657	0.817	0.7	0.115	0	0.16	0.043
YAR014C	0.844	0.791	NA	0.769	0.771	NA	-0.053	NA	0.002	NA
YAR015W	0.886	0.822	NA	0.872	0.781	NA	-0.064	NA	-0.091	NA
YAR018C	0.782	0.938	NA	0.71	0.877	NA	0.156	NA	0.167	NA
YAR019C	0.87	0.841	NA	0.817	NA	NA	-0.029	NA	NA	NA
YAR019W-A	0.841	0.848	NA	0.766	0.802	NA	0.007	NA	0.036	NA
YAR020C	0.923	0.709	NA	0.913	0.693	NA	-0.214	NA	-0.22	NA
