pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:0002b2	Q5KA36	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:001570	C5P455	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:000db6	YPL097W	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	227321	Aspergillus nidulans FGSC A4	227321:0010d5	Q5BCM1	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	229533	Fusarium graminearum PH-1	229533:002999	I1RB39	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0004b4	J9VZX6	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	237561	Candida albicans SC5314	237561:000914	MSY1	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	237631	Ustilago maydis 521	237631:001964	Q4P452	
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	240176	Coprinopsis cinerea okayama7#130	240176:000671	A8N6Y4	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	242507	Magnaporthe oryzae 70-15	242507:001299	G4NB05	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	246409	Rhizopus delemar RA 99-880	246409:002427	I1BJ43	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	246410	Coccidioides immitis RS	246410:001332	J3K1M7	Transmembrane:Helical
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:00047f	F5HBX6	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:001213	Q6CLZ5	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	284591	Yarrowia lipolytica CLIB122	284591:000d41	Q6C474	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	284592	Debaryomyces hansenii CBS767	284592:000cf2	B5RU48	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	284593	Candida glabrata CBS 138	284593:0004da	Q6FRU7	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	284811	Eremothecium gossypii ATCC 10895	284811:000e3c	Q75D31	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	284812	Schizosaccharomyces pombe 972h-	284812:000c9a	msy1	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:000c36	B3LKX5	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:0010d6	A5DJT9	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	294747	Candida tropicalis MYA-3404	294747:00171e	C5M999	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	306901	Chaetomium globosum CBS 148.51	306901:002329	Q2HDF5	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	306902	Clavispora lusitaniae ATCC 42720	306902:000eea	C4Y8X7	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	307796	Saccharomyces cerevisiae YJM789	307796:000e3b	MSY1	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	321614	Parastagonospora nodorum SN15	321614:002990	Q0V5G4	Tyrosyl-tRNA synthetase
EOG092C2LDP	Tyrosyl-tRNA synthetase	4751	322104	Scheffersomyces stipitis CBS 6054	322104:001348	MSY1	Tyrosyl-tRNA synthetase
