pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	72359	Trachipleistophora hominis	72359:00005c	L7JRB0	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:00028b	Q5KBB1	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000cc4	C5P0R0	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:0002d8	C5PGT1	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:000857	YNL073W	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:0000b1	YDR037W	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	227321	Aspergillus nidulans FGSC A4	227321:0011dc	Q5BGA2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	227321	Aspergillus nidulans FGSC A4	227321:00083c	Q5BC17	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	229533	Fusarium graminearum PH-1	229533:0031df	I1RBF6	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	235443	Cryptococcus neoformans var. grubii H99	235443:000344	J9VU49	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	237561	Candida albicans SC5314	237561:0008d9	KRS1	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	237561	Candida albicans SC5314	237561:000449	MSK1	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	237631	Ustilago maydis 521	237631:000599	Q4P442	
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	240176	Coprinopsis cinerea okayama7#130	240176:0005b9	A8N7Q5	Lysyl-tRNA synthetase
EOG092C0ZU5	Aminoacyl-tRNA synthetase, class II	4751	242507	Magnaporthe oryzae 70-15	242507:001e7f	G4NE53	Lysyl-tRNA synthetase
