# dvsaATG_highdiffn_inframe_Sc.txt
# Genes with in-frame high-score dATGs
# In Saccharomyces cerevisiae:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence, strain xx
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence, strain xx
#
# Edward Wallace, Dec 2018
Gene	aATG.scorekn	d1.scorekn
YER156C	0.76	1
YDR513W	0.798	1
YLR357W	0.712	0.904
YHR070W	0.751	0.929
YDL125C	0.825	1
YGR094W	0.794	0.967
YDR248C	0.752	0.923
YDL122W	0.744	0.913
YLR389C	0.754	0.92
YLR403W	0.809	0.969
YGR029W	0.807	0.967
YNL247W	0.784	0.942
YKR016W	0.75	0.895
YOR116C	0.786	0.929
YNL045W	0.825	0.967
YDR388W	0.79	0.929
YJR057W	0.791	0.928
YHR113W	0.786	0.923
YFL001W	0.791	0.928
YGR157W	0.778	0.913
YMR049C	0.793	0.928
YDL070W	0.797	0.927
YKR074W	0.798	0.928
YNL246W	0.799	0.928
YDR046C	0.849	0.976
YER168C	0.705	0.831
YPL038W	0.783	0.906
YDR208W	0.837	0.96
YPL091W	0.801	0.923
YBR187W	0.833	0.953
YIL046W	0.762	0.881
YLR351C	0.857	0.976
YNL320W	0.804	0.92
YBL057C	0.838	0.953
YPL015C	0.786	0.9
