Gene_name	Type	Sample	Inct.narr	Inct.wide	Nxct.narr	Nxct.wide	Upct.narr	Upct.wide	ORFct	UTR5ct	ORFlen	UTR5len	UTR5Ct
CNA00010	RPF	JEC21	17	31	10	45	21	66	1018	5	822	204	NA
CNA00020	RPF	JEC21	36	106	5	119	0	0	5466	0	963	87	NA
CNA00030	RPF	JEC21	0	7	0	1	4	5	1141	228	2970	200	NA
CNA00040	RPF	JEC21	7	152	87	156	NA	NA	9712	NA	1104	66	NA
CNA00050	RPF	JEC21	19	51	5	116	NA	NA	7897	NA	3510	62	NA
CNA00060	RPF	JEC21	101	177	27	334	NA	NA	10040	NA	1749	102	NA
CNA00070	RPF	JEC21	341	758	620	1064	NA	NA	49168	NA	957	38	NA
CNA00075	RPF	JEC21	0	0	0	1	0	0	87	0	639	63	NA
CNA00080	RPF	JEC21	1	4	3	11	NA	NA	115	NA	636	316	NA
CNA00090	RPF	JEC21	20	103	19	352	NA	NA	12265	NA	255	132	NA
CNA00100	RPF	JEC21	0	0	0	1	0	0	566	35	2478	370	NA
CNA00110	RPF	JEC21	24	34	0	14	NA	NA	8186	NA	2412	26	NA
CNA00120	RPF	JEC21	164	394	91	1914	NA	NA	40706	NA	270	76	NA
CNA00130	RPF	JEC21	NA	NA	19	41	NA	NA	NA	NA	2991	-14	NA
CNA00140	RPF	JEC21	29	51	8	239	NA	NA	27746	NA	1383	129	NA
CNA00150	RPF	JEC21	24	155	22	77	NA	NA	15190	NA	816	36	NA
CNA00160	RPF	JEC21	2	7	0	0	0	0	153	3	1101	182	NA
CNA00170	RPF	JEC21	7	60	15	77	NA	NA	12833	NA	2157	655	NA
CNA00180	RPF	JEC21	7	15	1	2	NA	NA	1831	NA	1800	223	NA
CNA00190	RPF	JEC21	15	177	80	317	NA	NA	67875	NA	1383	133	NA
CNA00200	RPF	JEC21	6	23	6	12	0	0	1899	2	2208	576	NA
CNA00210	RPF	JEC21	0	1	1	1	0	5	56	7	1485	233	NA
CNA00220	RPF	JEC21	0	1	0	1	NA	NA	38	NA	1074	33	NA
CNA00225	RPF	JEC21	0	0	0	1	NA	NA	132	NA	936	17	NA
CNA00230	RPF	JEC21	0	6	0	1	NA	NA	1288	NA	2445	78	NA
CNA00240	RPF	JEC21	0	0	0	1	0	0	98	10	804	222	NA
CNA00250	RPF	JEC21	22723	25418	3566	14548	NA	NA	674644	NA	576	44	NA
CNA00260	RPF	JEC21	6	14	14	56	4	13	4381	38	1479	427	NA
CNA00270	RPF	JEC21	4	9	3	11	NA	NA	822	NA	870	68	NA
CNA00280	RPF	JEC21	7	55	4	71	NA	NA	3562	NA	1098	75	NA
CNA00290	RPF	JEC21	15	18	13	25	13	79	3978	16	2448	776	NA
CNA00300	RPF	JEC21	24	66	212	1245	NA	NA	45798	NA	1653	110	NA
