pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:000498	Q5K9R5	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:0000ac	C5PDU6	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	227321	Aspergillus nidulans FGSC A4	227321:00084b	Q5AWG9	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	229533	Fusarium graminearum PH-1	229533:001ad4	I1RJU0	Glutamyl/glutaminyl-tRNA synthetase
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	235443	Cryptococcus neoformans var. grubii H99	235443:000589	J9VN90	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	237561	Candida albicans SC5314	237561:0015f6	Q59UK0	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	237561	Candida albicans SC5314	237561:0014b2	Q59UE9	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	237631	Ustilago maydis 521	237631:000552	Q4PBT1	
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	240176	Coprinopsis cinerea okayama7#130	240176:002581	A8N0A9	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	242507	Magnaporthe oryzae 70-15	242507:000489	G4N5N7	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	246409	Rhizopus delemar RA 99-880	246409:000948	I1BZX0	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	246410	Coccidioides immitis RS	246410:000638	J3K393	
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:000566	F5H8T2	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:0006dc	Q6CKU8	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	284591	Yarrowia lipolytica CLIB122	284591:000560	Q6C5H9	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	284592	Debaryomyces hansenii CBS767	284592:0002f3	Q6BY42	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	284593	Candida glabrata CBS 138	284593:0005b4	Q6FUS1	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	284811	Eremothecium gossypii ATCC 10895	284811:000666	Q758U0	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	284812	Schizosaccharomyces pombe 972h-	284812:000c77	mse1	Glutamyl-tRNA synthetase
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:00052a	B3LJ24	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:00035c	A5DF48	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	294747	Candida tropicalis MYA-3404	294747:0004f0	C5M400	Aminoacyl-tRNA synthetase, class I, anticodon-binding
EOG092C0Y0C	Glutamyl/glutaminyl-tRNA synthetase	4751	294748	Candida albicans WO-1	294748:00021e	C4YLC9	Aminoacyl-tRNA synthetase, class I, anticodon-binding
