# scores_kozak_unusual_mito_cc.txt
# Scores of ATG context against Kozak and unusual tRS seq, and mito predictions
# Conserved in H99 and JEC21
#
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# aATG.scorekw.xx: score of annotated ATG against wide Kozak sequence (NNNNNNNNNNATG), strain xx
# d1.scorekw.xx: score of 1st downstream ATG against wide Kozak sequence, strain xx
# u1.scorekw.xx: score of 1st upstream ATG in 5' UTR against wide Kozak sequence, strain xx
# aATG.scoreUw.xx: score of annotated ATG against wide Unusual tRNA Synthetase sequence (NNNNATG), strain xx
# aATG.scoreUw.xx: score of annotated ATG against wide Unusual tRNA Synthetase sequence (NNNNATG), strain xx
# Prob_mito.xx: Probability of mitochondrial presequence from mitofates, strain xx
# Pred_mito.xx: Prediction from mitofates, strain xx
#
# Edward Wallace, Jan 2019
H99	JEC21	aATG.scorekw.H99	d1.scorekw.H99	u1.scorekw.H99	aATG.scorekw.JEC21	d1.scorekw.JEC21	u1.scorekw.JEC21	aATG.scoreUw.H99	aATG.scoreUw.JEC21	Prob_mito.H99	Pred_mito.H99	Prob_mito.JEC21	Pred_mito.JEC21
CNAG_01397	CND05080	0.964	0.765	NA	0.959	0.768	0.754	0.63	0.63	0	No	0	No
CNAG_07825	CNH03545	0.77	0.882	0.774	0.857	0.906	0.721	0.748	0.736	0	No	0	No
CNAG_05539	CNH01890	0.847	0.819	0.795	0.854	0.816	0.845	0.619	0.697	0	No	0	No
CNAG_03635	CNB01365	0.847	0.765	0.763	0.871	0.785	0.795	0.549	0.65	0.005	No	0	No
CNAG_06621	CNF03970	0.81	0.67	NA	0.803	0.802	NA	0.548	0.579	0.645	Yes	0.652	Yes
CNAG_00830	CNA08090	0.878	0.971	0.882	0.898	0.97	0.857	0.507	0.495	0	No	0	No
CNAG_07556	CNK01100	0.829	0.72	NA	0.861	0.765	NA	0.609	0.597	0.064	No	0.032	No
CNAG_06796	CNB00060	0.928	0.724	NA	0.944	0.728	NA	0.733	0.722	0	No	0	No
CNAG_06009	CNM00180	0.906	0.751	NA	0.934	0.758	NA	0.527	0.499	0	No	0	No
CNAG_03522	CNG00710	0.904	0.865	0.778	0.825	0.737	NA	0.619	0.668	0	No	0.117	No
CNAG_00445	CNA04270	0.797	0.81	NA	0.832	0.758	0.777	0.643	0.589	0.013	No	0.009	No
CNAG_06557	CNF04600	0.804	0.783	0.826	0.86	0.78	0.841	0.672	0.606	0	No	0	No
CNAG_07440	CND02590	0.72	0.722	NA	0.9	0.744	NA	0.533	0.622	0	No	NA	NA
