# Mitofates predictions for S. pombe 972h-
# EW 29 September 2018
# Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
SPAC212.03 Protein	0.000	No mitochondrial presequence	11(MPP)	-0.182	55-59	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.02c Protein	0.000	No mitochondrial presequence	20(MPP)	0.450		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.12c Protein	0.019	No mitochondrial presequence	43(MPP)	0.140	8-12,18-22	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.13c Protein	0.010	No mitochondrial presequence	23(MPP)	0.043		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.20 Protein	0.168	No mitochondrial presequence	6(MPP)	0.167	11-15	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.15c Protein	0.000	No mitochondrial presequence	30(MPP)	0.000		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.14 Protein	0.000	No mitochondrial presequence	38(MPP)	-0.158		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.16c Protein	0.004	No mitochondrial presequence	30(MPP)	0.067		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.17c Protein	0.003	No mitochondrial presequence	54(MPP), 55(Icp55)	0.000	51-55,84-88	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	8-13	
SPAC1002.18 Protein	0.027	No mitochondrial presequence	17(MPP)	0.000	6-10,19-23	12-25-high	-	-	-	-	-	-	-	-	-	-	-	-	19-24	-	
SPAC1002.19 Protein	0.000	No mitochondrial presequence	32(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.05c Protein	0.000	No mitochondrial presequence	9(MPP)	0.000	93-97	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.03 Protein	0.003	No mitochondrial presequence	58(MPP)	0.017		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.04c Protein	0.000	No mitochondrial presequence	16(MPP)	-0.062	58-62	19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.03 Protein	0.000	No mitochondrial presequence	21(MPP)	0.095	37-41	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.02 Protein	0.007	No mitochondrial presequence	10(MPP), 11(Icp55)	0.100		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1399.06 Protein	0.133	No mitochondrial presequence	33(MPP)	0.030	6-10	5-14-high	-	-	7-12	-	6-11	-	-	-	-	-	-	-	-	-	
SPAC1399.01c Protein	0.044	No mitochondrial presequence	22(MPP)	-0.045	74-78	15-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP11E10.01 Protein	0.000	No mitochondrial presequence	28(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAP11E10.02c Protein	0.000	No mitochondrial presequence	32(MPP)	-0.031		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.02 Protein	0.000	No mitochondrial presequence	43(MPP)	0.000	17-21	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.03 Protein	0.220	No mitochondrial presequence	15(MPP), 16(Icp55)	0.000	12-16	10-19-low	-	-	-	-	-	-	-	-	-	-	-	11-16	12-17	-	
SPAPB1A10.16 Protein	0.810	Possessing mitochondrial presequence	37(MPP)	0.216	3-7	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.04c Protein	0.000	No mitochondrial presequence	50(MPP)	-0.160	32-36,47-51	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.05 Protein	0.000	No mitochondrial presequence	40(MPP)	0.100		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.06c Protein	0.425	Possessing mitochondrial presequence	28(MPP)	0.321	17-21,92-96	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	17-22	-	
SPAPB1A10.07c Protein	0.000	No mitochondrial presequence	25(MPP), 33(Oct1)	0.000		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.08 Protein	0.003	No mitochondrial presequence	79(MPP)	-0.025	14-18	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	14-19	-	
SPAPB1A10.09 Protein	0.000	No mitochondrial presequence	95(MPP), 103(Oct1)	-0.084		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.10c Protein	0.077	No mitochondrial presequence	36(MPP)	0.111	8-12	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.11c Protein	0.953	Possessing mitochondrial presequence	28(MPP)	0.179	7-11,12-16,88-92	4-15-low	-	-	-	-	-	-	-	-	-	-	-	11-16	-	-	
SPAPB1A10.12c Protein	0.058	No mitochondrial presequence	42(MPP)	0.071	79-83	16-25-low	-	-	-	-	-	-	-	20-25	-	-	-	-	-	19-24	
SPAPB1A10.13 Protein	0.016	No mitochondrial presequence	34(MPP)	0.088		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.14 Protein	0.004	No mitochondrial presequence	7(MPP)	0.143	65-69	4-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAPB1A10.15 Protein	0.000	No mitochondrial presequence	20(MPP)	-0.050	36-40,59-63	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.04 Protein	0.000	No mitochondrial presequence	71(MPP)	-0.042	20-24,45-49,68-72	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC140.01 Protein	0.851	Possessing mitochondrial presequence	23(MPP)	0.217	13-17	9-18-high	-	19-24	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC140.02 Protein	0.000	No mitochondrial presequence	61(MPP)	0.246		9-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC140.03 Protein	0.000	No mitochondrial presequence	39(MPP), 40(Icp55)	0.128	74-78	8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC140.04 Protein	0.006	No mitochondrial presequence	36(MPP)	0.056		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC110.05 Protein	0.046	No mitochondrial presequence	60(MPP)	0.050	32-36,48-52,57-61	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.05c Protein	0.000	No mitochondrial presequence	30(MPP)	0.000	27-31,79-83	16-25-low	-	-	-	-	-	23-28	-	-	-	-	-	-	-	-	
SPAC110.01 Protein	0.000	No mitochondrial presequence	79(MPP)	-0.038		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC110.02 Protein	0.147	No mitochondrial presequence	9(MPP)	0.222	78-82	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
