# dvsaATG_highdiffn_outframe_Ca.txt
# Genes with in-frame high-score dATGs
# In C. albicans SC5314:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by mRNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence, strain xx
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence, strain xx
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn
C2_06190W_A	0.744	1
C1_04120C_A	0.725	0.968
C2_01510C_A	0.761	0.991
C3_06440W_A	0.759	0.977
C1_08490W_A	0.793	1
C1_00080C_A	0.659	0.867
CR_01820W_A	0.75	0.952
CR_05240C_A	0.71	0.912
C1_00370W_A	0.81	1
C2_00700W_A	0.811	1
C5_04090C_A	0.691	0.879
CR_04020C_A	0.819	0.998
C1_02920W_A	0.77	0.948
C5_02730C_A	0.797	0.975
CR_00410W_A	0.801	0.977
CR_08040W_A	0.803	0.977
CR_02980C_A	0.691	0.866
C4_00780C_A	0.829	1
C5_01880C_A	0.806	0.977
C1_00220W_A	0.828	0.998
CR_01870C_A	0.775	0.943
C3_06420C_A	0.831	1
C1_06700W_A	0.798	0.967
C3_01730C_A	0.798	0.967
C5_01000C_A	0.83	0.998
C3_05550C_A	0.803	0.968
C1_08220W_A	0.825	0.991
CR_07570W_A	0.835	1
C2_02980C_A	0.758	0.918
C4_03770W_A	0.831	0.991
C2_02900W_A	0.8	0.959
C7_02690C_A	0.843	1
C1_08420W_A	0.77	0.926
C6_01210W_A	0.815	0.968
CR_10010C_A	0.765	0.918
C7_02840C_A	0.824	0.977
CR_08930C_A	0.824	0.977
C1_10380C_A	0.775	0.926
C5_05200C_A	0.775	0.926
C1_08650C_A	0.797	0.948
C5_00650C_A	0.793	0.943
C2_05470W_A	0.852	1
C4_01800W_A	0.853	0.998
C6_02940C_A	0.848	0.991
C6_02590C_A	0.855	0.991
C1_02530C_A	0.833	0.968
C4_03690C_A	0.747	0.88
C1_02930C_A	0.834	0.967
C7_01230C_A	0.775	0.905
C3_04820C_A	0.87	1
C7_00350C_A	0.803	0.932
C3_03870C_A	0.821	0.95
C2_09250W_A	0.792	0.918
C1_14480W_A	0.733	0.859
C4_00230W_A	0.691	0.816
C2_09750W_A	0.742	0.866
CR_08160W_A	0.853	0.975
CR_04050C_A	0.855	0.977
C4_02640C_A	0.824	0.945
CR_07470W_A	0.783	0.904
C4_05390W_A	0.821	0.942
C2_06480W_A	0.879	0.998
C4_05680W_A	0.833	0.952
C2_06020W_A	0.807	0.926
C4_05670W_A	0.88	0.998
CR_08250C_A	0.873	0.991
CR_00240W_A	0.859	0.975
C3_00570C_A	0.834	0.95
C1_01300W_A	0.861	0.977
C1_01530C_A	0.831	0.945
CR_04880W_A	0.854	0.968
C1_02720W_A	0.885	0.998
C3_02550C_A	0.801	0.914
C7_00060C_A	0.887	1
C1_12780W_A	0.821	0.932
C1_07690C_A	0.802	0.914
C1_01360C_A	0.791	0.902
C1_08710W_A	0.742	0.853
CR_10410C_A	0.887	0.998
C1_04600C_A	0.889	1
C4_00710W_A	0.815	0.926
C2_05100C_A	0.831	0.942
C1_05060W_A	0.784	0.894
C7_03660C_A	0.805	0.914
C1_00660C_A	0.803	0.91
C1_08880W_A	0.87	0.977
