Gene_name	Type	Sample	Inct.narr	Inct.wide	Nxct.narr	Nxct.wide	Upct.narr	Upct.wide	ORFct	UTR5Ct	ORFlen	UTR5len
CNAG_00002	RPF	H99r1	5	36	82	211	0	0	3542	9	525	106
CNAG_00003	RPF	H99r1	0	0	0	1	0	0	40	0	1611	106
CNAG_00004	RPF	H99r1	8	30	14	25	0	1	1448	0	2301	106
CNAG_00005	RPF	H99r1	7	19	0	21	0	0	1416	0	1737	106
CNAG_00006	RPF	H99r1	180	658	84	773	0	0	15312	0	957	106
CNAG_00007	RPF	H99r1	7	27	6	75	NA	NA	3546	NA	1749	106
CNAG_00008	RPF	H99r1	30	103	6	90	NA	NA	3952	NA	3510	106
CNAG_00009	RPF	H99r1	129	221	12	103	NA	NA	6650	NA	1098	106
CNAG_00010	RPF	H99r1	2	5	0	2	0	4	755	197	2970	106
CNAG_00011	RPF	H99r1	9	40	1	9	0	1	1228	0	963	106
CNAG_00012	RPF	H99r1	46	85	36	42	NA	NA	6844	NA	1161	106
CNAG_00013	RPF	H99r1	0	0	0	0	0	0	8	2	615	106
CNAG_00014	RPF	H99r1	6	88	0	20	4	7	808	2	1842	106
CNAG_00015	RPF	H99r1	3	10	0	10	NA	NA	127	NA	639	106
CNAG_00016	RPF	H99r1	16	86	116	328	NA	NA	8779	NA	255	106
CNAG_00017	RPF	H99r1	0	0	0	0	0	0	59	5	2361	106
CNAG_00018	RPF	H99r1	35	45	3	10	0	0	4731	0	2391	106
CNAG_00019	RPF	H99r1	313	522	61	1377	NA	NA	21287	NA	270	106
CNAG_00020	RPF	H99r1	18	59	12	15	NA	NA	4436	NA	2994	106
CNAG_00021	RPF	H99r1	94	149	37	280	NA	NA	10272	NA	1404	106
CNAG_00022	RPF	H99r1	74	428	3	151	0	0	8554	0	810	106
CNAG_00023	RPF	H99r1	0	0	0	0	3	4	12	0	1086	106
CNAG_00024	RPF	H99r1	23	65	7	76	NA	NA	4028	NA	2160	106
CNAG_00025	RPF	H99r1	22	29	6	6	NA	NA	1437	NA	1800	106
CNAG_00026	RPF	H99r1	25	220	84	402	1	9	26738	2	1311	106
CNAG_00027	RPF	H99r1	3	16	0	2	4	4	894	1	2208	106
CNAG_00028	RPF	H99r1	0	6	0	8	NA	NA	151	NA	1482	106
CNAG_00029	RPF	H99r1	0	3	0	4	0	9	135	13	1074	106
CNAG_00030	RPF	H99r1	1	2	2	10	1	1	376	0	936	106
CNAG_00031	RPF	H99r1	1	13	1	6	NA	NA	945	NA	2442	106
CNAG_00032	RPF	H99r1	0	1	0	0	NA	NA	60	NA	804	106
CNAG_00034	RPF	H99r1	68	20662	2661	9772	NA	NA	312511	NA	576	106
CNAG_00035	RPF	H99r1	0	0	3	7	NA	NA	362	NA	1581	106
CNAG_00036	RPF	H99r1	2	4	0	1	0	0	246	0	870	106
CNAG_00038	RPF	H99r1	2	96	2	55	NA	NA	2333	NA	1098	106
CNAG_00039	RPF	H99r1	2	5	11	17	0	0	2772	1	2445	106
CNAG_00040	RPF	H99r1	48	184	31	315	NA	NA	16761	NA	1644	106
CNAG_00043	RPF	H99r1	9	31	2	26	0	0	1619	0	1908	106
CNAG_00044	RPF	H99r1	9	115	23	71	NA	NA	7970	NA	3348	106
CNAG_00045	RPF	H99r1	8	40	1	14	NA	NA	1131	NA	1260	106
CNAG_00046	RPF	H99r1	96	876	37	282	NA	NA	19604	NA	1053	106
CNAG_00047	RPF	H99r1	4	11	1	5	NA	NA	219	NA	1371	106
CNAG_00048	RPF	H99r1	0	0	0	1	NA	NA	29	NA	1641	106
CNAG_00049	RPF	H99r1	0	0	0	0	NA	NA	104	NA	978	106
CNAG_00050	RPF	H99r1	9	17	10	17	NA	NA	2109	NA	906	106
CNAG_00051	RPF	H99r1	6	11	2	24	32	37	3275	1	4920	106
CNAG_00052	RPF	H99r1	28	61	20	47	NA	NA	626	NA	285	106
CNAG_00053	RPF	H99r1	0	14	14	50	1	9	322	42	528	106
CNAG_00054	RPF	H99r1	0	0	1	4	1	2	60	9	708	106
CNAG_00055	RPF	H99r1	11	44	28	126	0	0	8793	0	1167	106
CNAG_00056	RPF	H99r1	1	39	14	25	NA	NA	2442	NA	2025	106
CNAG_00057	RPF	H99r1	14	54	9	178	NA	NA	10865	NA	1053	106
CNAG_00058	RPF	H99r1	153	306	83	211	NA	NA	33277	NA	1647	106
CNAG_00059	RPF	H99r1	6	30	7	39	0	0	1173	0	792	106
CNAG_00060	RPF	H99r1	61	88	0	45	NA	NA	4840	NA	1206	106
CNAG_00061	RPF	H99r1	1974	3051	874	3180	NA	NA	119073	NA	1395	106
CNAG_00062	RPF	H99r1	192	405	74	509	0	0	23386	0	1593	106
CNAG_00063	RPF	H99r1	32	123	15	126	NA	NA	2084	NA	480	106
CNAG_00064	RPF	H99r1	106	281	44	220	NA	NA	5451	NA	597	106
CNAG_00065	RPF	H99r1	421	3099	14	312	1	4	51397	1	717	106
CNAG_00066	RPF	H99r1	0	100	17	38	0	0	2362	37	3855	106
CNAG_00067	RPF	H99r1	75	220	88	1319	NA	NA	10684	NA	213	106
CNAG_00068	RPF	H99r1	21	32	5	28	NA	NA	2959	NA	1809	106
CNAG_00069	RPF	H99r1	0	0	0	0	NA	NA	31	NA	954	106
CNAG_00070	RPF	H99r1	0	0	0	0	0	0	634	0	1863	106
CNAG_00072	RPF	H99r1	21	181	17	161	NA	NA	13547	NA	1236	106
CNAG_00073	RPF	H99r1	10	49	36	164	129	180	7801	49	2571	106
CNAG_00074	RPF	H99r1	65	115	51	201	NA	NA	7321	NA	1656	106
CNAG_00075	RPF	H99r1	133	295	19	82	1	16	7930	0	474	106
CNAG_00076	RPF	H99r1	14	19	11	63	NA	NA	2042	NA	1716	106
CNAG_00077	RPF	H99r1	14	29	0	17	NA	NA	2531	NA	2466	106
CNAG_00078	RPF	H99r1	13	29	0	0	2	38	2433	80	3534	106
CNAG_00079	RPF	H99r1	18	68	2	11	NA	NA	987	NA	759	106
CNAG_00080	RPF	H99r1	0	1	0	0	NA	NA	17	NA	1455	106
CNAG_00081	RPF	H99r1	61	196	7	16	0	0	14896	0	2829	106
CNAG_00082	RPF	H99r1	23	102	6	31	NA	NA	3854	NA	996	106
CNAG_00083	RPF	H99r1	31	51	4	47	10	30	5196	0	2931	106
CNAG_00084	RPF	H99r1	34	324	20	210	0	0	28005	1	2577	106
CNAG_00085	RPF	H99r1	21	273	27	140	0	0	6231	0	627	106
CNAG_00086	RPF	H99r1	14	44	66	142	0	6	10048	0	2067	106
CNAG_00087	RPF	H99r1	5	34	18	71	NA	NA	3125	NA	2049	106
CNAG_00088	RPF	H99r1	142	395	51	848	NA	NA	21378	NA	825	106
CNAG_00089	RPF	H99r1	211	281	41	128	NA	NA	5596	NA	996	106
CNAG_00090	RPF	H99r1	7	75	38	140	NA	NA	3310	NA	1266	106
CNAG_00091	RPF	H99r1	27	128	22	94	NA	NA	7377	NA	1605	106
CNAG_00092	RPF	H99r1	129	494	244	600	NA	NA	17656	NA	354	106
CNAG_00093	RPF	H99r1	22	223	0	15	12	24	4172	0	2241	106
CNAG_00094	RPF	H99r1	0	0	0	3	0	1	111	0	1080	106
CNAG_00095	RPF	H99r1	8	32	11	19	0	0	2607	0	3498	106
CNAG_00096	RPF	H99r1	9	33	2	11	NA	NA	1324	NA	1566	106
CNAG_00097	RPF	H99r1	0	2	2	9	0	6	271	0	1704	106
CNAG_00098	RPF	H99r1	14	33	4	6	NA	NA	835	NA	990	106
CNAG_00099	RPF	H99r1	26	54	5	38	0	0	10595	0	2571	106
CNAG_00100	RPF	H99r1	101	288	151	685	2	28	83131	2	1755	106
CNAG_00101	RPF	H99r1	85	191	33	64	NA	NA	3495	NA	804	106
CNAG_00104	RPF	H99r1	14	218	25	377	NA	NA	35862	NA	3303	106
CNAG_00106	RPF	H99r1	49	183	3	18	NA	NA	4905	NA	3642	106
CNAG_00107	RPF	H99r1	7	31	1	18	0	4	1570	0	1671	106
CNAG_00108	RPF	H99r1	84	107	42	259	NA	NA	14478	NA	1455	106
CNAG_00109	RPF	H99r1	87	286	54	258	NA	NA	6330	NA	390	106
CNAG_00110	RPF	H99r1	3	19	1	41	0	0	5239	0	1947	106
CNAG_00111	RPF	H99r1	43	70	2	156	0	0	20295	0	2286	106
CNAG_00115	RPF	H99r1	52	337	100	253	0	4	16793	0	1140	106
CNAG_00116	RPF	H99r1	2291	8095	632	4498	NA	NA	302829	NA	759	106
CNAG_00117	RPF	H99r1	22	31	39	74	0	1	6962	0	1380	106
CNAG_00118	RPF	H99r1	9	124	28	113	NA	NA	1549	NA	483	106
CNAG_00119	RPF	H99r1	15	37	3	24	0	1	1213	0	552	106
CNAG_00120	RPF	H99r1	14	20	3	32	0	0	1887	0	837	106
CNAG_00121	RPF	H99r1	225	521	57	411	NA	NA	19357	NA	1035	106
CNAG_00122	RPF	H99r1	2	9	0	21	NA	NA	2189	NA	1686	106
CNAG_00123	RPF	H99r1	6	15	0	0	NA	NA	165	NA	912	106
CNAG_00124	RPF	H99r1	28	44	10	16	NA	NA	876	NA	1656	106
CNAG_00125	RPF	H99r1	0	0	0	0	NA	NA	69	NA	1923	106
CNAG_00126	RPF	H99r1	70	212	17	103	0	3	6498	0	828	106
CNAG_00127	RPF	H99r1	8	27	7	25	NA	NA	1448	NA	1446	106
CNAG_00128	RPF	H99r1	3	8	53	64	NA	NA	364	NA	3177	106
CNAG_00129	RPF	H99r1	4	12	1	12	NA	NA	696	NA	1323	106
CNAG_00130	RPF	H99r1	342	413	1	94	NA	NA	11040	NA	1857	106
CNAG_00131	RPF	H99r1	1	3	1	4	0	0	175	1	1080	106
CNAG_00132	RPF	H99r1	0	0	0	0	NA	NA	37	NA	2148	106
CNAG_00133	RPF	H99r1	9	42	8	67	NA	NA	1335	NA	384	106
CNAG_00134	RPF	H99r1	6	19	0	13	NA	NA	1924	NA	2277	106
CNAG_00135	RPF	H99r1	88	570	43	176	0	0	6327	0	414	106
CNAG_00136	RPF	H99r1	187	923	187	506	NA	NA	59778	NA	3048	106
CNAG_00137	RPF	H99r1	149	271	25	84	NA	NA	2887	NA	972	106
CNAG_00138	RPF	H99r1	90	153	104	329	NA	NA	12120	NA	972	106
CNAG_00139	RPF	H99r1	138	347	45	176	NA	NA	12346	NA	858	106
CNAG_00140	RPF	H99r1	36	287	51	221	NA	NA	19371	NA	1308	106
CNAG_00141	RPF	H99r1	0	9	3	14	2	8	433	0	1329	106
CNAG_00142	RPF	H99r1	9	77	45	247	0	0	11813	0	2400	106
