pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	72359	Trachipleistophora hominis	72359:0001bc	L7JSJ6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:0005ca	Q5KFS5	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000368	C5P7M5	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:000163	YPR081C	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:00012e	YBR121C	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	227321	Aspergillus nidulans FGSC A4	227321:001e53	C8V9J8	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	229533	Fusarium graminearum PH-1	229533:00060f	I1RS49	Aminoacyl-tRNA synthetase, class II
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	235443	Cryptococcus neoformans var. grubii H99	235443:000785	J9VWX1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	237561	Candida albicans SC5314	237561:000aba	GRS1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	237631	Ustilago maydis 521	237631:00027f	Q4P9Q1	
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	240176	Coprinopsis cinerea okayama7#130	240176:000544	A8NMQ3	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	240176	Coprinopsis cinerea okayama7#130	240176:0003be	D6RQT2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	242507	Magnaporthe oryzae 70-15	242507:00065f	G4N844	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	246409	Rhizopus delemar RA 99-880	246409:000890	I1CDZ0	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	246410	Coccidioides immitis RS	246410:000617	J3K877	Transmembrane:Helical
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:00030e	Q55QF6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1IOM	Aminoacyl-tRNA synthetase, class II	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:000562	Q6CVW3	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
