# Mitofates predictions for N. crassa NC12
# EW 29 September 2018
# Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
NCU00003 Protein	0.000	No mitochondrial presequence	45(MPP)	0.022		1-10-low	-	-	-	-	-	-	-	1-6	-	-	-	-	-	16-21	
NCU00004 Protein	0.000	No mitochondrial presequence	54(MPP)	0.111	85-89	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00005 Protein	0.000	No mitochondrial presequence	83(MPP)	0.024	38-42	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00006 Protein	0.007	No mitochondrial presequence	13(MPP)	0.077		6-15-low	-	-	-	-	-	10-15	-	-	-	9-14	-	-	-	-	
NCU00007 Protein	0.000	No mitochondrial presequence	65(MPP)	-0.031		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00008 Protein	0.003	No mitochondrial presequence	20(MPP)	-0.050		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00009 Protein	0.000	No mitochondrial presequence	39(MPP)	0.077		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00010 Protein	0.008	No mitochondrial presequence	72(MPP)	0.069		8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00011 Protein	0.014	No mitochondrial presequence	9(MPP)	0.222		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00013 Protein	0.000	No mitochondrial presequence	28(MPP)	0.000	7-11,34-38,37-41,83-87	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00014 Protein	0.000	No mitochondrial presequence	30(MPP)	0.033	84-88	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00015 Protein	0.000	No mitochondrial presequence	71(MPP)	-0.042	90-94,93-97	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00017 Protein	0.000	No mitochondrial presequence	12(MPP)	0.083		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00018 Protein	0.000	No mitochondrial presequence	74(MPP)	-0.027		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00019 Protein	0.000	No mitochondrial presequence	37(MPP)	0.054	71-75	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00021 Protein	0.000	No mitochondrial presequence	80(MPP)	-0.188		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00022 Protein	0.000	No mitochondrial presequence	45(MPP)	0.067	45-49	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00023 Protein	0.003	No mitochondrial presequence	24(MPP)	0.042	66-70	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
