# H99_mitofates_26June2018
# H99 mitofates predictions from http://mitf.cbrc.jp/MitoFates/
# applied to first 120aa of protein sequences, which gives DIFFERENT predictions from full-length protein
# Edward Wallace, 26th June 2018
# 
# Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNAG_00002	0.023	No	17(MPP)	0.176		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00003	0.000	No	30(MPP)	-0.033		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00004	0.000	No	29(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00005	0.000	No	65(MPP)	-0.046	14-18,62-66,65-69,91-95	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00006	0.150	No	21(MPP)	0.143	9-13	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00007	0.997	Yes	26(MPP)	0.154	3-7	2-13-high	-	-	-	-	-	-	-	-	1-6	-	-	-	-	-
CNAG_00008	0.015	No	18(MPP)	0.111		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00009	0.010	No	21(MPP)	0.095		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00010	0.003	No	21(MPP)	0.048		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00011	0.000	No	46(MPP)	-0.022		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00012	0.000	No	32(MPP)	-0.031		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00013	0.000	No	15(MPP)	0.267		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00014	0.000	No	30(MPP)	-0.067	43-47,64-68	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00015	0.037	No	6(MPP)	0.167		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00016	0.000	No	28(MPP), 36(Oct1)	-0.036	11-15	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00017	0.012	No	78(MPP)	0.051		8-17-high	-	-	-	-	-	-	12-17	-	-	-	-	-	-	11-16
CNAG_00018	0.000	No	62(MPP)	-0.048		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00019	0.006	No	29(MPP), 30(Icp55)	0.000	14-18,26-30,34-38	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00020	0.119	No	34(MPP)	0.088	70-74,85-89,89-93	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00021	0.000	No	56(MPP)	-0.125		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNAG_00022	0.000	No	72(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
