pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:00025e	Q5KJG7	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:0002d9	C5P0A8	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	227321	Aspergillus nidulans FGSC A4	227321:001d77	C8V1J1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	229533	Fusarium graminearum PH-1	229533:0030d2	I1RCW6	Aminoacyl-tRNA synthetase, class II
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0006cf	J9VTE5	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	237561	Candida albicans SC5314	237561:00054b	Q5AD28	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	237631	Ustilago maydis 521	237631:00049d	Q4PFD6	
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	240176	Coprinopsis cinerea okayama7#130	240176:00051c	A8NFE3	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	242507	Magnaporthe oryzae 70-15	242507:0006b5	G4N9Z1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	246409	Rhizopus delemar RA 99-880	246409:000367	I1C6H5	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	246410	Coccidioides immitis RS	246410:00069c	J3KFH6	Dual specificity phosphatase, catalytic domain
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:0003ff	F5H9L4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:00053e	Q6CVG7	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C2OPN	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	4751	284591	Yarrowia lipolytica CLIB122	284591:0006db	Q6CBI1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
