# scores_kozak_Sp.txt
# Scores of ATG context against Kozak sequence, S. pombe 972h-
# Kozak sequence derived from 256 highest-translated genes by RPF
#
# Gene: Sp systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d1vsan
SPAC212.11	0.812	0.756	-0.056
SPAC977.18	0.867	0.798	-0.069
SPAC13G6.05c	0.918	0.746	-0.173
SPAC1002.16c	0.939	0.884	-0.055
SPAC1002.17c	0.95	0.918	-0.031
SPAC1002.18	0.968	0.789	-0.18
SPAC1002.19	0.949	0.844	-0.105
SPAC1399.05c	0.907	0.889	-0.018
SPAC1399.04c	0.949	0.849	-0.1
SPAC1399.03	0.9	0.884	-0.015
SPAC1399.02	0.941	0.774	-0.167
SPAC13G6.06c	0.746	0.763	0.017
SPAC1399.06	0.916	0.81	-0.106
SPAC1399.01c	0.916	0.823	-0.093
SPAP11E10.01	0.88	0.862	-0.018
SPAP11E10.02c	0.838	0.774	-0.064
SPAPB1A10.02	0.9	0.78	-0.12
SPAPB1A10.03	0.89	0.939	0.049
SPAPB1A10.16	0.939	0.956	0.017
SPAPB1A10.04c	0.878	0.822	-0.056
SPAC13G6.07c	1	0.811	-0.189
SPAPB1A10.05	0.746	0.787	0.042
SPAPB1A10.06c	0.926	0.788	-0.138
SPAPB1A10.07c	0.868	0.884	0.017
SPAPB1A10.08	0.737	0.852	0.115
SPAPB1A10.09	0.788	0.86	0.072
SPAPB1A10.10c	0.788	0.958	0.17
SPAPB1A10.11c	0.699	0.951	0.251
SPAC13G6.08	0.822	0.804	-0.019
SPAPB1A10.12c	0.793	0.96	0.167
SPAPB1A10.13	0.853	0.764	-0.088
SPAPB1A10.14	0.99	0.813	-0.177
SPAPB1A10.15	0.934	0.878	-0.056
SPAC140.01	0.889	0.918	0.03
SPAC140.02	0.891	0.795	-0.096
SPAC140.03	0.82	0.99	0.17
SPAC140.04	0.765	0.779	0.014
SPAC110.05	0.754	0.949	0.195
SPAC110.01	0.833	0.789	-0.044
SPAC110.02	0.805	0.837	0.033
SPAC110.03	0.816	0.847	0.032
SPAC110.04c	0.931	0.786	-0.145
SPAC13G6.09	0.916	0.893	-0.023
SPAP14E8.02	0.866	1	0.134
SPAP14E8.03	0.849	0.799	-0.05
SPAP14E8.04	0.763	0.918	0.155
SPAP14E8.05c	0.916	0.804	-0.112
SPAC3H1.01c	0.899	0.949	0.05
SPAC3H1.02c	0.856	0.731	-0.125
SPAC3H1.03	0.809	0.805	-0.004
SPAC3H1.04c	0.706	0.859	0.153
SPAC3H1.05	0.753	0.95	0.197
SPAC13G6.10c	0.99	0.794	-0.196
SPAC3H1.06c	0.84	0.778	-0.063
SPAC3H1.07	0.99	0.724	-0.266
SPAC3H1.08c	0.869	0.719	-0.15
SPAC3H1.09c	0.867	0.813	-0.053
SPAC3H1.10	0.688	0.835	0.147
SPAC13G6.11c	0.878	0.901	0.022
SPAC3H1.11	0.688	0.827	0.139
SPAC3H1.12c	0.713	0.863	0.15
SPAC3H1.13	0.82	0.907	0.087
SPAC3H1.14	0.901	0.867	-0.033
SPAC13G6.12c	0.893	0.781	-0.112
SPAC9G1.14	0.804	0.805	0.001
SPAC9G1.02	0.713	0.932	0.219
SPAC9G1.03c	0.99	0.884	-0.106
SPAC9G1.04	0.884	0.855	-0.03
SPAC9G1.05	0.884	0.891	0.007
SPAC9G1.06c	0.835	0.884	0.049
SPAC9G1.07	0.771	0.74	-0.032
SPAC9G1.08c	0.77	0.829	0.059
SPAC9G1.15c	0.891	0.713	-0.179
SPAC9G1.09	0.878	0.838	-0.04
SPAC13G6.13	0.956	0.777	-0.179
SPAC9G1.10c	0.901	0.884	-0.016
SPAC9G1.11c	0.838	0.779	-0.059
SPAC9G1.12	0.891	0.932	0.041
SPAC9G1.13c	0.916	0.806	-0.11
SPAC767.01c	0.874	0.99	0.116
SPAC17H9.01	0.878	0.96	0.082
SPAC17H9.02	0.86	0.884	0.025
SPAC17H9.03c	0.89	0.774	-0.116
SPAC977.02	0.82	0.88	0.061
SPAC17H9.04c	0.859	0.956	0.096
SPAC17H9.05	0.916	0.793	-0.123
SPAC17H9.06c	0.753	0.898	0.146
SPAC17H9.07	0.884	0.721	-0.163
SPAC17H9.08	0.841	0.772	-0.069
SPAC17H9.09c	0.881	0.821	-0.06
SPAC17H9.10c	0.918	0.759	-0.159
SPAC17H9.11	0.951	0.695	-0.256
SPAC17H9.12c	0.956	0.84	-0.116
SPAC13G6.14	0.778	0.763	-0.015
SPAC17H9.13c	0.95	0.78	-0.17
SPAC17H9.14c	0.867	0.838	-0.028
SPAC17H9.16	1	0.706	-0.294
SPAC17H9.17c	0.95	0.892	-0.058
SPAC17H9.18c	0.814	0.811	-0.002
SPAC17H9.19c	0.884	0.881	-0.003
SPAC17H9.20	0.829	0.731	-0.098
SPAC607.02c	0.949	0.842	-0.107
SPAC13G6.15c	0.782	0.916	0.134
SPAC607.03c	0.99	0.811	-0.179
SPAC607.04	0.774	0.77	-0.004
SPAC607.05	0.91	0.928	0.019
SPAC607.06c	0.885	0.831	-0.054
SPAC607.07c	0.91	0.771	-0.138
SPAC607.08c	0.899	0.859	-0.04
SPAC607.09c	0.9	0.951	0.051
SPAC607.10	0.95	0.764	-0.186
SPAC732.01	0.949	0.753	-0.196
SPAC732.02c	0.901	0.726	-0.174
SPAC3C7.01c	0.931	0.859	-0.072
SPAC3C7.02c	0.834	0.805	-0.029
SPAC3C7.03c	0.862	0.699	-0.163
SPAC3C7.04	0.932	0.853	-0.08
SPAC3C7.05c	0.916	0.789	-0.127
SPAC24B11.05	0.89	0.918	0.028
SPAC3C7.06c	0.84	0.811	-0.029
SPAC3C7.07c	0.816	0.789	-0.027
SPAC3C7.08c	0.918	0.859	-0.06
SPAC3C7.09	0.771	0.916	0.145
SPAC3C7.10	0.905	1	0.095
SPAC3C7.11c	0.861	0.771	-0.09
SPAC3C7.12	0.872	0.819	-0.054
SPAC3C7.13c	0.99	0.713	-0.278
SPAC24B11.06c	0.95	0.773	-0.177
SPAC3C7.14c	0.866	0.759	-0.106
SPAC25A8.03c	0.822	0.771	-0.051
SPAC25A8.01c	0.88	0.74	-0.141
SPAC25A8.02	0.688	0.757	0.069
SPAC631.01c	0.934	0.713	-0.221
SPAC631.02	0.877	0.737	-0.14
SPAC20H4.01	0.788	0.932	0.144
SPAC20H4.02	0.828	0.99	0.162
SPAC20H4.03c	0.9	0.89	-0.009
SPAC20H4.04	0.732	0.861	0.129
SPAC20H4.05c	0.931	0.74	-0.192
SPAC20H4.06c	0.95	0.728	-0.222
SPAC20H4.07	0.74	0.88	0.141
SPAC20H4.08	0.99	0.82	-0.17
SPAC20H4.09	0.798	0.82	0.022
SPAC20H4.10	0.89	0.867	-0.023
SPAC24B11.07c	0.878	0.847	-0.032
SPAC20H4.11c	0.89	0.787	-0.103
SPAC23C11.01	0.827	0.88	0.054
SPAC23C11.02c	1	0.738	-0.262
SPAC23C11.03	0.827	0.856	0.028
SPAC23C11.04c	0.855	0.897	0.042
SPAC23C11.05	0.828	0.72	-0.108
SPAC23C11.06c	0.924	0.827	-0.097
SPAC23C11.07	0.783	0.783	0
SPAC23C11.08	0.859	0.811	-0.048
SPAC24B11.08c	0.99	0.724	-0.266
