# dvsaATG_highdiffw_inframe_Nc.txt
# Genes with in-frame high-score dATGs
# In N. crassa:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 40% by RNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
NCU01121	0.649	0.961
NCU04323	0.632	0.94
NCU01333	0.593	0.9
NCU07509	0.651	0.942
NCU00847	0.686	0.977
NCU05306	0.643	0.934
NCU02127	0.642	0.928
NCU02511	0.687	0.957
NCU02596	0.626	0.895
NCU07657	0.686	0.951
NCU04332	0.68	0.937
NCU08568	0.71	0.965
NCU06877	0.671	0.924
NCU02124	0.739	0.989
NCU05040	0.686	0.933
NCU01418	0.736	0.98
NCU06108	0.714	0.954
NCU01307	0.692	0.93
NCU04510	0.695	0.933
NCU10044	0.649	0.88
NCU04554	0.67	0.9
NCU01501	0.756	0.984
NCU08293	0.649	0.874
NCU03699	0.622	0.846
NCU09560	0.734	0.957
NCU03605	0.676	0.897
NCU01399	0.677	0.897
NCU00742	0.73	0.947
NCU05301	0.657	0.874
NCU02887	0.728	0.939
NCU04109	0.741	0.949
NCU00236	0.757	0.964
NCU00173	0.768	0.974
NCU05364	0.628	0.832
NCU06914	0.69	0.892
NCU00405	0.732	0.933
NCU08791	0.701	0.901
NCU04857	0.726	0.926
NCU06997	0.703	0.903
NCU05999	0.679	0.879
NCU02005	0.743	0.939
NCU02428	0.65	0.846
NCU06558	0.732	0.927
NCU04069	0.642	0.836
NCU10029	0.748	0.942
NCU04427	0.699	0.893
NCU11195	0.714	0.906
NCU16624	0.706	0.896
NCU03339	0.724	0.913
NCU06654	0.725	0.914
NCU04153	0.71	0.896
NCU03993	0.704	0.889
NCU08288	0.723	0.908
NCU01417	0.729	0.912
NCU06069	0.726	0.907
NCU10789	0.667	0.848
NCU03007	0.762	0.941
NCU02376	0.692	0.87
NCU00893	0.739	0.914
NCU09904	0.683	0.856
NCU00293	0.694	0.867
NCU07851	0.743	0.915
NCU08002	0.713	0.882
NCU08067	0.761	0.93
NCU09536	0.77	0.939
NCU00954	0.711	0.879
NCU04595	0.701	0.866
NCU03793	0.743	0.906
NCU06744	0.725	0.888
NCU09866	0.723	0.884
NCU00629	0.76	0.917
NCU04594	0.804	0.962
NCU07694	0.663	0.818
NCU00944	0.663	0.817
NCU04196	0.715	0.868
NCU02701	0.716	0.869
NCU00322	0.807	0.958
NCU01965	0.734	0.884
NCU03194	0.8	0.95
NCU08022	0.675	0.825
NCU16690	0.761	0.911
NCU06042	0.744	0.894
NCU04368	0.775	0.924
NCU16993	0.592	0.741
NCU07392	0.813	0.962
NCU09375	0.722	0.87
NCU09331	0.81	0.957
NCU06368	0.719	0.864
NCU00272	0.709	0.855
NCU00223	0.741	0.885
NCU01119	0.708	0.852
NCU05419	0.704	0.847
NCU09783	0.786	0.928
NCU04045	0.658	0.799
NCU04047	0.762	0.902
NCU03777	0.707	0.848
NCU06399	0.754	0.893
NCU03859	0.685	0.824
NCU03369	0.772	0.911
NCU03716	0.741	0.88
NCU05078	0.755	0.893
NCU06300	0.713	0.849
NCU00111	0.609	0.745
NCU02108	0.737	0.872
NCU00867	0.818	0.952
NCU09761	0.678	0.812
NCU06615	0.815	0.948
NCU01427	0.808	0.937
NCU02333	0.699	0.825
NCU08195	0.772	0.897
NCU07817	0.691	0.816
NCU09228	0.767	0.892
NCU16496	0.821	0.944
NCU09714	0.705	0.829
NCU00936	0.804	0.927
NCU02453	0.781	0.904
NCU07576	0.72	0.842
NCU01821	0.818	0.94
NCU05605	0.739	0.86
NCU10381	0.796	0.917
NCU04588	0.758	0.879
NCU01391	0.826	0.945
NCU09013	0.719	0.838
