# Cytoplasmic ribosome orthologs from core fungi of interest
# Core factors only
# Component names from A new system for naming ribosomal proteins Ban et al 2014
# orthologs from PANTHER.db
# YEAST = S. cerevisiae S288C, SCHPO = S. pombe 972h-, NEUCR = N. crassa OR74A
# CRYNJ = C. deneoformans JEC21
# Does not include C. albicans and C. neoformans H99, because (nice) names were not in PANTHER.db.
# E. Wallace ewjwallace@gmail.com, 30 July 2018.
#
SUBUNIT	COMPONENT	SPECIES	GENE_ID	UNIPROT_ID	ENTREZ_ID
L	uL1	YEAST	YGL135W	P0CX44	852742
L	uL1	YEAST	YPL220W	P0CX43	855881
L	uL1	SCHPO	SPCC1183.08c	O74836	2539222
L	uL1	SCHPO	SPBC30D10.18c	O14363	2540378
L	uL1	CRYNJ	CNE03920	Q5KGE3	3258007
L	uL1	NEUCR	NCU00294	Q7RZS0	3873856
L	uL2	YEAST	YIL018W	P0CX46	854794
L	uL2	YEAST	YFR031C-A	P0CX45	850590
L	uL2	SCHPO	SPBC2F12.07c	P0CT71	2540366
L	uL2	SCHPO	SPAC1F7.13c	P0CT70	5802952
L	uL2	SCHPO	SPBC839.04	P0CT72	2541191
L	uL2	CRYNJ	CNL03960	Q5K8Z3	3254806
L	uL2	NEUCR	NCU00413	Q7RVQ9	3873446
L	uL3	YEAST	YOR063W	P14126	854229
L	uL3	SCHPO	SPAC17A5.03	P40372	2542265
L	uL3	SCHPO	SPAPB8E5.06c	P36584	2543309
L	uL3	CRYNJ	CNK02240	Q5K9E3	3254568
L	uL3	NEUCR	NCU06843	P59671	3879466
L	uL4	YEAST	YBR031W	P10664	852319
L	uL4	YEAST	YDR012W	P49626	851575
L	uL4	SCHPO	SPBC1711.06	Q9P784	2539780
L	uL4	SCHPO	SPBP8B7.03c	P35679	2541344
L	uL4	CRYNJ	CNJ01920	Q5KAF2	3254193
L	uL4	NEUCR	NCU03757	Q1K7B7	3877269
L	uL5	YEAST	YPR102C	P0C0W9	856217
L	uL5	YEAST	YGR085C	Q3E757	852976
L	uL5	SCHPO	SPBC17G9.10	P0CT78	2539846
L	uL5	SCHPO	SPAC26A3.07c	P0CT77	2541591
L	uL5	CRYNJ	CNJ03370	Q5KA19	3254138
L	uL5	NEUCR	NCU02509	Q7RVN0	3881790
L	uL6	YEAST	YGL147C	P05738	852730
L	uL6	YEAST	YNL067W	P51401	855658
L	uL6	SCHPO	SPCC613.06	O74905	2539464
L	uL6	SCHPO	SPAC4G9.16c	Q10232	2543380
L	uL6	CRYNJ	CNA00250	Q5KQ70	3253943
L	uL6	NEUCR	NCU02744	Q7SGA6	3881278
L	uL10	YEAST	YLR340W	P05317	851052
L	uL10	SCHPO	SPCC18.14c	O74864	2538893
L	uL10	CRYNJ	CNG00300	Q5KEJ6	3258816
L	uL10	NEUCR	NCU07408	Q96TJ5	3874330
L	uL11	YEAST	YDR418W	P0CX54	852026
L	uL11	YEAST	YEL054C	P0CX53	856656
L	uL11	SCHPO	SPCC16C4.13c	P0CT83	2539186
L	uL11	SCHPO	SPCC31H12.04c	P0CT84	2539010
L	uL11	CRYNJ	CNC06990	Q5KJC9	3256329
L	uL11	NEUCR	NCU01317	Q9C285	3877563
L	uL13	YEAST	YIL133C	P26784	854673
