# dvsaATG_highdiffn_inframe_cc.txt
# Genes with conserved in-frame high-score dATGs
# In both H99 and JEC21:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is in frame with aATG
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# a.skn.xx: annotated ATG score against narrow Kozak consensus sequence, strain xx
# d.skn.xx: 1st downstream ATG score against narrow Kozak consensus sequence, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	a.skn.H99	d.skn.H99	a.skn.JEC21	d.skn.JEC21
CNAG_07473	CNB01880	0.606	0.969	0.625	0.894
CNAG_07776	CNI00670	0.7	0.993	0.71	0.99
CNAG_00165	CNA01530	0.675	0.957	0.675	0.956
CNAG_02545	CNE00210	0.666	0.94	0.682	0.943
CNAG_07801	CNL06190	0.675	0.978	0.685	0.904
CNAG_01544	CNC06400	0.727	0.978	0.723	0.978
CNAG_03953	CNB04410	0.692	0.991	0.741	0.947
CNAG_04179	CNI03160	0.709	0.991	0.725	0.947
CNAG_05722	CNF02520	0.668	0.912	0.675	0.918
CNAG_02431	CNE01260	0.727	0.999	0.731	0.943
CNAG_02880	CNC04930	0.666	0.912	0.682	0.911
CNAG_03996	CNB04810	0.666	0.899	0.625	0.848
CNAG_00517	CNA04990	0.732	0.934	0.702	0.942
CNAG_02259	CNE02870	0.676	0.978	0.695	0.835
CNAG_03396	CNG01890	0.632	0.861	0.642	0.854
CNAG_00086	CNA00760	0.736	0.957	0.742	0.956
CNAG_07873	CNH00360	0.733	0.948	0.749	0.946
CNAG_04219	CNI03610	0.779	0.978	0.771	0.978
CNAG_04604	CNJ00430	0.789	0.99	0.797	0.99
CNAG_00026	CNA00190	0.726	0.957	0.72	0.877
CNAG_05900	CNF00730	0.791	0.978	0.787	0.978
CNAG_06713	CNB00900	0.79	0.984	0.797	0.98
CNAG_02306	CNE02400	0.735	0.927	0.75	0.924
CNAG_00358	CNA03460	0.669	0.887	0.685	0.831
CNAG_03144	CNG04210	0.795	0.976	0.794	0.976
CNAG_00081	CNA00710	0.741	0.883	0.768	0.975
CNAG_04082	CNB05640	0.766	0.916	0.758	0.956
CNAG_03682	CNB01800	0.83	1	0.823	0.999
CNAG_04017	CNB04990	0.809	0.976	0.801	0.976
CNAG_00562	CNA05440	0.794	0.946	0.789	0.978
CNAG_03679	CNB01775	0.823	0.957	0.757	0.956
CNAG_06755	CNB00480	0.671	0.864	0.678	0.81
CNAG_05090	CNL05290	0.762	0.889	0.756	0.944
CNAG_06889	CNK00390	0.803	0.955	0.793	0.953
CNAG_04905	CNJ03280	0.842	0.991	0.835	0.989
CNAG_04009	CNB04910	0.83	0.969	0.823	0.966
CNAG_03578	CNG00290	0.715	0.847	0.724	0.864
CNAG_06051	CNM00610	0.863	1	0.868	0.999
CNAG_00436	CNA04190	0.711	0.844	0.705	0.837
CNAG_07746	CNG00590	0.852	0.978	0.844	0.978
CNAG_02851	CNC04680	0.773	0.899	0.768	0.891
CNAG_06946	CND03800	0.825	0.948	0.822	0.946
CNAG_05226	CNL04030	0.792	0.916	0.786	0.905
CNAG_00960	CND00900	0.715	0.834	0.712	0.835
