pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C121R	Cysteine-tRNA ligase	4751	72359	Trachipleistophora hominis	72359:000033	L7JRI0	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:000217	Q5KMQ2	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000686	C5P4Y1	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	227321	Aspergillus nidulans FGSC A4	227321:001ec6	C8V9N8	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	229533	Fusarium graminearum PH-1	229533:0017d2	I1RPJ2	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0006af	J9VI65	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	237561	Candida albicans SC5314	237561:000686	Q5AL46	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	237631	Ustilago maydis 521	237631:000197	Q4PBA0	
EOG092C121R	Cysteine-tRNA ligase	4751	240176	Coprinopsis cinerea okayama7#130	240176:0006c9	D6RL79	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	240176	Coprinopsis cinerea okayama7#130	240176:000302	A8N799	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	242507	Magnaporthe oryzae 70-15	242507:000671	G4N2P1	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	246409	Rhizopus delemar RA 99-880	246409:00030c	I1BXL3	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	246410	Coccidioides immitis RS	246410:0001a3	J3K9A8	
EOG092C121R	Cysteine-tRNA ligase	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:0005d4	F5HBU7	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:00062f	Q6CUQ7	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	284591	Yarrowia lipolytica CLIB122	284591:000614	Q6C909	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C121R	Cysteine-tRNA ligase	4751	284592	Debaryomyces hansenii CBS767	284592:0006c4	Q6BPD5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
