# scores_kozak_JEC21.txt
# Scores of ATG context against Kozak sequence, C. neoformans serotype D JEC21
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: JEC21 systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG agains narrow
# u1.scorekn: score of 1st upstream ATG in 5' UTR against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d2.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	d2.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
CNA00010	0.725	0.756	0.899	0.966	0.744	0.711	0.875	0.93	0.031	0.241	-0.033	0.185
CNA00020	0.805	0.932	0.727	0.862	0.786	0.897	0.739	0.804	0.127	0.058	0.111	0.018
CNA00030	0.872	0.683	0.823	0.805	0.885	0.648	0.775	0.751	-0.188	-0.067	-0.237	-0.134
CNA00040	0.895	0.795	0.837	NA	0.858	0.794	0.801	NA	-0.099	NA	-0.065	NA
CNA00050	0.964	0.741	0.839	NA	0.866	0.722	0.815	NA	-0.222	NA	-0.144	NA
CNA00060	1	0.884	0.698	NA	0.943	0.872	0.678	NA	-0.116	NA	-0.071	NA
CNA00070	0.977	0.803	0.763	NA	0.919	0.743	0.663	NA	-0.174	NA	-0.176	NA
CNA00075	0.781	0.964	0.758	0.733	0.769	0.885	0.759	0.722	0.183	-0.049	0.116	-0.047
CNA00080	0.94	0.92	0.803	NA	0.929	0.902	0.777	NA	-0.02	NA	-0.027	NA
CNA00090	0.851	0.816	0.781	NA	0.862	0.706	0.708	NA	-0.035	NA	-0.156	NA
CNA00100	0.725	0.794	0.75	0.851	0.686	0.723	0.712	0.868	0.069	0.127	0.037	0.182
CNA00110	0.941	0.762	0.862	NA	0.89	0.698	0.782	NA	-0.179	NA	-0.191	NA
CNA00120	0.964	0.85	0.763	NA	0.941	0.78	0.716	NA	-0.113	NA	-0.161	NA
CNA00130	0.862	0.673	0.94	NA	0.854	0.599	0.87	NA	-0.19	NA	-0.255	NA
CNA00140	0.803	0.812	0.758	NA	0.796	0.747	0.655	NA	0.009	NA	-0.049	NA
CNA00150	0.888	0.872	0.709	NA	0.842	0.836	0.731	NA	-0.016	NA	-0.006	NA
CNA00160	0.759	0.795	0.989	0.92	0.753	0.752	0.968	0.902	0.036	0.161	-0.001	0.149
CNA00170	0.92	0.87	0.862	NA	0.879	0.831	0.836	NA	-0.05	NA	-0.047	NA
CNA00180	0.941	0.839	0.701	NA	0.925	0.825	0.712	NA	-0.101	NA	-0.1	NA
CNA00190	0.753	0.92	0.785	NA	0.71	0.859	0.714	NA	0.167	NA	0.149	NA
CNA00200	0.845	0.795	0.966	0.802	0.845	0.792	0.873	0.77	-0.049	-0.043	-0.052	-0.074
CNA00210	1	0.906	0.81	0.787	0.941	0.816	0.752	0.744	-0.094	-0.213	-0.125	-0.197
CNA00220	0.975	0.884	0.823	NA	0.953	0.835	0.743	NA	-0.09	NA	-0.117	NA
CNA00225	0.895	0.805	0.872	NA	0.874	0.728	0.795	NA	-0.09	NA	-0.145	NA
CNA00230	0.819	0.743	0.885	NA	0.803	0.754	0.848	NA	-0.075	NA	-0.05	NA
CNA00240	0.863	0.784	0.911	0.851	0.801	0.804	0.82	0.779	-0.079	-0.011	0.003	-0.022
CNA00250	1	0.839	0.899	NA	0.957	0.823	0.809	NA	-0.161	NA	-0.134	NA
CNA00260	0.83	0.859	0.885	0.758	0.815	0.801	0.83	0.74	0.029	-0.072	-0.015	-0.075
CNA00270	0.857	0.727	0.706	NA	0.725	0.713	0.717	NA	-0.13	NA	-0.011	NA
CNA00280	0.94	0.888	0.727	0.736	0.924	0.857	0.72	0.714	-0.052	-0.205	-0.067	-0.21
CNA00290	0.757	0.94	0.745	0.862	0.767	0.867	0.717	0.864	0.183	0.106	0.099	0.097
CNA00300	0.863	0.846	0.761	NA	0.834	0.788	0.745	NA	-0.017	NA	-0.046	NA
CNA00310	0.886	0.681	0.776	0.816	0.835	0.702	0.756	0.816	-0.204	-0.07	-0.133	-0.019
CNA00320	0.915	0.94	0.706	0.86	0.87	0.807	0.651	0.845	0.025	-0.055	-0.063	-0.025
CNA00330	0.837	0.787	0.888	NA	0.832	0.79	0.854	NA	-0.05	NA	-0.042	NA
CNA00340	0.952	0.895	0.76	0.79	0.911	0.844	0.714	0.748	-0.056	-0.161	-0.066	-0.162
CNA00350	0.975	0.809	0.87	NA	0.934	0.775	0.793	NA	-0.166	NA	-0.159	NA
CNA00360	0.895	0.876	0.839	0.911	0.838	0.846	0.788	0.804	-0.019	0.016	0.008	-0.034
CNA00370	0.911	0.74	0.742	0.837	0.909	0.669	0.692	0.846	-0.171	-0.074	-0.24	-0.063
CNA00380	0.966	0.707	0.794	0.75	0.921	0.68	0.789	0.684	-0.259	-0.216	-0.241	-0.236
CNA00390	1	0.763	0.725	NA	0.92	0.797	0.711	NA	-0.237	NA	-0.123	NA
CNA00400	0.863	0.782	0.759	0.888	0.8	0.728	0.701	0.802	-0.081	0.025	-0.072	0.002
CNA00410	0.94	0.655	0.784	0.718	0.881	0.656	0.684	0.68	-0.285	-0.222	-0.225	-0.201
CNA00420	0.873	1	0.761	0.776	0.815	0.918	0.705	0.728	0.127	-0.097	0.103	-0.088
CNA00430	0.989	0.799	0.932	0.828	0.96	0.797	0.873	0.806	-0.19	-0.161	-0.162	-0.154
CNA00450	0.914	0.863	0.941	NA	0.864	0.806	0.861	NA	-0.051	NA	-0.058	NA
CNA00460	0.917	0.828	0.845	NA	0.843	0.826	0.793	NA	-0.089	NA	-0.017	NA
CNA00470	0.892	0.915	0.906	NA	0.892	0.886	0.841	NA	0.023	NA	-0.006	NA
CNA00480	0.814	0.724	0.86	NA	0.792	0.67	0.814	NA	-0.09	NA	-0.122	NA
CNA00485	0.886	0.86	0.808	0.827	0.885	0.834	0.8	0.769	-0.026	-0.059	-0.051	-0.116
CNA00490	0.964	0.811	0.828	NA	0.896	0.787	0.796	NA	-0.153	NA	-0.109	NA
CNA00510	0.977	0.793	0.776	NA	0.967	0.759	0.775	NA	-0.184	NA	-0.207	NA
CNA00520	0.897	0.812	0.707	NA	0.864	0.788	0.736	NA	-0.085	NA	-0.076	NA
CNA00530	0.886	0.854	0.781	0.859	0.836	0.78	0.783	0.833	-0.032	-0.027	-0.056	-0.003
CNA00540	0.839	0.863	0.792	NA	0.75	0.84	0.732	NA	0.023	NA	0.09	NA
CNA00550	0.787	0.819	0.71	0.828	0.742	0.737	0.685	0.816	0.032	0.041	-0.004	0.074
CNA00560	0.966	0.819	0.785	NA	0.949	0.741	0.72	NA	-0.147	NA	-0.208	NA
CNA00570	0.86	0.92	0.732	0.723	0.873	0.855	0.705	0.725	0.06	-0.137	-0.018	-0.147
CNA00580	0.964	0.782	NA	0.727	0.893	0.733	NA	0.757	-0.182	-0.237	-0.16	-0.136
CNA00590	1	0.761	0.74	NA	0.897	0.68	0.744	NA	-0.239	NA	-0.217	NA
CNA00600	0.941	0.847	0.733	NA	0.94	0.695	0.638	NA	-0.094	NA	-0.245	NA
CNA00610	0.794	0.839	0.851	0.715	0.775	0.851	0.808	0.676	0.046	-0.079	0.076	-0.099
CNA00620	0.977	0.964	0.71	0.87	0.94	0.871	0.704	0.868	-0.013	-0.107	-0.069	-0.072
CNA00630	0.975	0.915	0.763	0.873	0.948	0.86	0.73	0.877	-0.06	-0.101	-0.087	-0.071
CNA00640	0.942	0.759	0.975	NA	0.868	0.707	0.928	NA	-0.183	NA	-0.161	NA
CNA00650	0.707	0.899	0.847	0.815	0.725	0.882	0.831	0.772	0.192	0.108	0.156	0.046
CNA00660	0.874	0.828	0.874	NA	0.837	0.828	0.807	NA	-0.045	NA	-0.009	NA
CNA00670	0.813	0.859	0.827	0.904	0.735	0.84	0.8	0.891	0.047	0.091	0.105	0.156
CNA00680	0.94	0.862	0.793	0.758	0.84	0.761	0.721	0.785	-0.078	-0.182	-0.079	-0.056
CNA00690	0.966	0.966	0.899	0.742	0.921	0.941	0.836	0.68	0	-0.224	0.019	-0.242
CNA00700	0.733	0.698	0.83	NA	0.764	0.661	0.805	NA	-0.035	NA	-0.103	NA
CNA00710	0.759	0.975	0.803	0.897	0.766	0.93	0.693	0.901	0.215	0.138	0.164	0.136
CNA00720	0.814	0.718	0.81	NA	0.811	0.735	0.713	NA	-0.096	NA	-0.076	NA
CNA00730	0.777	0.906	0.73	NA	0.811	0.829	0.744	NA	0.129	NA	0.017	NA
CNA00740	1	0.872	0.707	NA	0.959	0.862	0.628	NA	-0.128	NA	-0.097	NA
CNA00750	0.897	0.839	0.854	NA	0.866	0.752	0.727	NA	-0.058	NA	-0.114	NA
CNA00760	0.733	1	0.899	0.897	0.744	0.935	0.87	0.884	0.267	0.164	0.191	0.139
