Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
SPAC212.03 Ntermext	0.000	No mitochondrial presequence	24(MPP)	-0.083	68-72	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC13G6.02c Ntermext	0.561	Possessing mitochondrial presequence	23(MPP)	0.261		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.12c Ntermext	0.039	No mitochondrial presequence	14(MPP)	0.071	11-15,21-25	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.13c Ntermext	0.010	No mitochondrial presequence	23(MPP)	0.043		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.20 Ntermext	0.167	No mitochondrial presequence	10(MPP)	0.300	15-19	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.15c Ntermext	0.000	No mitochondrial presequence	32(MPP)	0.031		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.14 Ntermext	0.000	No mitochondrial presequence	7(MPP)	0.143		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
SPAC1002.16c Ntermext	0.122	No mitochondrial presequence	11(MPP), 12(Icp55)	0.182	14-18	13-22-high	-	-	-	-	-	-	-	-	-	-	22-27	-	-	-	
SPAC1002.17c Ntermext	0.003	No mitochondrial presequence	54(MPP), 55(Icp55)	0.000	51-55,84-88	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	8-13	
SPAC1002.18 Ntermext	0.006	No mitochondrial presequence	35(MPP)	0.029	8-12,24-28,37-41	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
