pub_og_id	organism_taxid	org	int_prot_id	pub_gene_id
EOG092C00Q9	214684	Cneo	214684:000df5	Q5KM99
EOG092C00Q9	214684	Cneo	214684:0004ab	Q5KBW9
EOG092C00Q9	237561	Calb	237561:000897	Q5A5S2
EOG092C00Q9	237561	Calb	237561:0003c3	Q5A5R9
EOG092C00Q9	237561	Calb	237561:0003b4	Q5ANJ7
EOG092C00Q9	284812	Spom	284812:0009d4	rpl1902
EOG092C00Q9	284812	Spom	284812:0009d3	rpl1901
EOG092C00Q9	284812	Spom	284812:0003e4	gcn1
EOG092C00Q9	367110	Ncra	367110:00094b	Q7S5P0
EOG092C00Q9	367110	Ncra	367110:000760	Q7S5N9
EOG092C00Q9	559292	Scer	559292:000d5c	RPL19B
EOG092C00Q9	559292	Scer	559292:000d5b	RPL19A
EOG092C00Q9	559292	Scer	559292:000595	GCN1
EOG092C59CG	214684	Cneo	214684:000896	Q5KDJ7
EOG092C59CG	237561	Calb	237561:001080	RPS8A
EOG092C59CG	284812	Spom	284812:000ace	rps802
EOG092C59CG	284812	Spom	284812:000acd	rps801
EOG092C59CG	367110	Ncra	367110:00048e	V5IPM8
EOG092C59CG	559292	Scer	559292:000e84	RPS8B
EOG092C59CG	559292	Scer	559292:000e83	RPS8A
EOG092C5AG7	214684	Cneo	214684:000dd5	Q5K959
EOG092C5AG7	214684	Cneo	214684:000c27	Q5KJU6
EOG092C5AG7	237561	Calb	237561:001f18	MRPL38
EOG092C5AG7	237561	Calb	237561:000416	RPL23A
EOG092C5AG7	284812	Spom	284812:000a36	mrpl38
EOG092C5AG7	284812	Spom	284812:0009dd	O42867
EOG092C5AG7	367110	Ncra	367110:0025c4	Q7SHJ9
EOG092C5AG7	367110	Ncra	367110:001a3e	Q7SBJ8
EOG092C5AG7	559292	Scer	559292:000dbf	MRPL38
EOG092C5AG7	559292	Scer	559292:000d67	RPL23B
EOG092C5AG7	559292	Scer	559292:000d66	RPL23A
EOG092C5E5Z	214684	Cneo	214684:001293	Q5K7J3
EOG092C5E5Z	284812	Spom	284812:0009ee	rpl3201
EOG092C5E5Z	284812	Spom	284812:0009ed	rpl3202
EOG092C5E5Z	367110	Ncra	367110:000275	crp-63
EOG092C5E5Z	559292	Scer	559292:000d76	RPL32
EOG092C37AK	214684	Cneo	214684:0016f0	Q5KAF2
EOG092C37AK	237561	Calb	237561:001ae6	Q59ZX4
EOG092C37AK	284812	Spom	284812:000a04	rpl401
EOG092C37AK	284812	Spom	284812:000a03	rpl402
EOG092C37AK	367110	Ncra	367110:0008a7	Q1K7B7
EOG092C37AK	559292	Scer	559292:000d8d	RPL4B
EOG092C37AK	559292	Scer	559292:000d8c	RPL4A
EOG092C58OI	214684	Cneo	214684:000398	Q5KNH2
EOG092C58OI	284812	Spom	284812:000aa4	P79013
EOG092C58OI	367110	Ncra	367110:000c90	Q7SFZ2
EOG092C58OI	559292	Scer	559292:000e54	RPS11B
EOG092C58OI	559292	Scer	559292:000e53	RPS11A
EOG092C4QCP	214684	Cneo	214684:00089a	Q5KIJ1
EOG092C4QCP	237561	Calb	237561:001119	RPS6A
EOG092C4QCP	284812	Spom	284812:000acb	rps602
EOG092C4QCP	284812	Spom	284812:000aca	rps601
EOG092C4QCP	367110	Ncra	367110:002593	V5INQ2
EOG092C4QCP	367110	Ncra	367110:000395	V5IQ82
EOG092C4QCP	559292	Scer	559292:000e80	RPS6A
