# hiTE_cc.txt
# Genes with high translation efficiency
# In both H99 and JEC21:
#   - in top 50% by RNA abundance
#   - TE > 2 in both H99 and JEC21
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_01130	CND02530	47.695	300.79	6.307	32.71	297.829	9.105
CNAG_01890	CNK02310	247.838	1446.888	5.838	280.322	1904.609	6.794
CNAG_06150	CNM01520	606.684	3356.513	5.533	539.938	2931.66	5.43
CNAG_02994	CNC06020	68.648	261.826	3.814	31.327	218.643	6.979
CNAG_01750	CNC02520	256.688	1309.244	5.101	312.21	1658.925	5.313
CNAG_04327	CNI02220	44.725	202.105	4.519	34.816	196.957	5.657
CNAG_01727	CNC02320	736.542	3577.75	4.857	709.539	3754.656	5.292
CNAG_01744	CNC02470	103.73	315.557	3.042	33.715	237.575	7.047
CNAG_01117	CND02420	436.622	2099.997	4.81	441.304	2279.468	5.165
CNAG_05907	CNF00650	94.505	297.673	3.15	66.493	450.57	6.776
CNAG_04640	CNJ00800	216.739	823.307	3.799	159.437	970.757	6.089
CNAG_07373	CNA06000	65.788	301.837	4.588	78.192	354.541	4.534
CNAG_06840	CND06220	1197.307	2882.696	2.408	462.587	2900.338	6.27
CNAG_00136	CNA01230	46.443	196.83	4.238	45.576	199.895	4.386
CNAG_05884	CNF00890	79.844	294.88	3.693	73.195	360.821	4.93
CNAG_06208	CNM02070	251.182	977.025	3.89	231.871	987.915	4.261
CNAG_00992	CND01200	253.936	890.596	3.507	263.066	1170.429	4.449
CNAG_04659	CNJ00950	25.804	55.702	2.159	26.387	152.465	5.778
CNAG_06475	CNN01950	101.522	472.301	4.652	152.49	489.672	3.211
CNAG_07473	CNB01880	55.471	168.594	3.039	48.925	233.151	4.766
CNAG_06123	CNM01290	72.369	186.827	2.582	45.976	238.671	5.191
CNAG_03072	CNC00160	615.369	1847.048	3.002	596.731	2781.05	4.66
CNAG_01137	CND02620	120.7	505.892	4.191	311.555	1060.637	3.404
CNAG_03674	CNB01730	74.715	167.876	2.247	53.747	286.871	5.337
CNAG_03742	CNB02380	36.09	120.949	3.351	32.791	138.458	4.222
CNAG_07445	CND00940	486.59	1141.535	2.346	251.027	1304.357	5.196
CNAG_07746	CNG00590	75.878	226.769	2.989	78.302	345.341	4.41
CNAG_00418	CNA04060	292.421	853.255	2.918	352.518	1568.484	4.449
CNAG_04604	CNJ00430	73.813	182.218	2.469	34.086	166.571	4.887
CNAG_06830	CND06120	47.206	147.376	3.122	37.421	155.727	4.162
CNAG_03418	CNG01660	42.043	115.468	2.746	26.565	119.653	4.504
CNAG_02585	CNK00760	77.367	206.529	2.669	36.797	166.26	4.518
CNAG_00772	CNA07500	60.379	229.383	3.799	79.601	268.676	3.375
