Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
YAL069W Protein	0.005	No mitochondrial presequence	27(MPP)	0.000	88-92	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL068W-A Protein	0.000	No mitochondrial presequence	17(MPP)	0.000	48-52	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL068C Protein	0.000	No mitochondrial presequence	91(MPP)	-0.055	88-92	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL067W-A Protein	0.087	No mitochondrial presequence	9(MPP)	0.111	6-10,57-61,66-70	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL067C Protein	0.013	No mitochondrial presequence	26(MPP)	0.154	95-99	5-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL066W Protein	0.671	Possessing mitochondrial presequence	36(MPP)	0.139	39-43	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	8-13	
YAL065C Protein	0.000	No mitochondrial presequence	37(MPP)	-0.027		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL064W-B Protein	0.000	No mitochondrial presequence	8(MPP)	-0.250		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL064C-A Protein	0.000	No mitochondrial presequence	17(MPP)	0.059		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL064W Protein	0.000	No mitochondrial presequence	62(MPP)	0.065		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL063C-A Protein	0.085	No mitochondrial presequence	30(MPP)	0.100	12-16,21-25,64-68	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL063C Protein	0.000	No mitochondrial presequence	50(MPP)	0.040	3-7	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL062W Protein	0.000	No mitochondrial presequence	65(MPP)	-0.077	30-34,88-92	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL061W Protein	0.000	No mitochondrial presequence	14(MPP)	0.214		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL060W Protein	0.004	No mitochondrial presequence	21(MPP)	0.095		13-22-high	-	-	-	-	-	-	-	-	-	-	4-9	-	-	-	
