# dvsaATG_highdiffn_outframe_Sp.txt
# Genes with in-frame high-score dATGs
# In S. pombe 972h-:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn
SPBC13G1.01c	0.722	0.991
SPAC222.04c	0.732	1
SPBC1289.10c	0.695	0.959
SPAC11E3.01c	0.738	0.991
SPCC31H12.08c	0.721	0.968
SPAC1071.01c	0.746	0.991
SPBC28F2.10c	0.758	1
SPCC663.10	0.75	0.991
SPCC1739.14	0.714	0.948
SPBC543.09	0.767	1
SPAC4A8.05c	0.764	0.991
SPBC3F6.04c	0.769	0.991
SPAC9G1.02	0.714	0.935
SPBC27B12.11c	0.688	0.907
SPCC965.05c	0.688	0.907
SPBC16A3.14	0.701	0.917
SPCC10H11.01	0.724	0.938
SPBC24C6.13	0.778	0.991
SPBC530.04	0.708	0.92
SPBC1773.01	0.75	0.96
SPCP31B10.03c	0.79	1
SPBC1347.05c	0.747	0.951
SPAC22F3.06c	0.748	0.952
SPBC12C2.10c	0.758	0.96
SPBC1703.01c	0.789	0.991
SPCC63.11	0.715	0.917
SPAC806.02c	0.769	0.968
SPCC188.08c	0.732	0.931
SPBC6B1.02	0.762	0.957
SPBC409.03	0.695	0.89
SPAC10F6.09c	0.777	0.966
SPBC25H2.16c	0.812	1
SPAC1142.08	0.805	0.991
SPBC1677.03c	0.724	0.908
SPAC1A6.05c	0.807	0.991
SPAC6F12.11c	0.718	0.901
SPBC29A10.10c	0.752	0.935
SPAPB2B4.03	0.778	0.96
SPBC19F5.03	0.78	0.96
SPBC146.13c	0.711	0.887
SPBC19G7.09	0.724	0.896
SPCC191.08	0.764	0.935
SPBC582.03	0.787	0.957
SPBC2F12.05c	0.781	0.951
SPBC947.07	0.821	0.991
SPAPB1A10.10c	0.79	0.959
SPBC12C2.04	0.79	0.957
SPAC13G7.08c	0.695	0.86
SPAC1B1.01	0.721	0.887
SPAPB1A10.12c	0.795	0.96
SPBC1539.01c	0.743	0.908
SPBC119.11c	0.745	0.908
SPAC17G8.08c	0.789	0.952
SPBC1604.12	0.773	0.935
SPAC1805.04	0.828	0.991
SPCC550.01c	0.789	0.951
SPBC29A10.12	0.829	0.991
SPAC20H4.02	0.829	0.991
SPBC354.14c	0.791	0.951
SPBC3E7.10	0.771	0.931
SPAC1071.03c	0.79	0.948
SPCC1682.15	0.778	0.935
SPAC57A10.02	0.671	0.828
SPAC22F8.12c	0.764	0.92
SPBC1703.02	0.78	0.935
SPAC25B8.11	0.803	0.957
SPAC30.04c	0.734	0.888
SPAC6F6.12	0.765	0.918
SPCC1919.13c	0.778	0.931
SPBC21D10.05c	0.769	0.92
SPAC23H4.15	0.839	0.991
SPCC297.03	0.779	0.931
SPBC651.03c	0.842	0.991
SPAC10F6.17c	0.789	0.938
SPAC16.04	0.812	0.96
SPCC736.07c	0.747	0.895
SPAC750.01	0.747	0.895
SPCC338.07c	0.804	0.952
SPAC17C9.13c	0.771	0.918
SPAC29E6.03c	0.772	0.918
SPCC645.05c	0.806	0.951
SPAC20H4.01	0.79	0.935
SPAC15A10.11	0.732	0.875
SPAC823.11	0.848	0.991
SPBC16G5.11c	0.774	0.914
SPCC1450.11c	0.755	0.895
SPBC9B6.09c	0.74	0.879
SPAC17D4.01	0.748	0.888
SPCC576.05	0.707	0.846
SPCC16A11.12c	0.851	0.991
SPAC823.05c	0.771	0.908
SPBC119.12	0.798	0.935
SPAC21E11.06	0.731	0.867
SPCC330.11	0.824	0.96
SPAP14E8.02	0.864	1
SPBC26H8.06	0.865	1
SPCC1020.08	0.816	0.951
SPACUNK4.16c	0.792	0.927
SPAC630.10	0.74	0.875
SPCP31B10.02	0.711	0.845
SPCC1672.06c	0.867	1
SPBC13E7.08c	0.764	0.895
SPBC1703.15c	0.772	0.903
SPBC4B4.12c	0.701	0.831
SPBC530.15c	0.778	0.908
SPBC887.03c	0.86	0.991
SPBC6B1.10	0.738	0.867
SPCC1739.01	0.839	0.968
SPBC582.08	0.75	0.879
SPBP8B7.21	0.758	0.886
SPCC736.08	0.803	0.931
SPCC74.02c	0.803	0.93
SPBC725.14	0.74	0.867
SPBC359.05	0.821	0.948
SPBC887.05c	0.769	0.895
SPBC1604.02c	0.762	0.888
SPBP23A10.15c	0.866	0.991
SPBC29A10.11c	0.75	0.875
SPAC19B12.05c	0.771	0.895
SPCC126.11c	0.746	0.87
SPAC2E12.02	0.764	0.887
SPBC12C2.01c	0.795	0.918
SPBC1347.02	0.828	0.951
SPAC17A2.14	0.878	1
SPAC1D4.14	0.715	0.837
SPBC646.11	0.839	0.96
SPAC24C9.02c	0.758	0.879
