i	Pos	All	HiTrans	CytoRibo
1	-12	0.054	0.159	0.178
2	-11	0.073	0.254	0.216
3	-10	0.061	0.239	0.31
4	-9	0.054	0.116	0.12
5	-8	0.083	0.257	0.18
6	-7	0.056	0.166	0.193
7	-6	0.019	0.025	0.063
8	-5	0.083	0.162	0.194
9	-4	0.227	0.51	0.615
10	-3	0.489	1.26	1.594
11	-2	0.158	0.495	1.027
12	-1	0.157	0.574	0.773
13	1	1.997	1.951	1.834
14	2	1.997	1.951	1.834
15	3	1.997	1.951	1.834
16	4	0.024	0.168	0.414
17	5	0.376	0.479	0.405
18	6	0.094	0.49	0.383
19	7	0.007	0.039	0.064
20	8	0.092	0.114	0.075
21	9	0.105	0.296	0.223
22	10	0.027	0.019	0.011
23	11	0.099	0.087	0.05
24	12	0.057	0.126	0.179
