pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	72359	Trachipleistophora hominis	72359:0003c6	L7JW94	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:001858	Q5KFZ4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000f9d	C5P9F2	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000949	C5P4P6	SH3 domain
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	227321	Aspergillus nidulans FGSC A4	227321:001f74	C8V7E4	Glutamyl/glutaminyl-tRNA synthetase, class Ib, alpha-bundle domain
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	227321	Aspergillus nidulans FGSC A4	227321:000426	Q5AU20	SH3 domain
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	229533	Fusarium graminearum PH-1	229533:002e7c	I1S8F1	Cohesin loading factor
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	229533	Fusarium graminearum PH-1	229533:001237	I1S8F2	SH3 domain
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	229533	Fusarium graminearum PH-1	229533:000141	I1SAD8	
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0009b9	J9VUK0	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	237561	Candida albicans SC5314	237561:001874	Q5AFL1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	237631	Ustilago maydis 521	237631:00147c	Q4P531	
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	240176	Coprinopsis cinerea okayama7#130	240176:001b74	A8NEG0	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	240176	Coprinopsis cinerea okayama7#130	240176:0017df	A8PFX0	
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	242507	Magnaporthe oryzae 70-15	242507:000e57	G4NH16	SH3 domain
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	242507	Magnaporthe oryzae 70-15	242507:000aac	G4N4B9	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	246409	Rhizopus delemar RA 99-880	246409:002efa	I1BTT8	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	246409	Rhizopus delemar RA 99-880	246409:001376	I1C819	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	246410	Coccidioides immitis RS	246410:00233e	J3KCF6	Similarity:Contains 1 F-box domain.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	246410	Coccidioides immitis RS	246410:00106e	J3K913	Exocyst complex component EXOC2/Sec5
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:00120d	Q55Q72	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:000e9f	Q6CYG1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase	4751	284591	Yarrowia lipolytica CLIB122	284591:00155a	Q6C4A4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
