# Intron retention-dependent gene regulation in Cryptococcus neoformans
# Sara Gonzalez-Hilarion, et al., Scientific Reports volume 6, Article number: 32252 (2016)
# Table S4. List of orthologues between the two varieties of C. neoformans.	
# 
# var. grubii	var. neoformans
H99	JEC21
CNAG_01397	CND05080
CNAG_07825	CNH03545
CNAG_05539	CNH01890
CNAG_03635	CNB01365
CNAG_06621	CNF03970
CNAG_00830	CNA08090
CNAG_07556	CNK01100
CNAG_06796	CNB00060
CNAG_06009	CNM00180
CNAG_03522	CNG00710
CNAG_00445	CNA04270
CNAG_06557	CNF04600
CNAG_07440	CND02590
CNAG_01907	CNK02500
CNAG_03578	CNG00290
CNAG_04724	CNJ01540
CNAG_05176	CNL04500
CNAG_01965	CNK03030
CNAG_04368	CNI01810
CNAG_05793	CNF01850
CNAG_02064	CNE04710
CNAG_06825	CND06070
CNAG_03226	CNG03480
CNAG_02166	CNE03720
CNAG_02578	CNK00690
CNAG_02054	CNE04800
CNAG_03525	CNG00690
CNAG_01718	CNC02220
CNAG_05105	CNL05160
CNAG_07322	CNA01910
CNAG_05527	CNH01780
CNAG_00716	CNA06950
CNAG_07926	CNN00080
CNAG_01334	CND04500
CNAG_03300	CNG02770
CNAG_01592	CNC01050
CNAG_04456	CNI01010
CNAG_03503	CNG00900
CNAG_02174	CNE03630
CNAG_06493	CNN02180
CNAG_05838	CNF01350
CNAG_03482	CNG01100
CNAG_00825	CNA08040
CNAG_06405	CNN01310
CNAG_06178	CNM01790
CNAG_01146	CND02710
CNAG_03872	CNB03620
CNAG_05299	CNH03320
CNAG_02951	CNC05600
CNAG_03432	CNG01540
CNAG_01309	CND04290
CNAG_02287	CNE02580
CNAG_07978	CND06370
CNAG_03332	CNG02470
CNAG_01186	CND03110
CNAG_03465	CNG01240
CNAG_00337	CNA03180
CNAG_02784	CNC04020
CNAG_01739	CNC02430
CNAG_05089	CNL05300
CNAG_00973	CND01020
CNAG_03135	CNG04290
CNAG_04246	CNM00200
CNAG_04657	CNJ00930
CNAG_03989	CNB04760
CNAG_02960	CNC05710
CNAG_01235	CND03540
CNAG_04090	CNB05690
CNAG_07667	CNF02940
CNAG_06827	CND06090
CNAG_03364	CNG02173
CNAG_01598	CNC01110
CNAG_00127	CNM00490
CNAG_02386	CNE01645
CNAG_00648	CNA06280
CNAG_06671	CNF03480
CNAG_05313	CNH03200
CNAG_07498	CNC00043
CNAG_04062	CNB05450
CNAG_03732	CNB02300
CNAG_00607	CNA05900
CNAG_00345	CNA03580
CNAG_01335	CND04510
CNAG_03419	CNG01650
CNAG_01125	CND02480
CNAG_06253	CNM02540
CNAG_00059	CNA00485
CNAG_03777	CNB02720
CNAG_02941	CNC05510
CNAG_01216	CND03390
CNAG_06900	CNK00280
CNAG_02263	CNE02830
CNAG_00016	CNA00090
CNAG_07749	CNG00270
CNAG_06362	CNN00890
CNAG_00330	CNA03120
CNAG_06728	CNB00740
CNAG_07848	CNJ02080
CNAG_03331	CNG02480
CNAG_01129	CND02520
CNAG_02536	CNE00290
CNAG_03679	CNB01775
CNAG_05224	CNL04050
CNAG_00502	CNA04850
CNAG_06585	CNF04330
CNAG_04693	CNJ01240
CNAG_04688	CNJ01190
CNAG_01649	CNC01620
CNAG_03531	CNG00640
CNAG_02229	CNE03110
CNAG_03261	CNG03150
CNAG_03393	CNG01920
CNAG_03711	CNB02080
CNAG_03316	CNG02620
CNAG_02480	CNE00810
CNAG_02786	CNC04040
CNAG_03034	CNC00500
CNAG_04273	CNI04120
CNAG_01252	CND03690
CNAG_05099	CNL05220
CNAG_01938	CNK02740
CNAG_05061	CNL05580
CNAG_04283	CNI02660
CNAG_06620	CNF03990
CNAG_01912	CNK02550
CNAG_00192	CNA01810
CNAG_05872	CNF01000
CNAG_04666	CNJ01000
CNAG_04741	CNJ01720
CNAG_05936	CNF00390
CNAG_07463	CNB00660
CNAG_00313	CNA02960
CNAG_01852	CNC03360
CNAG_00576	CNA05610
CNAG_03338	CNG02410
CNAG_05740	CNF02370
CNAG_05988	CNA02120
CNAG_02489	CNE00710
CNAG_02477	CNE00830
CNAG_04044	CNB05270
CNAG_04232	CNI03730
CNAG_00906	CND00460
CNAG_06659	CNF03620
CNAG_05000	CNL06150
CNAG_06389	CNN01165
CNAG_05748	CNF02300
CNAG_02911	CNC05210
CNAG_03553	CNG00490
CNAG_01551	CNC06330
CNAG_00173	CNA01610
CNAG_05795	CNF01830
CNAG_04526	CNI00290
CNAG_01561	CNC06240
CNAG_01627	CNC01400
CNAG_07839	CNJ03370
CNAG_04439	CNI01180
CNAG_00403	CNA03910
CNAG_05747	CNF02310
CNAG_01177	CND03025
CNAG_04141	CNI02790
CNAG_02726	CNC03540
CNAG_00528	CNA05100
CNAG_06616	CNF04030
CNAG_03893	CNB03810
CNAG_07770	CNI01220
CNAG_07507	CNC05800
CNAG_00543	CNA05270
CNAG_01730	CNC02350
CNAG_05515	CNH01670
CNAG_04486	CNI00705
CNAG_00006	CNA00070
CNAG_03366	CNG02160
CNAG_03980	CNB04685
CNAG_03110	CNG04530
CNAG_01953	CNK02920
CNAG_04567	CNJ00070
CNAG_01604	CNC01170
CNAG_04272	CNI04110
CNAG_03751	CNB02460
CNAG_06839	CND06200
CNAG_03276	CNG03015
CNAG_05340	CNH00070
CNAG_01740	CNC02440
CNAG_03286	CNG02890
CNAG_07688	CNF00270
CNAG_04328	CNI02210
CNAG_05154	CNL04690
CNAG_03849	CNB03390
CNAG_06595	CNF04230
CNAG_05813	CNF01660
CNAG_05302	CNH03290
CNAG_06416	CNN01410
CNAG_00990	CND01180
CNAG_05993	CNM00010
CNAG_02204	CNE03360
CNAG_01024	CND01540
CNAG_07952	CNA04695
CNAG_02775	CNC03950
CNAG_00562	CNA05440
CNAG_05011	CNL06050
CNAG_06358	CNN00845
CNAG_03406	CNG01770
CNAG_03693	CNB01910
CNAG_01908	CNK02510
CNAG_01856	CNC03400
CNAG_01274	CND03940
CNAG_02967	CNC05770
CNAG_06770	CNB00300
CNAG_02328	CNE02190
CNAG_04226	CNI03670
CNAG_02268	CNE02760
CNAG_06747	CNB00550
CNAG_00999	CND01270
CNAG_05351	CNH00170
CNAG_02361	CNE01880
CNAG_03809	CNB03005
CNAG_05616	CNH02570
CNAG_01364	CND04800
CNAG_00845	CNA08220
CNAG_07331	CNA02015
CNAG_00366	CNA03370
CNAG_04036	CNB05180
CNAG_02167	CNE03710
CNAG_01963	CNK03010
CNAG_05541	CNH01910
CNAG_04617	CNJ00560
CNAG_06132	CNM01370
CNAG_04870	CNJ02980
CNAG_01640	CNC01530
CNAG_03932	CNB04200
CNAG_05218	CNL04110
CNAG_00894	CND00340
CNAG_06399	CNN01250
CNAG_07309	CNA00930
CNAG_04515	CNI00400
CNAG_02192	CNE03463
CNAG_03119	CNG04425
CNAG_05721	CNF02530
CNAG_07876	CNH01135
CNAG_04851	CNJ02750
CNAG_01668	CNC01790
CNAG_05505	CNH01590
CNAG_01572	CNC00870
CNAG_03230	CNG03440
CNAG_02111	CNE04260
CNAG_04237	CNI03780
CNAG_00664	CNA06425
CNAG_06318	CNN00480
CNAG_07043	CNJ03179
CNAG_06250	CNM02510
CNAG_01390	CND05020
CNAG_02926	CNC05345
CNAG_04409	CNI01390
CNAG_04819	CNJ02435
CNAG_04351	CNI01990
CNAG_00062	CNA00530
CNAG_01246	CND03640
CNAG_00929	CND00690
CNAG_03706	CNB02030
CNAG_02220	CNE03200
CNAG_02347	CNE02025
CNAG_02185	CNE03520
CNAG_00397	CNA03850
CNAG_01119	CND02440
CNAG_05861	CNF01120
CNAG_03205	CNG03650
CNAG_04150	CNI02870
CNAG_06030	CNM00400
CNAG_02552	CNE00140
CNAG_05075	CNL05450
CNAG_02791	CNC04100
CNAG_03106	CNG04580
CNAG_00790	CNA07660
CNAG_04574	CNJ00150
CNAG_04959	CNL06560
CNAG_01245	CND03630
CNAG_03243	CNG03300
CNAG_04992	CNL06220
CNAG_04925	CNM02605
CNAG_00034	CNA00250
CNAG_01927	CNK02675
CNAG_01299	CND04190
CNAG_02317	CNE02290
CNAG_04353	CNI01970
CNAG_04072	CNB05550
CNAG_03161	CNG04055
CNAG_04632	CNJ00690
CNAG_06368	CNN00960
CNAG_02141	CNE03950
CNAG_04882	CNJ03100
CNAG_06403	CNN01290
CNAG_05886	CNF00870
CNAG_03739	CNB02360
CNAG_05484	CNH01420
CNAG_05553	CNH02020
CNAG_02736	CNC03610
CNAG_04398	CNI01500
CNAG_06350	CNN00790
CNAG_04461	CNI00970
CNAG_01381	CND04940
CNAG_00799	CNA07770
CNAG_05807	CNF01720
CNAG_05842	CNF01310
CNAG_03686	CNB01840
CNAG_04814	CNJ02390
CNAG_00571	CNA05560
CNAG_06545	CNF04720
CNAG_07990	CNF03185
CNAG_07638	CNE02700
CNAG_01441	CND05550
CNAG_06072	CNM00820
CNAG_03375	CNG02080
CNAG_02236	CNE03050
CNAG_07859	CNJ00200
CNAG_06232	CNM02330
CNAG_01322	CND04420
CNAG_02989	CNC05970
CNAG_03545	CNG00520
CNAG_00015	CNA00080
CNAG_05485	CNH01430
CNAG_05641	CNH02815
CNAG_05451	CNH01165
CNAG_03952	CNB04400
CNAG_03227	CNG03470
CNAG_02417	CNE01400
CNAG_05197	CNL04280
CNAG_04592	CNJ00320
CNAG_05582	CNH02275
CNAG_06460	CNN01830
CNAG_06276	CNN00100
CNAG_06348	CNN00770
CNAG_06203	CNM02020
CNAG_07884	CNH01600
CNAG_04473	CNI00840
CNAG_02604	CNK00900
CNAG_03412	CNG01720
CNAG_04465	CNI00920
CNAG_04294	CNI02545
CNAG_04400	CNI01480
CNAG_04161	CNI02970
CNAG_07015	CND05860
CNAG_05659	CNH02965
CNAG_05440	CNH01070
CNAG_03423	CNG01620
CNAG_03440	CNG01460
CNAG_04067	CNB05505
CNAG_01376	CND04890
CNAG_01633	CNC01460
CNAG_05146	CNL04765
CNAG_06335	CNN00650
CNAG_06445	CNN01700
CNAG_00865	CND00030
CNAG_01610	CNC01230
CNAG_01800	CNC02910
CNAG_02446	CNE01120
CNAG_05690	CNF02840
CNAG_02437	CNE01200
CNAG_02153	CNE03830
CNAG_06687	CNF03270
CNAG_02704	CNK01920
CNAG_04512	CNI00430
CNAG_00888	CND00260
CNAG_07763	CNI03890
CNAG_00940	CND00800
CNAG_07522	CNC04260
CNAG_05383	CNH00500
CNAG_03049	CNC00390
CNAG_06063	CNM00720
CNAG_07377	CNA06110
CNAG_06564	CNF04530
CNAG_00273	CNA02620
CNAG_04312	CNI02370
CNAG_00532	CNA05140
CNAG_02211	CNE03300
CNAG_03767	CNB02640
CNAG_04179	CNI03160
CNAG_07940	CNN01670
CNAG_01266	CND03865
CNAG_06917	CNK00130
CNAG_04168	CNI03050
CNAG_00586	CNA05700
CNAG_02982	CNC05910
CNAG_02408	CNE01470
CNAG_00408	CNA03970
CNAG_06906	CNK00210
CNAG_05007	CNL06080
CNAG_01082	CND02100
CNAG_02466	CNE00930
CNAG_05363	CNH00300
CNAG_05290	CNH03410
CNAG_04342	CNI02080
CNAG_03459	CNG01290
CNAG_07677	CNF01230
CNAG_02012	CNK03470
CNAG_07365	CNA05000
CNAG_06237	CNM02370
CNAG_03057	CNC00320
CNAG_01760	CNC02610
CNAG_01987	CNK03190
CNAG_03445	CNG01420
CNAG_04846	CNJ02710
CNAG_05429	CNH00950
CNAG_05977	CNF00080
CNAG_04502	CNI00550
CNAG_05915	CNF00590
CNAG_06191	CNM01900
CNAG_00156	CNA01450
CNAG_07487	CNB04580
CNAG_07776	CNI00670
CNAG_05595	CNH02380
CNAG_02581	CNK00730
CNAG_01224	CND03460
CNAG_04114	CNI04340
CNAG_04458	CNI01000
CNAG_05256	CNH03740
CNAG_04466	CNI00910
CNAG_05069	CNL05510
CNAG_05843	CNF01300
CNAG_06107	CNM01130
CNAG_02699	CNK01870
CNAG_00028	CNA00210
CNAG_03762	CNB02570
CNAG_06535	CNF04820
CNAG_01465	CNC07150
CNAG_06594	CNF04240
CNAG_00625	CNA06050
CNAG_01373	CND04860
CNAG_07641	CNE02730
CNAG_03228	CNG03460
CNAG_01869	CNK02090
CNAG_03160	CNG04070
CNAG_05969	CNF00150
CNAG_04377	CNI01700
CNAG_01414	CND05250
CNAG_02295	CNE02490
CNAG_04185	CNI03220
CNAG_00035	CNA00260
CNAG_06204	CNM02030
CNAG_03020	CNC00650
CNAG_04895	CNJ03190
CNAG_00286	CNA02740
CNAG_01699	CNC02060
CNAG_02861	CNC04790
CNAG_02147	CNE03890
CNAG_03864	CNB03530
CNAG_00734	CNA07120
CNAG_05147	CNL04760
CNAG_03810	CNB03010
CNAG_01017	CND01470
CNAG_05192	CNL04355
CNAG_02854	CNC04710
CNAG_03937	CNB04245
CNAG_01609	CNC01220
CNAG_00670	CNA06480
CNAG_00850	CNA08260
CNAG_06378	CNN01040
CNAG_04177	CNI03140
CNAG_07357	CNJ01555
CNAG_03489	CNG01030
CNAG_01010	CND01400
CNAG_00417	CNA04050
CNAG_05899	CNF00740
CNAG_03323	CNG02550
CNAG_01986	CNK03185
CNAG_02873	CNC04860
CNAG_03851	CNB03410
CNAG_05829	CNF01510
CNAG_07545	CNK01250
CNAG_03703	CNB02005
CNAG_00312	CNA02950
CNAG_02889	CNC05020
CNAG_02257	CNE02890
CNAG_03079	CNC00120
CNAG_00728	CNA07070
CNAG_00707	CNA06860
CNAG_07531	CNK01400
CNAG_07505	CNC00560
CNAG_01892	CNK02330
CNAG_06119	CNM01250
CNAG_02203	CNE03370
CNAG_05405	CNH00730
CNAG_03061	CNC00270
CNAG_02996	CNC06050
CNAG_01928	CNK02680
CNAG_01691	CNC01995
CNAG_01422	CND05340
CNAG_00421	CNA04070
CNAG_06327	CNN00550
CNAG_03499	CNG00940
CNAG_06149	CNM01510
CNAG_03517	CNG00750
CNAG_01340	CND04550
CNAG_02293	CNE02510
CNAG_01962	CNK03000
CNAG_02038	CNE04970
CNAG_07479	CNB02530
CNAG_00473	CNA04550
CNAG_02692	CNK01800
CNAG_03298	CNG02790
CNAG_05437	CNH01040
CNAG_03589	CNG00160
CNAG_06231	CNM02320
CNAG_03600	CNB01030
CNAG_05703	CNF02710
CNAG_02756	CNC03780
CNAG_05459	CNH01210
CNAG_06096	CNM01030
CNAG_04863	CNJ02915
CNAG_02684	CNK01720
CNAG_01741	CNC02445
CNAG_05334	CNH00010
CNAG_01455	CND05700
CNAG_06713	CNB00900
CNAG_00462	CNA04420
CNAG_06740	CNB00620
CNAG_05980	CNF00040
CNAG_03342	CNG02370
CNAG_00039	CNA00290
CNAG_05279	CNH03490
CNAG_00721	CNA07000
CNAG_01045	CND01750
CNAG_06227	CNM02280
CNAG_05303	CNH03280
CNAG_01717	CNC02210
CNAG_07637	CNE02690
CNAG_01190	CND03150
CNAG_06777	CNB00220
CNAG_02670	CNK01580
CNAG_03385	CNG01990
CNAG_03951	CNB04380
CNAG_01709	CNC02150
CNAG_05783	CNF01950
CNAG_02843	CNC04590
CNAG_01341	CND04560
CNAG_06024	CNM00350
CNAG_05285	CNH03440
CNAG_06161	CNM01630
CNAG_03018	CNC00670
CNAG_00545	CNA05290
CNAG_05678	CNF02960
CNAG_01429	CND05410
CNAG_01275	CND03950
CNAG_03187	CNG03820
CNAG_02904	CNC05145
CNAG_05504	CNH01580
CNAG_04699	CNJ01290
CNAG_01794	CNC02850
CNAG_03001	CNC06110
CNAG_04210	CNI03490
CNAG_03743	CNB02390
CNAG_07344	CNA02350
CNAG_03644	CNB01440
CNAG_05900	CNF00730
CNAG_00679	CNA06570
CNAG_06818	CND05990
CNAG_05868	CNF01050
CNAG_02659	CNK01490
CNAG_05722	CNF02520
CNAG_05223	CNL04060
CNAG_07665	CNF03370
CNAG_00142	CNA01290
CNAG_00561	CNA05430
CNAG_01620	CNC01340
CNAG_01118	CND02430
CNAG_04028	CNB05110
CNAG_05080	CNL05400
CNAG_06317	CNN00470
CNAG_07904	CNM01210
CNAG_02815	CNC04320
CNAG_06417	CNN01420
CNAG_01314	CND04340
CNAG_03963	CNB04520
CNAG_02193	CNE03460
CNAG_04254	CNI03920
CNAG_03169	CNG03985
CNAG_00935	CND00750
CNAG_00126	CNA01160
CNAG_05712	CNF02630
CNAG_05875	CNF00970
CNAG_05569	CNH02165
CNAG_05764	CNF02140
CNAG_00930	CND00700
CNAG_00744	CNA07230
CNAG_04194	CNI03320
CNAG_06897	CNK00320
CNAG_06503	CNN02280
CNAG_01866	CNK02060
CNAG_00370	CNA03330
CNAG_06669	CNF03500
CNAG_04397	CNI01510
CNAG_03929	CNB04180
CNAG_04265	CNI04040
CNAG_05853	CNF01190
CNAG_05020	CNL05970
CNAG_01823	CNC03110
CNAG_03048	CNC00400
CNAG_04744	CNJ01750
CNAG_02129	CNE04080
CNAG_05642	CNH02820
CNAG_05907	CNF00650
CNAG_04628	CNJ00650
CNAG_01097	CND02230
CNAG_01292	CND04120
CNAG_02025	CNE05090
CNAG_00290	CNA02780
CNAG_04692	CNJ01230
CNAG_07796	CNL06740
CNAG_06764	CNB00370
CNAG_00466	CNA04470
CNAG_00688	CNA06665
CNAG_03807	CNB02995
CNAG_00231	CNA02210
CNAG_05602	CNH02450
CNAG_03609	CNB01120
CNAG_06895	CNK00340
CNAG_03011	CNC06220
CNAG_03723	CNB02210
CNAG_05619	CNH02600
CNAG_00574	CNA05590
CNAG_06122	CNM01280
CNAG_06667	CNF03520
CNAG_06694	CNF03210
CNAG_01736	CNC02405
CNAG_00557	CNA05400
CNAG_03881	CNB03710
CNAG_01286	CND04060
CNAG_07780	CNI00090
CNAG_05029	CNL05870
CNAG_00643	CNA06230
CNAG_06949	CND03770
CNAG_07806	CNL05680
CNAG_04953	CNL06620
CNAG_00501	CNA04840
CNAG_06485	CNN02090
CNAG_03007	CNC06180
CNAG_01442	CND05560
CNAG_06868	CNE00040
CNAG_04973	CNL06420
CNAG_05166	CNL04590
CNAG_06029	CNM00390
CNAG_00428	CNA04130
CNAG_05812	CNF01670
CNAG_02302	CNE02435
CNAG_07005	CND05830
CNAG_02825	CNC04420
CNAG_05757	CNF02210
CNAG_05059	CNL05600
CNAG_02705	CNK01935
CNAG_07409	CND05820
CNAG_04539	CNI00150
CNAG_03193	CNG03755
CNAG_01474	CNC07050
CNAG_07464	CNB00820
CNAG_04441	CNI01160
CNAG_05574	CNH02210
CNAG_00592	CNA05740
CNAG_00383	CNA03720
CNAG_01170	CND02960
CNAG_05555	CNH02040
CNAG_07699	CNF00230
CNAG_02958	CNC05690
CNAG_02867	CNC04820
CNAG_06322	CNN00500
CNAG_04911	CNJ03340
CNAG_01806	CNC02950
CNAG_02053	CNE04810
CNAG_06051	CNM00610
CNAG_07966	CNB03575
CNAG_00879	CND00180
CNAG_04271	CNI04100
CNAG_04332	CNI02170
CNAG_05665	CNH03013
CNAG_04356	CNI01940
CNAG_04642	CNJ00820
CNAG_00580	CNA05630
CNAG_06185	CNM01850
CNAG_06968	CNG00020
CNAG_00007	CNA00060
CNAG_03915	CNB04040
CNAG_07551	CNK01190
CNAG_00118	CNA01080
CNAG_01954	CNK02930
CNAG_02520	CNE00450
CNAG_02093	CNE04420
CNAG_00969	CND00980
CNAG_05312	CNH03220
CNAG_05380	CNH00480
CNAG_01673	CNC01840
CNAG_04637	CNJ00750
CNAG_00820	CNA07970
CNAG_06200	CNM01990
CNAG_06471	CNN01910
CNAG_00422	CNA04080
CNAG_04898	CNJ03220
CNAG_03885	CNB03740
CNAG_07670	CNF02600
CNAG_07511	CNC05560
CNAG_08029	CNH02670
CNAG_01632	CNC01450
CNAG_01896	CNK02370
CNAG_00257	CNA02460
CNAG_02066	CNE04695
CNAG_06168	CNM01690
CNAG_03575	CNG00310
CNAG_01054	CND01850
CNAG_01873	CNK02130
CNAG_00533	CNA05150
CNAG_01076	CND02040
CNAG_07612	CNK02270
CNAG_05012	CNL06040
CNAG_00391	CNA03795
CNAG_00072	CNA00620
CNAG_06140	CNM01420
CNAG_00615	CNA05970
CNAG_04446	CNI01110
CNAG_03054	CNC00340
CNAG_02898	CNC05100
CNAG_07520	CNC04480
CNAG_04498	CNI00600
CNAG_05432	CNH01020
CNAG_00450	CNA04310
CNAG_07824	CNH03550
CNAG_05579	CNH02260
CNAG_07725	CNG02110
CNAG_02458	CNE01000
CNAG_03871	CNB03600
CNAG_06330	CNN00580
CNAG_03819	CNB03100
CNAG_01603	CNC01160
CNAG_03664	CNB01630
CNAG_04201	CNI03400
CNAG_03714	CNB02110
CNAG_03906	CNB03945
CNAG_05499	CNH01545
CNAG_07718	CNG03635
CNAG_02918	CNC05280
CNAG_07325	CNA01940
CNAG_06508	CNN02320
CNAG_06901	CNK00270
CNAG_03770	CNB02665
CNAG_02080	CNE04560
CNAG_01665	CNC01760
CNAG_05200	CNL04250
CNAG_02425	CNE01320
CNAG_07310	CNA00940
CNAG_00981	CND01090
CNAG_04317	CNI02320
CNAG_03123	CNG04390
CNAG_07681	CNF00900
CNAG_05266	CNH03640
CNAG_06215	CNM02150
CNAG_07668	CNF02930
CNAG_05377	CNH00450
CNAG_00627	CNA06070
CNAG_00527	CNA05090
CNAG_03250	CNG03230
CNAG_01347	CND04620
CNAG_03659	CNB01590
CNAG_07801	CNL06190
CNAG_03833	CNB03215
CNAG_02121	CNE04160
CNAG_06012	CNM00240
CNAG_04415	CNI01340
CNAG_01495	CNC06850
CNAG_06283	CNN00200
CNAG_02494	CNE00660
CNAG_00492	CNA04715
CNAG_01234	CND03530
CNAG_07319	CNA01880
CNAG_00434	CNA04170
CNAG_04530	CNI00250
CNAG_00988	CND01160
CNAG_04788	CNJ02150
CNAG_00076	CNA00660
CNAG_04118	CNI04290
CNAG_02107	CNE04300
CNAG_07589	CNC06670
CNAG_03175	CNG03930
CNAG_07703	CNM00270
CNAG_04016	CNB04980
CNAG_06156	CNM01580
CNAG_05409	CNH00770
CNAG_00717	CNA06960
CNAG_02133	CNE04030
CNAG_05237	CNL03915
CNAG_05928	CNF00470
CNAG_04961	CNL06550
CNAG_00189	CNA01780
CNAG_04373	CNI01760
CNAG_01436	CND05500
CNAG_01151	CND02770
CNAG_04825	CNJ02510
CNAG_07008	CNM02555
CNAG_01940	CNK02760
CNAG_03712	CNB02090
CNAG_05389	CNH00560
CNAG_02385	CNE01650
CNAG_04742	CNJ01730
CNAG_07510	CNC05660
CNAG_01628	CNC01410
CNAG_04197	CNI03350
CNAG_01970	CNK03050
CNAG_02228	CNE03120
CNAG_02776	CNA07680
CNAG_03628	CNB01300
CNAG_00923	CND00640
CNAG_02227	CNE03130
CNAG_03047	CNC00410
CNAG_01851	CNC03350
CNAG_06193	CNM01920
CNAG_06641	CNF03750
CNAG_04667	CNJ01010
CNAG_00191	CNA01800
CNAG_00084	CNA00740
CNAG_05225	CNL04040
CNAG_02476	CNE00840
CNAG_05060	CNL05590
CNAG_04330	CNI02190
CNAG_06377	CNN01030
CNAG_05741	CNF02360
CNAG_01811	CNC03000
CNAG_03981	CNB04690
CNAG_00174	CNA01620
CNAG_07448	CND00530
CNAG_02912	CNC05220
CNAG_02785	CNC04030
CNAG_02399	CNE01560
CNAG_06617	CNF04020
CNAG_00097	CNA00880
CNAG_03544	CNG00530
CNAG_01911	CNK02540
CNAG_02488	CNE00720
CNAG_06251	CNM02520
CNAG_02444	CNE01140
CNAG_06969	CNG00015
CNAG_03339	CNG02400
CNAG_05039	CNL05780
CNAG_01552	CNC06320
CNAG_02092	CNE04430
CNAG_04284	CNI02650
CNAG_00599	CNA05820
CNAG_07724	CNG02270
CNAG_01918	CNK02600
CNAG_03398	CNG01860
CNAG_01025	CND01550
CNAG_04575	CNJ00160
CNAG_04513	CNI00420
CNAG_03146	CNG04200
CNAG_05291	CNH03400
CNAG_07951	CNA03780
CNAG_00974	CND01030
CNAG_00991	CND01190
CNAG_06284	CNN00210
CNAG_02599	CNK00850
CNAG_02196	CNE03430
CNAG_00967	CND00960
CNAG_03752	CNB02470
CNAG_06415	CNN01400
CNAG_02333	CNE02140
CNAG_03262	CNG03140
CNAG_01069	CND02010
CNAG_05615	CNH02560
CNAG_05679	CNF02950
CNAG_06359	CNN00850
CNAG_02890	CNC05030
CNAG_06985	CNE05170
CNAG_01930	CNK02700
CNAG_05514	CNH01665
CNAG_06470	CNN01900
CNAG_05352	CNH00180
CNAG_01285	CND04050
CNAG_00751	CNA07295
CNAG_01183	CND03080
CNAG_02467	CNE00920
CNAG_01526	CNC06560
CNAG_03692	CNB01900
CNAG_05467	CNH01277
CNAG_01363	CND04790
CNAG_02483	CNE00780
CNAG_06432	CNN01560
CNAG_03184	CNG03850
CNAG_04619	CNJ00580
CNAG_07676	CNF01240
CNAG_03242	CNG03310
CNAG_00285	CNA02730
CNAG_07965	CNB02690
CNAG_02375	CNE01740
CNAG_01855	CNC03390
CNAG_03582	CNG00250
CNAG_06797	CNB00050
CNAG_00155	CNA01430
CNAG_03179	CNG03890
CNAG_04367	CNI01820
CNAG_01917	CNK02595
CNAG_06622	CNF03960
CNAG_00727	CNA07060
CNAG_05179	CNL04470
CNAG_06729	CNB00730
CNAG_00409	CNA03990
CNAG_04670	CNJ01040
CNAG_02063	CNE04720
CNAG_02070	CNE04660
CNAG_05610	CNH02515
CNAG_01949	CNK02880
CNAG_03504	CNG00890
CNAG_01761	CNC02620
CNAG_03924	CNB04130
CNAG_01293	CND04130
CNAG_04889	CNJ03153
CNAG_01826	CNC03130
CNAG_02512	CNE00510
CNAG_04723	CNJ01530
CNAG_01126	CND02490
CNAG_03239	CNG03335
CNAG_04478	CNI00790
CNAG_02993	CNC06010
CNAG_02950	CNC05590
