pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG09265TO1	Transmembrane:Helical	451864	227321	Aspergillus nidulans FGSC A4	227321:00255b	H9D0N5	Transmembrane:Helical
EOG09265TO1	Transmembrane:Helical	451864	227321	Aspergillus nidulans FGSC A4	227321:000054	atp8	A6L
EOG09265TO1	Transmembrane:Helical	451864	229533	Fusarium graminearum PH-1	229533:0032ea	A5J073	NA
EOG09265TO1	Transmembrane:Helical	451864	237561	Candida albicans SC5314	237561:000051	ATP8	A6L
EOG09265TO1	Transmembrane:Helical	451864	240176	Coprinopsis cinerea okayama7#130	240176:001593	D6RR55	Transmembrane:Helical
EOG09265TO1	Transmembrane:Helical	451864	284590	Kluyveromyces lactis NRRL Y-1140	284590:000060	ATP8	A6L
EOG09265TO1	Transmembrane:Helical	451864	284591	Yarrowia lipolytica CLIB122	284591:00003b	ATP8	A6L
EOG09265TO1	Transmembrane:Helical	451864	284592	Debaryomyces hansenii CBS767	284592:000042	ATP8	A6L
EOG09265TO1	Transmembrane:Helical	451864	284811	Eremothecium gossypii ATCC 10895	284811:00005e	ATP8	F-ATPase subunit 8
EOG09265TO1	Transmembrane:Helical	451864	284812	Schizosaccharomyces pombe 972h-	284812:0000fa	atp8	A6L
EOG09265TO1	Transmembrane:Helical	451864	307796	Saccharomyces cerevisiae YJM789	307796:000a1f	ATP8	Transmembrane:Helical
EOG09265TO1	Transmembrane:Helical	451864	321614	Parastagonospora nodorum SN15	321614:003c5f	Q0U0Q0	Transmembrane:Helical
EOG09265TO1	Transmembrane:Helical	451864	367110	Neurospora crassa OR74A	367110:00004a	atp-8	A6L
EOG09265TO1	Transmembrane:Helical	451864	426418	Pyrenophora tritici-repentis Pt-1C-BFP	426418:000885	B2VRM3	Transmembrane:Helical
EOG09265TO1	Transmembrane:Helical	451864	436907	Vanderwaltozyma polyspora DSM 70294	436907:000033	ATP8	A6L
EOG09265TO1	Transmembrane:Helical	451864	447093	Histoplasma capsulatum G186AR	447093:000b4b	C0P1F6	Transmembrane:Helical
EOG09265TO1	Transmembrane:Helical	451864	500485	Penicillium rubens Wisconsin 54-1255	500485:001fb6	H9CNR3	Transmembrane:Helical
EOG09265TO1	Transmembrane:Helical	451864	502780	Paracoccidioides brasiliensis Pb18	502780:000fb7	atp8	Transmembrane:Helical
