# dvsaATG_highdiffw_outframe_Nc.txt
# Genes with in-frame high-score dATGs
# In N. crassa:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 40% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
NCU01897	0.633	0.841
NCU08779	0.704	0.907
NCU02547	0.652	0.854
NCU07384	0.683	0.878
NCU16446	0.748	0.942
NCU03221	0.698	0.885
NCU02635	0.745	0.93
NCU04037	0.688	0.869
NCU06259	0.735	0.914
NCU04637	0.728	0.902
NCU03054	0.646	0.816
NCU00372	0.727	0.89
NCU06834	0.679	0.838
NCU17113	0.717	0.876
NCU00589	0.703	0.861
NCU02627	0.615	0.772
NCU08816	0.751	0.903
NCU16316	0.681	0.831
NCU09972	0.743	0.892
NCU04195	0.682	0.832
NCU04139	0.705	0.85
NCU06574	0.781	0.924
NCU07936	0.778	0.917
NCU02064	0.712	0.85
NCU01674	0.764	0.902
NCU09894	0.639	0.777
NCU16318	0.751	0.886
NCU00137	0.717	0.851
NCU08345	0.825	0.959
NCU02264	0.724	0.857
NCU08674	0.819	0.951
NCU01283	0.714	0.847
NCU07815	0.765	0.897
NCU16450	0.704	0.835
NCU03816	0.736	0.866
NCU06595	0.679	0.808
NCU05805	0.791	0.92
NCU02352	0.774	0.901
NCU00100	0.768	0.893
NCU03129	0.725	0.85
NCU08167	0.74	0.864
NCU07724	0.664	0.787
NCU02676	0.66	0.783
NCU03366	0.683	0.807
NCU02466	0.762	0.882
NCU01141	0.751	0.871
NCU03837	0.807	0.926
NCU06180	0.73	0.849
NCU01738	0.683	0.802
