# dvsaATG_highdiffn_inframe_JEC21.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans JEC21:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence, strain xx
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence, strain xx
#
# Edward Wallace, Dec 2018
Gene	aATG.scorekn	d1.scorekn
CNA01530	0.673	1
CNI00670	0.698	1
CNI00690	0.673	0.945
CNA00760	0.733	1
CNB04570	0.73	0.989
CNF02520	0.673	0.925
CNH00360	0.74	0.989
CNG01740	0.742	0.989
CNN00820	0.699	0.945
CNB01775	0.756	1
CNF02540	0.756	1
CNJ03230	0.723	0.966
CNJ01820	0.725	0.964
CNB01880	0.655	0.888
CNB04810	0.655	0.886
CNI03160	0.715	0.945
CNL06190	0.673	0.899
CNE00210	0.715	0.94
CNE02400	0.741	0.966
CNC06400	0.756	0.977
CND02710	0.733	0.952
CNI03610	0.761	0.977
CNA00710	0.759	0.975
CNB04130	0.761	0.975
CNL06075	0.763	0.977
CNL05290	0.745	0.952
CNA04990	0.736	0.94
CNB04410	0.741	0.945
CNC04930	0.715	0.917
CNF00730	0.776	0.977
CNB00900	0.79	0.989
CNJ00430	0.79	0.989
CNA05440	0.779	0.977
CNA05110	0.698	0.892
CNF01530	0.787	0.977
CNB01800	0.816	1
CNK00320	0.782	0.966
CNB04990	0.793	0.975
CNM00950	0.796	0.977
CNG04210	0.795	0.975
CNE01260	0.763	0.94
CND03800	0.813	0.989
CNG01890	0.673	0.847
CNA03210	0.79	0.964
CNA02880	0.742	0.915
CNJ01910	0.767	0.94
CNM01220	0.828	1
CNB05640	0.793	0.964
CNI02240	0.793	0.964
CNB00480	0.676	0.846
CNA06540	0.658	0.828
CNE05150	0.752	0.92
CNA00190	0.753	0.92
CNE02660	0.802	0.964
CND04420	0.724	0.886
CND03560	0.803	0.964
CNB04910	0.816	0.975
CNG00840	0.816	0.975
CNK00390	0.794	0.952
CNK01910	0.73	0.888
CNA05725	0.844	1
CNB03580	0.709	0.862
CNC05950	0.787	0.941
CND05560	0.781	0.932
CND02795	0.736	0.885
CNN00920	0.77	0.92
CNA08150	0.793	0.94
CNE02870	0.683	0.827
CNB05680	0.743	0.886
CNG00590	0.836	0.977
CNA03460	0.683	0.823
CND04013	0.802	0.941
CNH03800	0.735	0.873
CNA04190	0.701	0.839
CNA06000	0.826	0.964
CNM00610	0.863	1
CNE03010	0.842	0.977
CNL04030	0.776	0.911
CND00900	0.698	0.828
CNK01970	0.758	0.888
CNN02250	0.836	0.966
CNC04840	0.733	0.86
CNJ01100	0.758	0.885
CNI01490	0.77	0.897
CNB04430	0.759	0.884
CND04540	0.738	0.862
CNH02465	0.79	0.914
