pub_og_id	organism_taxid	org	int_prot_id	pub_gene_id
EOG092656N6	559292	Scer	559292:000dc7	VAR1
EOG09264T3S	214684	Cneo	214684:001593	Q5KNV5
EOG09264T3S	237561	Calb	237561:001862	MRPL16
EOG09264T3S	237561	Calb	237561:00185f	MRPL16
EOG09264T3S	284812	Spom	284812:000a25	mrpl16
EOG09264T3S	367110	Ncra	367110:000ce0	F5HIJ5
EOG09264T3S	559292	Scer	559292:000dae	MRPL16
EOG09265AB0	237561	Calb	237561:00115f	Q5A1Z1
EOG09265AB0	284812	Spom	284812:000af1	mrp21
EOG09265AB0	559292	Scer	559292:000eb4	MRP21
EOG09265D8I	237561	Calb	237561:0010de	Q59YH5
EOG09265D8I	559292	Scer	559292:000dbd	MRPL36
EOG09263K05	214684	Cneo	214684:000f69	Q5KDZ7
EOG09263K05	237561	Calb	237561:0002b1	MRPS9
EOG09263K05	284812	Spom	284812:000ae9	mrps9
EOG09263K05	367110	Ncra	367110:00029d	mrp-9
EOG09263K05	559292	Scer	559292:000ea6	MRPS9
EOG092634G9	214684	Cneo	214684:001646	Q5KFD3
EOG092634G9	237561	Calb	237561:00222c	MRPS5
EOG092634G9	237561	Calb	237561:001cbd	Q59NC1
EOG092634G9	284812	Spom	284812:000ae5	mrp5
EOG092634G9	367110	Ncra	367110:00218c	Q1K548
EOG092634G9	559292	Scer	559292:000ea2	MRPS5
EOG09265KQ4	214684	Cneo	214684:0008d0	Q5KAP4
EOG09265KQ4	237561	Calb	237561:00128b	Q59VH8
EOG09265KQ4	284812	Spom	284812:000a35	mrpl37
EOG09265KQ4	367110	Ncra	367110:002466	Q7SCZ3
EOG09265KQ4	559292	Scer	559292:000dbe	MRPL37
EOG09265L75	237561	Calb	237561:000d78	Q5AHY8
EOG09265L75	284812	Spom	284812:000a2d	mrpl27
EOG09265L75	367110	Ncra	367110:002293	Q7S5W0
EOG09265L75	559292	Scer	559292:000db6	MRPL27
EOG09265IBQ	214684	Cneo	214684:000639	Q5KL23
EOG09265IBQ	237561	Calb	237561:000b04	Q5A6K5
EOG09265IBQ	284812	Spom	284812:000a30	mrpl32
EOG09265IBQ	367110	Ncra	367110:00196c	Q1K4P1
EOG09265IBQ	559292	Scer	559292:000db9	MRPL32
EOG09264I6B	214684	Cneo	214684:000942	Q5KCZ5
EOG09264I6B	237561	Calb	237561:0012d7	Q5A1M8
EOG09264I6B	284812	Spom	284812:0004e5	img1
EOG09264I6B	367110	Ncra	367110:0008da	Q7RYW8
EOG09264I6B	559292	Scer	559292:00073a	IMG1
EOG09265GKK	284812	Spom	284812:000655	mrp10
EOG09265GKK	367110	Ncra	367110:0016b5	Q7S4Y4
EOG09265GKK	559292	Scer	559292:000960	MRP10
EOG092653OR	237561	Calb	237561:000464	MRPL11
EOG092653OR	284812	Spom	284812:000a23	mrp11
EOG092653OR	367110	Ncra	367110:001e6c	Q7RZ62
EOG092653OR	559292	Scer	559292:000dab	MRPL11
EOG09264FSX	214684	Cneo	214684:000127	RSM10
EOG09264FSX	237561	Calb	237561:0002b4	RSM10
EOG09264FSX	284812	Spom	284812:000aeb	rsm10
EOG09264FSX	367110	Ncra	367110:00029f	mrp-10
EOG09264FSX	559292	Scer	559292:000ead	RSM10
EOG09265SQJ	284812	Spom	284812:000a32	Q9P7L9
EOG09265SQJ	367110	Ncra	367110:001365	Q1K7P9
EOG09265SQJ	559292	Scer	559292:000dbb	Q04598
EOG092643Y5	214684	Cneo	214684:000c73	Q5KKG7
EOG092643Y5	237561	Calb	237561:001cf2	Q59LA1
EOG092643Y5	284812	Spom	284812:000a1a	mrpl1
EOG092643Y5	367110	Ncra	367110:000804	Q1K699
EOG092643Y5	559292	Scer	559292:000da2	MRPL1
EOG09264KIV	214684	Cneo	214684:0014af	Q5KKI5
EOG09264KIV	237561	Calb	237561:001115	Q5AI30
EOG09264KIV	284812	Spom	284812:000af3	rsm24
EOG09264KIV	367110	Ncra	367110:00235d	Q1K5Z0
EOG09264KIV	559292	Scer	559292:000eb7	RSM24
EOG09264K2W	214684	Cneo	214684:001793	Q5KKW4
EOG09264K2W	237561	Calb	237561:00077e	Q5A2J2
EOG09264K2W	284812	Spom	284812:000a1f	mrpl7
EOG09264K2W	367110	Ncra	367110:0023c3	Q1K6P0
EOG09264K2W	559292	Scer	559292:000da7	MRPL7
EOG09264PED	237561	Calb	237561:0001d3	MHR1
EOG09264PED	559292	Scer	559292:0008f8	MHR1
EOG09262U7S	214684	Cneo	214684:001605	Q5KDC0
EOG09262U7S	237561	Calb	237561:000c1f	Q5AHD3
EOG09262U7S	284812	Spom	284812:000a33	O14341
EOG09262U7S	367110	Ncra	367110:00066a	Q7RXV8
EOG09262U7S	559292	Scer	559292:000dbc	MRPL35
EOG092643JW	214684	Cneo	214684:0005d2	Q5KKT6
EOG092643JW	237561	Calb	237561:0021f1	MRPS28
EOG092643JW	237561	Calb	237561:0018b7	MRPS28
EOG092643JW	284812	Spom	284812:000af8	mrps28
EOG092643JW	367110	Ncra	367110:00128b	Q1K5G1
EOG092643JW	559292	Scer	559292:000ebb	MRPS28
EOG092647WI	237561	Calb	237561:000b35	Q5AJC9
EOG092647WI	237561	Calb	237561:000a43	Q5AK82
EOG092647WI	284812	Spom	284812:000af6	O74379
EOG092647WI	284812	Spom	284812:000af5	O42919
EOG092647WI	367110	Ncra	367110:000904	Q7S2H6
EOG092647WI	559292	Scer	559292:000eb9	RSM26
EOG092647WI	559292	Scer	559292:000e9f	MRP1
EOG09264HX6	214684	Cneo	214684:000977	Q5KAK2
EOG09264HX6	237561	Calb	237561:0010f2	Q5A8Y4
EOG09264HX6	284812	Spom	284812:000656	mrp20
EOG09264HX6	367110	Ncra	367110:0014be	Q7SA60
EOG09264HX6	559292	Scer	559292:000dc2	MRP20
EOG09265JLM	214684	Cneo	214684:0013f0	Q5K8L1
EOG09265JLM	237561	Calb	237561:001334	Q59QC1
EOG09265JLM	559292	Scer	559292:000db7	MRPL28
EOG092647AH	559292	Scer	559292:000e98	RSM28
EOG09262X31	214684	Cneo	214684:001142	Q5KGY0
EOG09262X31	237561	Calb	237561:000c55	Q5A7P6
EOG09262X31	284812	Spom	284812:000a3d	rml2
EOG09262X31	367110	Ncra	367110:0018fb	Q7SCX7
EOG09262X31	559292	Scer	559292:000dd0	RML2
EOG09264XLN	214684	Cneo	214684:0016b3	Q5KBX5
EOG09264XLN	237561	Calb	237561:00080e	Q59KY7
EOG09264XLN	284812	Spom	284812:000ad9	rsm18
EOG09264XLN	367110	Ncra	367110:00083b	Q1K8E0
EOG09264XLN	559292	Scer	559292:000e97	RSM18
EOG09265OZH	559292	Scer	559292:000ebc	YMR31
EOG09265HPJ	214684	Cneo	214684:0017ed	Q5KFZ6
EOG09265HPJ	237561	Calb	237561:00077c	Q59Z25
EOG09265HPJ	284812	Spom	284812:000630	mrpl12
EOG09265HPJ	367110	Ncra	367110:002340	Q7RYV0
EOG09265HPJ	559292	Scer	559292:00092a	MNP1
EOG092625U6	214684	Cneo	214684:000c98	Q5KNX8
EOG092625U6	237561	Calb	237561:0013e3	Q59S60
EOG092625U6	284812	Spom	284812:000af2	rsm23
