FAMILY_ID	SPECIES	UNIPROT	ENTREZ
PTHR10722:SF0	YEAST	P0CX83	852254
PTHR10722:SF0	YEAST	P0CX83	852379
PTHR10722:SF0	YEAST	P0CX82	852254
PTHR10722:SF0	YEAST	P0CX82	852379
PTHR10722:SF0	SCHPO	O42699	2539178
PTHR10722:SF0	SCHPO	O42699	2540870
PTHR10722:SF0	SCHPO	P05734	2539178
PTHR10722:SF0	SCHPO	P05734	2540870
PTHR10722:SF0	EMENI	C8V019	NA
PTHR10722:SF0	ASHGO	Q756S5	4621245
PTHR10722:SF0	BATDJ	F4PBE1	18240951
PTHR10722:SF0	CANAL	Q5ANJ7	NA
PTHR10722:SF0	CRYNJ	Q5KBW9	3259668
PTHR10722:SF0	NEUCR	Q7S5N9	3876195
PTHR10722:SF0	PUCGT	E3K1J3	10541798
PTHR10722:SF0	SCLS1	A7EEJ0	5491362
PTHR10722:SF0	USTMA	D1CVL6	NA
PTHR10722:SF0	YARLI	Q6C4N4	2912676
PTHR10394:SF3	YEAST	P0CX39	852206
PTHR10394:SF3	YEAST	P0CX39	856839
PTHR10394:SF3	YEAST	P0CX40	852206
PTHR10394:SF3	YEAST	P0CX40	856839
PTHR10394:SF3	SCHPO	Q9P7B2	2541491
PTHR10394:SF3	SCHPO	Q9P7B2	2543354
PTHR10394:SF3	SCHPO	O14049	2541491
PTHR10394:SF3	SCHPO	O14049	2543354
PTHR10394:SF3	EMENI	Q5BG65	2876241
PTHR10394:SF3	ASHGO	Q74Z31	4623344
PTHR10394:SF3	BATDJ	F4NRJ9	18241051
PTHR10394:SF3	CANAL	Q59T44	3645565
PTHR10394:SF3	CRYNJ	Q5KDJ7	3258792
PTHR10394:SF3	NEUCR	V5IPM8	3879569
PTHR10394:SF3	PUCGT	E3JTS2	10543119
PTHR10394:SF3	SCLS1	A7EZH2	5484322
PTHR10394:SF3	USTMA	D1C3Y9	NA
PTHR10394:SF3	YARLI	Q6C0G4	2908521
PTHR11761:SF8	YEAST	P0CX42	852191
PTHR11761:SF8	YEAST	P0CX42	856853
PTHR11761:SF8	YEAST	P0CX41	852191
PTHR11761:SF8	YEAST	P0CX41	856853
PTHR11761:SF8	SCHPO	P0CT61	2539286
PTHR11761:SF8	SCHPO	P0CT61	2543453
PTHR11761:SF8	SCHPO	P0CT60	2539286
PTHR11761:SF8	SCHPO	P0CT60	2543453
PTHR11761:SF8	EMENI	C8V8E0	NA
PTHR11761:SF8	ASHGO	Q751J4	4622672
PTHR11761:SF8	BATDJ	F4P905	18239138
PTHR11761:SF8	CANAL	Q59M73	NA
PTHR11761:SF8	CRYNJ	Q5K959	3254469
PTHR11761:SF8	NEUCR	Q7SHJ9	3881767
PTHR11761:SF8	PUCGT	E3KGR6	10532169
PTHR11761:SF8	SCLS1	A7EKH7	5488941
PTHR11761:SF8	USTMA	D1DW02	NA
PTHR11761:SF8	YARLI	Q6C9L1	2911002
PTHR23413:SF1	YEAST	P38061	852185
PTHR23413:SF1	SCHPO	P79015	2540135
PTHR23413:SF1	SCHPO	P79015	2543460
PTHR23413:SF1	SCHPO	O42935	2540135
PTHR23413:SF1	SCHPO	O42935	2543460
PTHR23413:SF1	EMENI	Q5AWH6	2869776
PTHR23413:SF1	ASHGO	Q751I7	4622679
PTHR23413:SF1	BATDJ	F4PCQ9	18244526
PTHR23413:SF1	CRYNJ	Q5K7J3	3255186
PTHR23413:SF1	NEUCR	Q7RXY1	3872930
PTHR23413:SF1	PUCGT	E3KL73	10527025
PTHR23413:SF1	SCLS1	A7EDG1	5491751
PTHR23413:SF1	USTMA	D1CXC6	NA
PTHR23413:SF1	YARLI	Q6C406	2911987
PTHR19431:SF0	YEAST	P10664	851575
PTHR19431:SF0	YEAST	P10664	852319
PTHR19431:SF0	YEAST	P49626	851575
PTHR19431:SF0	YEAST	P49626	852319
PTHR19431:SF0	SCHPO	Q9P784	2539780
PTHR19431:SF0	SCHPO	Q9P784	2541344
PTHR19431:SF0	SCHPO	P35679	2539780
PTHR19431:SF0	SCHPO	P35679	2541344
PTHR19431:SF0	EMENI	Q5AU54	2869238
PTHR19431:SF0	ASHGO	Q75E89	4618681
PTHR19431:SF0	BATDJ	F4P8E2	18237200
PTHR19431:SF0	CANAL	Q59ZX4	NA
PTHR19431:SF0	CRYNJ	Q5KAF2	3254193
PTHR19431:SF0	NEUCR	Q1K7B7	3877269
PTHR19431:SF0	PUCGT	E3KDE5	10529526
PTHR19431:SF0	SCLS1	A7E7X3	5493859
PTHR19431:SF0	USTMA	D1C5H5	NA
PTHR19431:SF0	YARLI	Q6CCT0	2909224
PTHR10744:SF9	YEAST	P0CX48	851589
PTHR10744:SF9	YEAST	P0CX48	852337
PTHR10744:SF9	YEAST	P0CX47	851589
PTHR10744:SF9	YEAST	P0CX47	852337
PTHR10744:SF9	SCHPO	P0CT73	2542904
PTHR10744:SF9	SCHPO	P0CT73	2543120
PTHR10744:SF9	SCHPO	P0CT74	2542904
PTHR10744:SF9	SCHPO	P0CT74	2543120
PTHR10744:SF9	EMENI	Q5B2K8	2871514
PTHR10744:SF9	ASHGO	Q75DW4	4618936
PTHR10744:SF9	BATDJ	F4NWV3	18245061
PTHR10744:SF9	CRYNJ	Q5KNH2	3253949
PTHR10744:SF9	NEUCR	Q7SFZ2	3881110
PTHR10744:SF9	PUCGT	E3K2S4	10536496
PTHR10744:SF9	SCLS1	A7EVA4	5485636
PTHR10744:SF9	USTMA	D1E616	NA
PTHR10744:SF9	YARLI	Q6C0Z7	2907869
PTHR11502:SF6	YEAST	P0CX38	852479
PTHR11502:SF6	YEAST	P0CX38	856015
