# dvsaATG_highdiffw_enoughRNA_JEC21.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans JEC21:
#   - difference, aATG.scorekw - d1.scorekw > 0.1
#   - in top 50% by RNA abundance
#
# Gene: systematic gene name
# aATG.scorekw: annotated AUG score against wide -10 Kozak consensus sequence
# d1.scorekw: 1st downstream AUG score against wide -10 Kozak consensus sequence
# d1.posATG: position (in nt) of 1st downstream AUG compared to annotated AUG.
# d1.frame: downstream AUG is In or Out of reading frame with annotated.
#
# Edward Wallace, Apr 2019
Gene	aATG.scorekw	d1.scorekw	d1.posATG	d1.frame
CNI00340	0.665	0.953	58	Out
CNI00690	0.631	0.913	33	In
CNA04990	0.669	0.939	102	In
CNF02520	0.665	0.925	111	In
CNB01775	0.661	0.912	21	In
CNC07140	0.664	0.912	250	Out
CNG01740	0.717	0.963	18	In
CNA05725	0.721	0.967	51	In
CNN00820	0.657	0.9	63	In
CNG01890	0.607	0.845	177	In
CNB04570	0.721	0.954	27	In
CNI00670	0.73	0.961	36	In
CNA08150	0.685	0.914	144	In
CNA01530	0.699	0.922	84	In
CNE04530	0.757	0.98	73	Out
CNG00840	0.701	0.923	96	In
CNM00950	0.751	0.971	63	In
CNC06400	0.691	0.909	90	In
CNI03160	0.705	0.922	99	In
CNE00210	0.696	0.91	66	In
CNJ03230	0.736	0.948	18	In
CNN00160	0.721	0.93	13	Out
CNJ03280	0.786	0.991	63	In
CNL06190	0.69	0.893	57	In
CNL05290	0.737	0.94	171	In
CNB05680	0.679	0.882	63	In
CNB04410	0.739	0.94	60	In
CNK01910	0.687	0.884	69	In
CNB04990	0.743	0.94	144	In
CNN01750	0.759	0.953	94	Out
CNJ01820	0.666	0.858	45	In
CNG00500	0.736	0.928	106	Out
CNA00760	0.744	0.935	66	In
CNF00730	0.785	0.975	93	In
CNA05110	0.644	0.833	30	In
CNI03610	0.758	0.945	72	In
CND01020	0.778	0.965	61	Out
CNE02870	0.657	0.84	81	In
CNA05440	0.695	0.873	78	In
CNB05640	0.733	0.911	63	In
CNG00290	0.68	0.857	180	In
CNB03680	0.765	0.942	39	In
CNG02120	0.77	0.945	86	Out
CND01650	0.727	0.902	71	Out
CNC04930	0.692	0.867	171	In
CNB00900	0.754	0.929	84	In
CNK00320	0.772	0.946	30	In
CNF01580	0.724	0.898	115	Out
CNB04810	0.655	0.826	174	In
CNB01880	0.664	0.83	87	In
CNK01970	0.713	0.879	102	In
CNB04130	0.727	0.892	102	In
CNA00710	0.766	0.93	60	In
CNL04030	0.699	0.863	84	In
CNF02540	0.751	0.913	48	In
CNE04770	0.673	0.829	17	Out
CNC06190	0.837	0.994	16	Out
CNC02170	0.819	0.974	283	Out
CNE05150	0.71	0.865	24	In
CNJ01910	0.778	0.932	99	In
CNG00490	0.8	0.954	166	Out
CNB00480	0.652	0.803	90	In
CNL04270	0.704	0.855	100	Out
CNM01220	0.79	0.941	183	In
CNC05950	0.751	0.902	108	In
CNJ00220	0.747	0.897	322	Out
CNF01530	0.747	0.897	72	In
CNA00190	0.71	0.859	90	In
CNH03800	0.702	0.851	201	In
CNL06075	0.741	0.886	9	In
CNC04860	0.719	0.863	33	In
CNG01940	0.726	0.87	104	Out
CNJ00430	0.786	0.928	90	In
CNB05380	0.739	0.881	166	Out
CNG04210	0.803	0.944	66	In
CNG00570	0.727	0.868	17	Out
CND03800	0.765	0.906	36	In
CNG02175	0.671	0.81	25	Out
CNC03580	0.708	0.846	49	Out
CNF03820	0.746	0.883	97	Out
CNK02070	0.787	0.925	13	Out
CNB01800	0.813	0.95	78	In
CNE01260	0.72	0.857	9	In
CNH02505	0.656	0.791	168	In
