Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
YAL069W Ntermext	0.005	No mitochondrial presequence	27(MPP)	0.000	88-92	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL068W Ntermext	0.000	No mitochondrial presequence	18(MPP)	0.000	49-53	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL068C Ntermext	0.007	No mitochondrial presequence	63(MPP)	0.016		8-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL067W Ntermext	0.014	No mitochondrial presequence	37(MPP)	0.054	34-38,85-89,94-98	4-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL067C Ntermext	0.016	No mitochondrial presequence	29(MPP)	0.138		8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL066W Ntermext	0.671	Possessing mitochondrial presequence	36(MPP)	0.139	39-43	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	8-13	
YAL065C Ntermext	0.000	No mitochondrial presequence	69(MPP)	-0.029		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL064W Ntermext	0.000	No mitochondrial presequence	13(MPP)	-0.231		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL064C Ntermext	0.000	No mitochondrial presequence	17(MPP)	0.059		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL064W Ntermext	0.085	No mitochondrial presequence	35(MPP)	0.143	10-14,32-36	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL063C Ntermext	0.085	No mitochondrial presequence	30(MPP)	0.100	12-16,21-25,64-68	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL063C Ntermext	0.004	No mitochondrial presequence	68(MPP)	0.103	21-25	14-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL062W Ntermext	0.000	No mitochondrial presequence	65(MPP)	-0.077	30-34,88-92	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL061W Ntermext	0.000	No mitochondrial presequence	14(MPP)	0.214		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL060W Ntermext	0.014	No mitochondrial presequence	22(MPP)	0.091	1-5	14-23-high	-	-	-	-	-	-	-	-	-	-	5-10	-	-	-	
YAL059C Ntermext	0.030	No mitochondrial presequence	27(MPP), 28(Icp55)	0.185	72-76	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL059W Ntermext	0.343	No mitochondrial presequence	21(MPP)	0.190		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL058W Ntermext	0.000	No mitochondrial presequence	78(MPP)	-0.013		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL056C Ntermext	0.024	No mitochondrial presequence	38(MPP)	0.079	27-31,73-77	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL056W Ntermext	0.000	No mitochondrial presequence	43(MPP)	-0.070	84-88	10-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL055W Ntermext	0.011	No mitochondrial presequence	7(MPP)	0.143		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL054C Ntermext	0.000	No mitochondrial presequence	58(MPP)	0.017	1-5	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL053W Ntermext	0.203	No mitochondrial presequence	12(MPP)	0.083	9-13	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
YAL051W Ntermext	0.000	No mitochondrial presequence	71(MPP)	0.000	83-87	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
