# scores_kozak_H99.txt
# Scores of ATG context against Kozak sequence, C. neoformans serotype A H99
# Kozak sequence derived from 330 highest-translated genes by RPF
#
# Gene: H99 systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# u1.scorekn: score of 1st upstream ATG in 5' UTR against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn	d2.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	d2.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
CNAG_00002	0.904	0.776	0.747	0.847	0.849	0.799	0.736	0.869	-0.128	-0.057	-0.05	0.02
CNAG_00003	0.871	0.841	1	NA	0.817	0.818	0.946	NA	-0.03	NA	0	NA
CNAG_00004	0.786	0.849	0.72	NA	0.769	0.813	0.726	NA	0.063	NA	0.045	NA
CNAG_00005	0.92	0.785	0.788	0.849	0.866	0.715	0.734	0.801	-0.135	-0.072	-0.152	-0.065
CNAG_00006	0.978	0.759	0.822	NA	0.929	0.665	0.748	NA	-0.218	NA	-0.264	NA
CNAG_00007	0.978	0.704	0.763	NA	0.928	0.686	0.76	NA	-0.274	NA	-0.242	NA
CNAG_00008	0.966	0.856	0.849	NA	0.873	0.815	0.822	NA	-0.11	NA	-0.059	NA
CNAG_00009	0.878	0.834	0.978	NA	0.851	0.797	0.942	NA	-0.044	NA	-0.053	NA
CNAG_00010	0.891	0.787	0.821	0.821	0.9	0.727	0.753	0.8	-0.104	-0.07	-0.173	-0.1
CNAG_00011	0.874	0.935	0.662	0.678	0.825	0.856	0.586	0.708	0.062	-0.196	0.031	-0.117
CNAG_00012	0.99	0.741	0.873	NA	0.882	0.751	0.834	NA	-0.249	NA	-0.131	NA
CNAG_00013	0.701	0.845	0.82	0.834	0.636	0.807	0.816	0.772	0.143	0.133	0.171	0.136
CNAG_00014	0.912	0.73	0.814	0.747	0.889	0.702	0.761	0.75	-0.182	-0.164	-0.187	-0.14
CNAG_00015	0.938	0.821	0.845	0.826	0.927	0.791	0.774	0.805	-0.117	-0.113	-0.136	-0.122
CNAG_00016	0.858	0.821	0.785	NA	0.868	0.713	0.717	NA	-0.037	NA	-0.155	NA
CNAG_00017	0.805	0.697	0.895	0.906	0.766	0.67	0.861	0.84	-0.108	0.101	-0.096	0.074
CNAG_00018	0.944	0.757	0.834	NA	0.95	0.704	0.793	NA	-0.187	NA	-0.246	NA
CNAG_00019	0.895	0.858	0.759	NA	0.898	0.784	0.716	NA	-0.037	NA	-0.114	NA
CNAG_00020	0.929	0.845	0.757	NA	0.855	0.796	0.719	NA	-0.084	NA	-0.059	NA
CNAG_00021	0.809	0.792	0.757	NA	0.808	0.731	0.703	NA	-0.017	NA	-0.077	NA
CNAG_00022	0.841	0.871	0.856	NA	0.847	0.769	0.817	NA	0.03	NA	-0.078	NA
CNAG_00023	0.883	0.809	0.697	0.966	0.8	0.822	0.633	0.946	-0.074	0.083	0.021	0.145
CNAG_00024	0.92	0.878	0.867	0.787	0.877	0.836	0.816	0.708	-0.042	-0.133	-0.041	-0.168
CNAG_00025	0.944	0.828	0.785	NA	0.917	0.809	0.733	NA	-0.116	NA	-0.108	NA
CNAG_00026	0.759	1	0.818	NA	0.71	0.914	0.78	NA	0.241	NA	0.205	NA
CNAG_00027	0.836	0.785	0.827	0.809	0.789	0.78	0.742	0.745	-0.051	-0.027	-0.009	-0.044
CNAG_00028	1	0.79	0.845	0.792	0.977	0.729	0.79	0.723	-0.21	-0.208	-0.247	-0.254
CNAG_00029	0.975	0.821	0.88	0.867	0.945	0.752	0.87	0.84	-0.154	-0.108	-0.193	-0.105
CNAG_00030	0.878	0.821	0.75	NA	0.855	0.705	0.682	NA	-0.057	NA	-0.15	NA
CNAG_00031	0.825	0.741	0.883	NA	0.806	0.755	0.839	NA	-0.084	NA	-0.051	NA
CNAG_00032	0.865	0.784	0.929	0.835	0.802	0.799	0.839	0.775	-0.081	-0.03	-0.003	-0.027
CNAG_00034	1	0.844	0.891	NA	0.951	0.821	0.81	NA	-0.156	NA	-0.13	NA
CNAG_00035	0.77	0.841	0.825	0.92	0.751	0.821	0.706	0.841	0.07	0.15	0.07	0.09
CNAG_00036	0.857	0.701	0.968	NA	0.743	0.694	0.797	NA	-0.155	NA	-0.049	NA
CNAG_00038	0.938	0.882	0.938	NA	0.906	0.849	0.853	NA	-0.057	NA	-0.057	NA
CNAG_00039	0.743	0.938	0.757	0.826	0.747	0.862	0.683	0.776	0.195	0.082	0.115	0.029
CNAG_00040	0.873	0.813	0.801	NA	0.847	0.822	0.749	NA	-0.059	NA	-0.026	NA
CNAG_00043	0.975	0.938	0.701	0.898	0.914	0.81	0.659	0.883	-0.037	-0.078	-0.104	-0.032
CNAG_00044	0.912	0.741	0.882	NA	0.888	0.752	0.848	NA	-0.171	NA	-0.136	NA
CNAG_00045	0.953	0.902	0.759	NA	0.936	0.856	0.696	NA	-0.051	NA	-0.08	NA
CNAG_00046	0.92	0.809	0.861	NA	0.915	0.774	0.79	NA	-0.111	NA	-0.141	NA
CNAG_00047	0.865	0.883	0.788	0.704	0.813	0.849	0.754	0.73	0.018	-0.161	0.036	-0.083
CNAG_00048	0.919	0.738	0.75	0.868	0.911	0.676	0.692	0.815	-0.181	-0.051	-0.234	-0.095
CNAG_00049	0.968	0.812	0.803	0.717	0.929	0.759	0.794	0.727	-0.156	-0.251	-0.17	-0.202
CNAG_00050	1	0.759	0.715	NA	0.882	0.789	0.7	NA	-0.241	NA	-0.093	NA
CNAG_00051	0.873	0.867	0.845	0.896	0.811	0.836	0.804	0.846	-0.005	0.023	0.025	0.035
CNAG_00052	0.938	0.783	0.688	0.723	0.881	0.754	0.659	0.678	-0.156	-0.216	-0.127	-0.203
CNAG_00053	0.881	1	0.77	0.747	0.815	0.922	0.712	0.671	0.119	-0.133	0.107	-0.144
CNAG_00054	0.935	0.813	0.935	0.794	0.912	0.798	0.88	0.761	-0.122	-0.142	-0.114	-0.151
CNAG_00055	0.845	0.929	0.787	NA	0.813	0.849	0.735	NA	0.084	NA	0.036	NA
CNAG_00056	0.916	0.834	0.916	NA	0.848	0.779	0.885	NA	-0.082	NA	-0.069	NA
CNAG_00057	0.89	0.912	0.911	NA	0.889	0.882	0.84	NA	0.022	NA	-0.007	NA
CNAG_00058	0.916	0.788	0.828	NA	0.904	0.787	0.821	NA	-0.128	NA	-0.117	NA
CNAG_00059	0.966	0.841	0.812	0.838	0.923	0.816	0.799	0.791	-0.125	-0.128	-0.107	-0.131
CNAG_00060	0.966	0.811	0.834	NA	0.898	0.789	0.821	NA	-0.155	NA	-0.108	NA
CNAG_00061	0.978	0.783	0.774	NA	0.966	0.746	0.773	NA	-0.195	NA	-0.22	NA
CNAG_00062	0.868	0.88	0.845	NA	0.85	0.811	0.77	NA	0.012	NA	-0.039	NA
CNAG_00063	0.828	0.873	0.733	NA	0.736	0.846	0.684	NA	0.045	NA	0.11	NA
CNAG_00064	0.737	0.854	0.809	NA	0.743	0.818	0.737	NA	0.118	NA	0.076	NA
CNAG_00065	0.906	0.794	0.757	NA	0.894	0.728	0.703	NA	-0.113	NA	-0.166	NA
CNAG_00066	0.92	0.92	0.762	0.633	0.919	0.871	0.714	0.622	0	-0.287	-0.048	-0.296
CNAG_00067	0.966	0.785	NA	NA	0.895	0.733	NA	NA	-0.18	NA	-0.162	NA
CNAG_00068	1	0.808	0.816	NA	0.901	0.797	0.77	NA	-0.192	NA	-0.104	NA
CNAG_00069	0.944	0.831	0.743	NA	0.937	0.834	0.629	NA	-0.112	NA	-0.102	NA
CNAG_00070	0.902	0.696	0.849	0.968	0.805	0.682	0.859	0.899	-0.206	0.066	-0.123	0.094
CNAG_00072	0.916	0.966	0.795	NA	0.881	0.87	0.76	NA	0.05	NA	-0.01	NA
CNAG_00073	0.975	0.814	0.688	0.881	0.952	0.773	0.663	0.879	-0.161	-0.095	-0.179	-0.072
CNAG_00074	1	0.902	0.73	NA	0.924	0.809	0.69	NA	-0.098	NA	-0.115	NA
CNAG_00075	0.857	0.905	0.809	0.723	0.845	0.915	0.785	0.706	0.049	-0.134	0.07	-0.139
CNAG_00076	0.882	0.835	0.757	NA	0.808	0.752	0.749	NA	-0.047	NA	-0.056	NA
CNAG_00077	0.819	0.868	0.874	0.893	0.74	0.84	0.807	0.819	0.05	0.074	0.1	0.08
CNAG_00078	0.938	0.871	0.896	0.849	0.844	0.817	0.842	0.809	-0.067	-0.09	-0.027	-0.035
CNAG_00079	0.968	0.906	0.891	0.805	0.93	0.888	0.831	0.764	-0.062	-0.163	-0.042	-0.165
CNAG_00080	0.834	0.819	0.662	NA	0.844	0.776	0.634	NA	-0.016	NA	-0.068	NA
CNAG_00081	0.73	0.878	0.809	NA	0.737	0.851	0.699	NA	0.148	NA	0.114	NA
CNAG_00082	0.819	0.699	0.757	NA	0.815	0.674	0.674	NA	-0.119	NA	-0.141	NA
CNAG_00083	0.857	0.907	0.717	0.73	0.871	0.827	0.731	0.69	0.05	-0.126	-0.043	-0.18
CNAG_00084	1	0.916	0.792	NA	0.959	0.868	0.792	NA	-0.084	NA	-0.091	NA
CNAG_00085	0.898	0.746	0.847	NA	0.828	0.682	0.737	NA	-0.152	NA	-0.146	NA
CNAG_00086	0.725	1	0.905	0.701	0.729	0.898	0.875	0.711	0.275	-0.024	0.169	-0.017
CNAG_00087	0.902	0.691	0.792	NA	0.891	0.642	0.754	NA	-0.211	NA	-0.249	NA
CNAG_00088	0.882	0.874	0.746	NA	0.892	0.833	0.702	NA	-0.008	NA	-0.059	NA
CNAG_00089	0.874	0.916	0.785	NA	0.861	0.891	0.698	NA	0.042	NA	0.029	NA
CNAG_00090	0.912	0.845	0.861	NA	0.893	0.81	0.793	NA	-0.067	NA	-0.083	NA
