pub_og_id	organism_taxid	org	int_prot_id	pub_gene_id
EOG09265TO1	237561	Calb	237561:000051	ATP8
EOG09265TO1	284812	Spom	284812:0000fa	atp8
EOG09265TO1	367110	Ncra	367110:00004a	atp-8
EOG09265TO1	559292	Scer	559292:00016b	ATP8
EOG09265B1Y	237561	Calb	237561:000050	ATP6
EOG09265B1Y	284812	Spom	284812:0000f8	atp6
EOG09265B1Y	367110	Ncra	367110:000048	atp-6
EOG09265B1Y	559292	Scer	559292:000169	ATP6
EOG09265SXD	237561	Calb	237561:000052	ATP9
EOG09265SXD	284812	Spom	284812:0000fb	atp9
EOG09265SXD	367110	Ncra	367110:00004c	oli
EOG09265SXD	559292	Scer	559292:00016c	OLI1
EOG09264KDO	214684	Cneo	214684:000669	Q5KIE2
EOG09264KDO	237561	Calb	237561:0007a6	Q5A7P7
EOG09264KDO	284812	Spom	284812:000104	atp5
EOG09264KDO	367110	Ncra	367110:000051	atp-5
EOG09264KDO	559292	Scer	559292:000175	ATP5
EOG09265NXP	214684	Cneo	214684:00136c	Q5KDU1
EOG09265NXP	214684	Cneo	214684:000fa9	Q5KDU0
EOG09265NXP	284812	Spom	284812:000101	tim11
EOG09265NXP	367110	Ncra	367110:000684	Q7S2K6
EOG09265NXP	559292	Scer	559292:000172	TIM11
EOG09265FTN	214684	Cneo	214684:001052	Q5KJV2
EOG09265FTN	284812	Spom	284812:000102	atp17
EOG09265FTN	367110	Ncra	367110:000805	Q7S8I6
EOG09265FTN	559292	Scer	559292:000173	ATP17
EOG092653D5	214684	Cneo	214684:000bed	Q5KLP2
EOG092653D5	214684	Cneo	214684:0000d6	EGD2
EOG092653D5	237561	Calb	237561:000487	Q59PV8
EOG092653D5	237561	Calb	237561:0001f8	EGD2
EOG092653D5	284812	Spom	284812:000705	egd2
EOG092653D5	284812	Spom	284812:0000f9	atp7
EOG092653D5	367110	Ncra	367110:0001cf	npc-1
EOG092653D5	367110	Ncra	367110:000049	atp7
EOG092653D5	559292	Scer	559292:0009c7	EGD2
EOG092653D5	559292	Scer	559292:00016a	ATP7
EOG09265FA5	214684	Cneo	214684:001440	Q5KIZ7
EOG09265FA5	367110	Ncra	367110:000bdf	Q7SGX0
EOG09265FA5	559292	Scer	559292:000162	ATP14
EOG09265R5A	214684	Cneo	214684:000f2a	Q5KJQ3
EOG09265R5A	284812	Spom	284812:0000f3	atp18
EOG09265R5A	367110	Ncra	367110:0015b5	Q7SGJ1
EOG09265R5A	559292	Scer	559292:000163	ATP18
EOG09265RNB	214684	Cneo	214684:000b36	Q5KNV6
EOG09265RNB	284812	Spom	284812:0000f4	atp19
EOG09265RNB	367110	Ncra	367110:00091f	Q7S8M6
EOG09265RNB	559292	Scer	559292:000164	ATP19
EOG09264PE5	214684	Cneo	214684:0014d7	Q5KL26
EOG09264PE5	237561	Calb	237561:000430	Q59ZE0
EOG09264PE5	284812	Spom	284812:0000ff	atp4
EOG09264PE5	367110	Ncra	367110:000050	atp-3
EOG09264PE5	559292	Scer	559292:000170	ATP4
EOG09265JUL	214684	Cneo	214684:001183	Q5KK91
EOG09265JUL	237561	Calb	237561:001266	Q59M30
EOG09265JUL	284812	Spom	284812:000103	atp20
EOG09265JUL	367110	Ncra	367110:0007cd	Q7SI08
EOG09265JUL	559292	Scer	559292:000174	ATP20
