pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0Z3M	Arginine-tRNA ligase	4751	72359	Trachipleistophora hominis	72359:0005d2	L7JYF7	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0Z3M	Arginine-tRNA ligase	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:0017e7	Q5KE92	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:0004df	C5PBV3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	227321	Aspergillus nidulans FGSC A4	227321:0009ac	Q5AZB2	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	229533	Fusarium graminearum PH-1	229533:002b6b	I1S4Q4	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0Z3M	Arginine-tRNA ligase	4751	229533	Fusarium graminearum PH-1	229533:0029c1	I1RR64	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0Z3M	Arginine-tRNA ligase	4751	235443	Cryptococcus neoformans var. grubii H99	235443:000e78	J9VQC3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	237561	Candida albicans SC5314	237561:00063d	Q5A8Z3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	237631	Ustilago maydis 521	237631:000c9f	Q4PEJ1	
EOG092C0Z3M	Arginine-tRNA ligase	4751	240176	Coprinopsis cinerea okayama7#130	240176:001b33	A8NRC3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	242507	Magnaporthe oryzae 70-15	242507:0003c9	G4MZT1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	246409	Rhizopus delemar RA 99-880	246409:000219	I1CSZ3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	246410	Coccidioides immitis RS	246410:000391	J3KFT5	Transmembrane:Helical
EOG092C0Z3M	Arginine-tRNA ligase	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:0015f4	F5HCC7	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:000460	Q6CXM7	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	284591	Yarrowia lipolytica CLIB122	284591:00032a	Q6C5H6	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	284592	Debaryomyces hansenii CBS767	284592:0004f3	Q6BIU4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	284593	Candida glabrata CBS 138	284593:000569	Q6FY43	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	284593	Candida glabrata CBS 138	284593:00044b	Q6FY18	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	284811	Eremothecium gossypii ATCC 10895	284811:000649	Q755M0	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	284812	Schizosaccharomyces pombe 972h-	284812:000c90	mrs1	Arginyl-tRNA synthetase
EOG092C0Z3M	Arginine-tRNA ligase	4751	284813	Encephalitozoon cuniculi GB-M1	284813:0000f4	Q8SRD8	Arginyl-tRNA synthetase
EOG092C0Z3M	Arginine-tRNA ligase	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:000df2	B3LSK9	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:00016f	B3LFV7	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:000158	A5DHS8	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	294747	Candida tropicalis MYA-3404	294747:0007e7	C5MEF6	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0Z3M	Arginine-tRNA ligase	4751	294748	Candida albicans WO-1	294748:0013f9	C4YFA9	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	306901	Chaetomium globosum CBS 148.51	306901:002399	Q2H7Y6	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	306901	Chaetomium globosum CBS 148.51	306901:000d54	Q2GVM3	
EOG092C0Z3M	Arginine-tRNA ligase	4751	306902	Clavispora lusitaniae ATCC 42720	306902:000361	C4Y641	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	307796	Saccharomyces cerevisiae YJM789	307796:000cd8	MSR1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	307796	Saccharomyces cerevisiae YJM789	307796:000536	A6ZYU2	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	321614	Parastagonospora nodorum SN15	321614:002309	Q0UWZ6	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0Z3M	Arginine-tRNA ligase	4751	321614	Parastagonospora nodorum SN15	321614:000f4e	Q0U008	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	322104	Scheffersomyces stipitis CBS 6054	322104:00054d	SYR1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	330879	Aspergillus fumigatus Af293	330879:000b2f	Q4X0B7	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	331117	Neosartorya fischeri NRRL 181	331117:0004dc	A1DHV9	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	332952	Aspergillus flavus NRRL3357	332952:00310f	B8NG44	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0Z3M	Arginine-tRNA ligase	4751	332952	Aspergillus flavus NRRL3357	332952:000b67	B8NGS8	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	336722	Zymoseptoria tritici IPO323	336722:0013ee	F9X5W5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0Z3M	Arginine-tRNA ligase	4751	336963	Uncinocarpus reesii 1704	336963:00181c	C4JXH9	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	339724	Histoplasma capsulatum NAm1	339724:001804	A6R2K8	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	339724	Histoplasma capsulatum NAm1	339724:000e78	A6R2M4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	341663	Aspergillus terreus NIH2624	341663:00063c	Q0CY40	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	344612	Aspergillus clavatus NRRL 1	344612:000342	A1C7F1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0Z3M	Arginine-tRNA ligase	4751	367110	Neurospora crassa OR74A	367110:0007ff	Q7S3P2	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
