Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNA00010 Protein	0.043	No mitochondrial presequence	21(MPP)	0.000		9-18-low	-	-	-	-	-	-	-	18-23	-	17-22	-	-	-	-	
CNA00020 Protein	0.000	No mitochondrial presequence	46(MPP)	-0.043		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00030 Protein	0.006	No mitochondrial presequence	21(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00040 Protein	0.008	No mitochondrial presequence	21(MPP)	0.095		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00050 Protein	0.012	No mitochondrial presequence	18(MPP)	0.111		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00060 Protein	0.998	Possessing mitochondrial presequence	26(MPP)	0.192		2-13-high	-	-	-	-	-	-	-	-	1-6	-	-	-	-	-	
CNA00070 Protein	0.314	No mitochondrial presequence	21(MPP)	0.143	9-13	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00075 Protein	0.018	No mitochondrial presequence	39(MPP), 40(Icp55)	-0.128	62-66	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00080 Protein	0.006	No mitochondrial presequence	9(MPP)	0.222		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00090 Protein	0.000	No mitochondrial presequence	28(MPP), 36(Oct1)	-0.036	11-15	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00100 Protein	0.005	No mitochondrial presequence	60(MPP)	0.017	30-34	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00110 Protein	0.000	No mitochondrial presequence	63(MPP)	-0.048		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00120 Protein	0.006	No mitochondrial presequence	29(MPP), 30(Icp55)	0.000	14-18,26-30,34-38	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00130 Protein	0.047	No mitochondrial presequence	34(MPP)	0.059	31-35,70-74,89-93	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00140 Protein	0.000	No mitochondrial presequence	56(MPP)	-0.143		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00150 Protein	0.000	No mitochondrial presequence	72(MPP)	-0.014		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00160 Protein	0.066	No mitochondrial presequence	8(MPP)	0.500		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00170 Protein	0.000	No mitochondrial presequence	23(MPP)	0.043	29-33	5-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00180 Protein	0.000	No mitochondrial presequence	82(MPP)	0.012		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00190 Protein	0.984	Possessing mitochondrial presequence	30(MPP), 38(Oct1)	0.200	42-46	9-18-high	-	-	-	-	-	-	-	9-14	-	8-13	-	-	-	-	
CNA00200 Protein	0.000	No mitochondrial presequence	62(MPP)	0.065		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00210 Protein	0.000	No mitochondrial presequence	31(MPP)	-0.194		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00220 Protein	0.003	No mitochondrial presequence	38(MPP), 39(Icp55)	0.079		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00225 Protein	0.109	No mitochondrial presequence	15(MPP), 23(Oct1)	0.133	61-65	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00230 Protein	0.015	No mitochondrial presequence	30(MPP)	0.200	53-57	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00240 Protein	0.277	No mitochondrial presequence	42(MPP)	0.095	91-95	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00250 Protein	0.007	No mitochondrial presequence	24(MPP)	0.000		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00260 Protein	0.000	No mitochondrial presequence	76(MPP)	-0.053		7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00270 Protein	0.000	No mitochondrial presequence	59(MPP)	-0.102	56-60	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNA00280 Protein	0.060	No mitochondrial presequence	10(MPP)	0.300	7-11	2-11-high	-	-	-	-	-	-	-	-	-	-	10-15	-	-	-	
CNA00290 Protein	0.000	No mitochondrial presequence	9(MPP)	0.000	52-56	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
