i	Pos	All	HiTrans	CytoRibo
1	-12	0.069	0.209	0.237
2	-11	0.091	0.309	0.324
3	-10	0.06	0.238	0.552
4	-9	0.032	0.155	0.149
5	-8	0.115	0.382	0.518
6	-7	0.063	0.209	0.476
7	-6	0.015	0.157	0.739
8	-5	0.118	0.306	0.177
9	-4	0.369	0.798	0.889
10	-3	0.707	1.214	1.124
11	-2	0.227	0.558	0.874
12	-1	0.24	0.337	0.436
13	1	1.998	1.959	1.839
14	2	1.998	1.959	1.839
15	3	1.998	1.959	1.839
16	4	0.086	0.135	0.409
17	5	0.263	0.311	0.41
18	6	0.042	0.216	0.374
19	7	0.004	0.034	0.088
20	8	0.09	0.114	0.113
21	9	0.144	0.341	0.256
22	10	0.021	0.02	0.082
23	11	0.071	0.074	0.032
24	12	0.061	0.077	0.028
