pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	72359	Trachipleistophora hominis	72359:000076	L7JV29	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:0006c8	Q5KAB8	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:00055d	C5P1N1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	227321	Aspergillus nidulans FGSC A4	227321:0003f9	Q5B6K6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	229533	Fusarium graminearum PH-1	229533:0019d1	I1RC05	Aminoacyl-tRNA synthetase, class II
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0003db	J9VVK6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	237561	Candida albicans SC5314	237561:0005fe	FRS2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	237631	Ustilago maydis 521	237631:0003d6	Q4PED3	
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	240176	Coprinopsis cinerea okayama7#130	240176:000546	A8NXV8	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	242507	Magnaporthe oryzae 70-15	242507:000a11	G4MZF6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	246409	Rhizopus delemar RA 99-880	246409:000780	I1CEP6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	246410	Coccidioides immitis RS	246410:0002b8	J3KE22	Transmembrane:Helical
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:00050d	F5H9L0	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:0005c4	Q6CIN4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	284591	Yarrowia lipolytica CLIB122	284591:000478	Q6C8V7	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	284592	Debaryomyces hansenii CBS767	284592:000633	Q6BVN2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	284593	Candida glabrata CBS 138	284593:000407	Q6FMJ0	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	284811	Eremothecium gossypii ATCC 10895	284811:000476	Q752Q7	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	284812	Schizosaccharomyces pombe 972h-	284812:000c7a	frs2	Phenylalanyl-tRNA synthetase alpha subunit
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	284813	Encephalitozoon cuniculi GB-M1	284813:0000e9	Q8SRG9	Phenylalanyl-tRNA synthetase alpha subunit
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:0005f3	B3LUI8	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:0001b2	A5DD27	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	294747	Candida tropicalis MYA-3404	294747:000115	C5MF27	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	294748	Candida albicans WO-1	294748:000257	C4YF03	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	306901	Chaetomium globosum CBS 148.51	306901:0006de	Q2H9R4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	306902	Clavispora lusitaniae ATCC 42720	306902:000237	C4Y0F6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	307796	Saccharomyces cerevisiae YJM789	307796:00037c	FRS2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	321614	Parastagonospora nodorum SN15	321614:000249	Q0V5X2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	322104	Scheffersomyces stipitis CBS 6054	322104:000186	FRS2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	330879	Aspergillus fumigatus Af293	330879:00056f	Q4WI02	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1U6R	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	4751	331117	Neosartorya fischeri NRRL 181	331117:00030e	A1CZ52	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
