# Mitofates predictions for C. albicans SC5314
# EW 29 September 2018
# Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
C1_00010W_A Protein	0.000	No mitochondrial presequence	67(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00020C_A Protein	0.053	No mitochondrial presequence	37(MPP)	0.135		11-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00030C_A Protein	0.000	No mitochondrial presequence	26(MPP)	-0.154		19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00040W_A Protein	0.008	No mitochondrial presequence	9(MPP)	0.000		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00050C_A Protein	0.031	No mitochondrial presequence	42(MPP)	0.095	3-7,66-70	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00060W_A Protein	0.003	No mitochondrial presequence	6(MPP)	0.167		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00070W_A Protein	0.026	No mitochondrial presequence	44(MPP), 45(Icp55)	0.045		16-25-high	-	-	-	15-20	-	-	-	-	-	-	-	-	-	-	
C1_00080C_A Protein	0.000	No mitochondrial presequence	20(MPP)	-0.050		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00090W_A Protein	0.006	No mitochondrial presequence	22(MPP)	0.136		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00100C_A Protein	0.378	No mitochondrial presequence	24(MPP)	0.250	21-25,57-61	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00110W_A Protein	0.050	No mitochondrial presequence	37(MPP)	0.027	81-85	13-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00120C_A Protein	0.005	No mitochondrial presequence	37(MPP)	0.081	3-7,46-50,95-99	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00130C_A Protein	0.003	No mitochondrial presequence	38(MPP), 39(Icp55)	-0.026	12-16,59-63	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	12-17	-	
C1_00140W_A Protein	0.010	No mitochondrial presequence	40(MPP)	0.125	89-93	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00150C_A Protein	0.250	No mitochondrial presequence	27(MPP)	0.148	1-5,5-9	1-10-high	-	-	-	-	-	-	-	-	-	-	-	4-9	-	-	
C1_00160C_A Protein	0.000	No mitochondrial presequence	31(MPP)	0.065		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00170W_A Protein	0.837	Possessing mitochondrial presequence	8(MPP)	0.250	1-5,5-9,51-55,79-83	1-12-high	-	-	-	-	-	-	-	-	-	-	-	4-9	1-6,5-10	-	
C1_00180W_A Protein	0.205	No mitochondrial presequence	20(MPP)	0.050	4-8,17-21,81-85	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00190C_A Protein	0.000	No mitochondrial presequence	37(MPP)	0.000	83-87	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00200C_A Protein	0.097	No mitochondrial presequence	17(MPP)	0.118	1-5,14-18	8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00210C_A Protein	0.000	No mitochondrial presequence	23(MPP)	-0.087	44-48	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00220W_A Protein	0.012	No mitochondrial presequence	89(MPP), 90(Icp55)	-0.045	86-90	2-11-high	-	-	-	-	-	-	2-7	-	-	1-6	-	-	-	-	
C1_00230C_A Protein	0.000	No mitochondrial presequence	60(MPP)	-0.083		16-25-low	-	-	-	-	-	-	-	8-13	-	-	-	-	-	7-12	
C1_00270W_A Protein	0.000	No mitochondrial presequence	28(MPP)	-0.036	83-87,87-91	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00290W_A Protein	0.000	No mitochondrial presequence	12(MPP)	-0.250		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00310W_A Protein	0.000	No mitochondrial presequence	29(MPP)	-0.069		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00320W_A Protein	0.000	No mitochondrial presequence	15(MPP)	-0.067	22-26,94-98	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00330C_A Protein	0.000	No mitochondrial presequence	81(MPP)	-0.037		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00340W_A Protein	0.044	No mitochondrial presequence	7(MPP), 8(Icp55)	0.286		1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00350C_A Protein	0.050	No mitochondrial presequence	37(MPP)	0.054	67-71,74-78	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00360W_A Protein	0.195	No mitochondrial presequence	75(MPP)	0.093	18-22,72-76	18-27-low	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
C1_00370W_A Protein	0.785	Possessing mitochondrial presequence	6(MPP), 7(Icp55)	0.167	48-52,67-71	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00380C_A Protein	0.000	No mitochondrial presequence	53(MPP), 54(Icp55)	0.000	37-41	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00390W_A Protein	0.000	No mitochondrial presequence	19(MPP)	0.000	86-90	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00400W_A Protein	0.014	No mitochondrial presequence	32(MPP)	0.000	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00410C_A Protein	0.000	No mitochondrial presequence	57(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00420W_A Protein	0.000	No mitochondrial presequence	60(MPP)	-0.017		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00430W_A Protein	0.009	No mitochondrial presequence	76(MPP)	0.026		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00440W_A Protein	0.000	No mitochondrial presequence	42(MPP)	-0.024		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00450C_A Protein	0.000	No mitochondrial presequence	40(MPP)	-0.075		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00460W_A Protein	0.007	No mitochondrial presequence	56(MPP)	0.036		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
