# scores_kozak_Nc.txt
# Scores of ATG context against Kozak sequence, N. crassa 
# Kozak sequence derived from 400 highest-translated genes by RPF
#
# Gene: Nc systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	u1.scorekn	aATG.scorekw	d1.scorekw	u1.scorekw	d1vsan	u1vsan	d1vsaw	u1vsaw
NCU00003	0.886	0.92	0.836	0.859	0.839	NA	0.034	-0.05	-0.02	NA
NCU00004	0.797	0.866	0.743	0.718	0.76	0.686	0.069	-0.054	0.043	-0.032
NCU00005	0.804	0.886	0.957	0.768	0.822	0.86	0.082	0.154	0.054	0.092
NCU00006	0.809	0.889	0.694	0.767	0.818	0.687	0.08	-0.115	0.05	-0.081
NCU00007	0.828	0.867	0.751	0.753	0.782	0.623	0.04	-0.077	0.029	-0.13
NCU00008	0.975	0.93	NA	0.9	0.838	NA	-0.044	NA	-0.062	NA
NCU00009	0.975	0.842	NA	0.926	0.708	NA	-0.132	NA	-0.218	NA
NCU00010	0.992	0.94	0.866	0.869	0.789	0.792	-0.052	-0.125	-0.08	-0.077
NCU00011	0.827	0.833	NA	0.754	0.788	NA	0.005	NA	0.034	NA
NCU00013	0.974	0.974	NA	0.862	0.871	NA	0	NA	0.009	NA
NCU00014	0.797	0.821	0.883	0.793	0.701	0.883	0.024	0.086	-0.092	0.091
NCU00015	1	0.691	0.867	0.896	0.668	0.79	-0.309	-0.133	-0.228	-0.106
NCU00017	0.974	0.821	0.795	0.936	0.739	0.695	-0.154	-0.179	-0.197	-0.241
NCU00018	0.974	0.815	0.795	0.954	0.732	0.751	-0.16	-0.179	-0.222	-0.204
NCU00019	0.983	0.875	0.805	0.891	0.796	0.767	-0.108	-0.178	-0.095	-0.124
NCU00021	0.896	0.79	0.732	0.861	0.711	0.72	-0.106	-0.163	-0.151	-0.141
NCU00022	0.832	0.909	0.788	0.767	0.82	0.757	0.078	-0.044	0.053	-0.009
NCU00023	1	0.773	0.818	0.891	0.662	0.761	-0.227	-0.182	-0.229	-0.13
NCU00024	0.948	0.992	NA	0.956	0.928	NA	0.044	NA	-0.028	NA
NCU00025	0.974	0.754	0.817	0.923	0.749	NA	-0.221	-0.158	-0.175	NA
NCU00026	0.815	0.931	0.862	0.789	0.876	0.766	0.116	0.048	0.087	-0.023
NCU00027	0.956	0.918	NA	0.86	0.905	NA	-0.038	NA	0.045	NA
NCU00028	0.956	0.825	NA	0.845	0.767	NA	-0.131	NA	-0.078	NA
NCU00029	0.957	0.901	0.866	0.888	0.786	0.805	-0.057	-0.091	-0.103	-0.083
NCU00030	0.975	0.836	0.818	0.899	0.855	NA	-0.139	-0.156	-0.044	NA
