FAMILY_ID	SPECIES	UNIPROT	ENTREZ
PTHR12220:SF13	YEAST	P38064	852242
PTHR12220:SF13	SCHPO	Q9Y822	2539752
PTHR12220:SF13	EMENI	C8V190	NA
PTHR12220:SF13	ASHGO	Q75B76	4619927
PTHR12220:SF13	BATDJ	F4PE33	18241624
PTHR12220:SF13	CANAL	Q5AD48	NA
PTHR12220:SF13	CRYNJ	Q5KNV5	3253327
PTHR12220:SF13	NEUCR	F5HIJ5	3879664
PTHR12220:SF13	PUCGT	E3JSH7	10547232
PTHR12220:SF13	SCLS1	A7E6I7	5495066
PTHR12220:SF13	USTMA	D1DRK3	NA
PTHR12220:SF13	YARLI	Q6CBJ9	2909992
PTHR41237:SF1	YEAST	P38175	852188
PTHR41237:SF1	EMENI	Q5B091	2870865
PTHR41237:SF1	ASHGO	Q751J0	4622676
PTHR41237:SF1	CANAL	Q5A1Z1	3642590
PTHR41237:SF1	SCLS1	A7FA16	5480656
PTHR28174:SF1	YEAST	P36531	852419
PTHR28174:SF1	ASHGO	Q75BD9	4619856
PTHR28174:SF1	CANAL	Q59YH5	3643733
PTHR28174:SF1	NEUCR	Q1K7L7	3877458
PTHR28174:SF1	YARLI	Q6C5W3	2911526
PTHR21569:SF1	YEAST	P38120	852443
PTHR21569:SF1	SCHPO	O14006	2542620
PTHR21569:SF1	EMENI	C8V0U7	NA
PTHR21569:SF1	ASHGO	Q757I0	4621095
PTHR21569:SF1	BATDJ	F4NVL8	18243383
PTHR21569:SF1	CANAL	O94150	3642064
PTHR21569:SF1	CRYNJ	Q5KDZ7	3258621
PTHR21569:SF1	NEUCR	Q7S7R6	3877344
PTHR21569:SF1	PUCGT	E3KPE7	10540181
PTHR21569:SF1	SCLS1	A7E4J7	5494748
PTHR21569:SF1	USTMA	D1CA54	NA
PTHR21569:SF1	YARLI	Q6CFK6	2906656
PTHR13718:SF61	YEAST	P33759	852553
PTHR13718:SF61	SCHPO	Q10234	2543504
PTHR13718:SF61	EMENI	Q5BH38	2875908
PTHR13718:SF61	ASHGO	Q75EQ2	4618772
PTHR13718:SF61	BATDJ	F4NSH6	18241778
PTHR13718:SF61	CANAL	Q59NE6	NA
PTHR13718:SF61	CRYNJ	Q5KFD3	3258258
PTHR13718:SF61	NEUCR	Q1K548	3872627
PTHR13718:SF61	PUCGT	E3KVG0	10535646
PTHR13718:SF61	SCLS1	A7F741	5481735
PTHR13718:SF61	USTMA	D1CRH5	NA
PTHR13718:SF61	YARLI	Q6CAL1	2910475
PTHR28595:SF1	YEAST	P36532	852571
PTHR28595:SF1	SCHPO	Q9Y7U8	2539589
PTHR28595:SF1	EMENI	Q5B931	2873906
PTHR28595:SF1	ASHGO	Q758B9	4620879
PTHR28595:SF1	BATDJ	F4PE30	18244708
PTHR28595:SF1	CANAL	Q59VH8	3644782
PTHR28595:SF1	CRYNJ	Q5KAP4	3254306
PTHR28595:SF1	NEUCR	Q7SCZ3	3880013
PTHR28595:SF1	PUCGT	E3KRU9	10542101
PTHR28595:SF1	PUCGT	E3KRU9	10542687
PTHR28595:SF1	PUCGT	E3L8K5	10542101
PTHR28595:SF1	PUCGT	E3L8K5	10542687
PTHR28595:SF1	SCLS1	A7F8J5	5481144
PTHR28595:SF1	USTMA	D1CWL1	NA
PTHR28595:SF1	YARLI	Q6C197	2908667
PTHR21338:SF0	YEAST	P36526	852585
PTHR21338:SF0	SCHPO	Q5WRL1	3361547
PTHR21338:SF0	EMENI	Q5BG54	2876253
PTHR21338:SF0	ASHGO	Q752F8	4622452
PTHR21338:SF0	BATDJ	F4P730	18238955
PTHR21338:SF0	CANAL	Q5AHY8	3636884
PTHR21338:SF0	CRYNJ	Q5KAM8	3254225
PTHR21338:SF0	NEUCR	Q7S5W0	3876293
PTHR21338:SF0	SCLS1	A7E4U4	5494876
PTHR21338:SF0	USTMA	D1CEF5	NA
PTHR21338:SF0	YARLI	Q6CI05	2905972
PTHR21026:SF2	YEAST	P25348	850359
