# dvsaATG_highdiffn_outframe_Hc.txt
# Genes with in-frame high-score dATGs
# In H. capsulatum G217B:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence
#
# Edward Wallace, Dec 2018
Gene	aATG.scorekn	d1.scorekn
HISTO_GX.Contig297.eannot.1457.final_new	0.793	0.975
HISTO_ZL.Contig1131-snap.26.final_new	0.819	1
HISTO_BP.Contig457.eannot.1757.final_new	0.797	0.975
HISTO_DA.Contig93.eannot.1937.final_new	0.809	0.987
HISTO_DY.Contig31.Fgenesh_Neurospora.84.final_new	0.804	0.981
HISTO_FE.Contig19.Fgenesh_histo.31.final_new	0.742	0.912
HISTO_ZT.Contig1128f.Fgenesh_histo.7.final_new	0.742	0.909
HISTO_LG.Contig392-snap.140.final_new	0.766	0.929
HISTO_ZL.Contig1131-snap.36.final_new	0.842	1
HISTO_JG.Contig206.Fgenesh_histo.113.final_new	0.823	0.975
HISTO_LG.Contig392-snap.70.final_new	0.844	0.994
HISTO_GL.Contig59.eannot.1288.final_new	0.8	0.945
HISTO_ZZ.Contig127b.Fgenesh_histo.87.final_new	0.815	0.958
HISTO_DY.Contig31-snap.18.final_new	0.794	0.936
HISTO_ZE.Contig158.Fgenesh_Aspergillus.90.final_new	0.845	0.987
HISTO_LF.Contig359.Fgenesh_histo.101.final_new	0.784	0.926
HISTO_HS.Contig68.eannot.2169.final_new	0.834	0.975
HISTO_ZH.Contig107.eannot.1129.final_new	0.727	0.865
HISTO_ZZ.Contig127b.fgenesh_plus.63.final_new	0.758	0.896
HISTO_DY.Contig31-snap.42.final_new	0.833	0.968
HISTO_ZL.Contig1117.eannot.1104.final_new	0.755	0.89
HISTO_AZ.Contig47.eannot.1692.final_new	0.799	0.931
HISTO_AL.Contig317.Fgenesh_histo.133.final_new	0.868	1
HISTO_DA.Contig93.Fgenesh_histo.96.final_new	0.799	0.931
HISTO_JG.Contig206.eannot.1477.final_new	0.866	0.994
HISTO_ZY.Contig518.eannot.1178.final_new	0.866	0.994
HISTO_ZL.Contig1161b.eannot.1273.final_new	0.791	0.918
HISTO_BP.Contig459-snap.88.final_new	0.873	1
HISTO_ER.Contig17.eannot.1313.final_new	0.8	0.926
HISTO_ZU.Contig65-snap.195.final_new	0.854	0.979
HISTO_BP.Contig457.fgenesh_plus.93.final_new	0.868	0.994
HISTO_KF.Contig597.eannot.1442.final_new	0.875	1
HISTO_ZT.Contig181.eannot.1600.final_new	0.797	0.921
HISTO_ZE.Contig149.eannot.1292.final_new	0.836	0.96
HISTO_HS.Contig68.eannot.2018.final_new	0.879	1
HISTO_ZT.Contig174.eannot.1450.final_new	0.839	0.958
HISTO_HS.Contig68.eannot.2036.final_new	0.785	0.904
HISTO_ZL.Contig1131.Fgenesh_Aspergillus.169.final_new	0.881	1
HISTO_HS.Contig68.Fgenesh_histo.84.final_new	0.839	0.957
HISTO_DM.Contig940.eannot.1234.final_new	0.818	0.936
HISTO_DA.Contig93.Fgenesh_Aspergillus.354.final_new	0.872	0.987
HISTO_GI.Contig382.Fgenesh_histo.42.final_new	0.823	0.937
HISTO_BP.Contig459.eannot.1546.final_new	0.793	0.907
HISTO_LF.Contig359.eannot.2045.final_new	0.84	0.954
HISTO_AZ.Contig47.eannot.1650.final_new	0.865	0.979
HISTO_DA.Contig93.Fgenesh_histo.327.final_new	0.807	0.921
HISTO_ZT.Contig1089.eannot.1628.final_new	0.823	0.936
HISTO_BI.Contig285.eannot.1111.final_new	0.848	0.96
HISTO_ZZ.Contig127c.eannot.1496.final_new	0.854	0.966
HISTO_KF.Contig601.eannot.1264.final_new	0.83	0.942
HISTO_JG.Contig206-snap.150.final_new	0.807	0.918
HISTO_JG.Contig206.Fgenesh_Aspergillus.48.final_new	0.884	0.994
HISTO_HS.Contig68.eannot.1961.final_new	0.844	0.954
HISTO_DM.Contig933-snap.148.final_new	0.839	0.947
HISTO_JG.Contig207.eannot.1394.final_new	0.893	1
HISTO_ZL.Contig1161e.eannot.1229.final_new	0.84	0.947
HISTO_GP.Contig38.Fgenesh_histo.2.final_new	0.83	0.937
HISTO_FX.Contig167.fgenesh_plus.16.final_new	0.887	0.994
HISTO_DM.Contig933.Fgenesh_histo.106.final_new	0.766	0.872
HISTO_FE.Contig19.Fgenesh_histo.116.final_new	0.839	0.945
HISTO_HS.Contig68.eannot.2123.final_new	0.881	0.987
HISTO_DY.Contig31.eannot.1408.final_new	0.835	0.939
